cluster_id	cov
0	1687.842
1	582.069
2	1237.522
3	2081.981
4	1109.342
5	1088.063
6	616.816
7	1022.755
8	804.048
9	590.7095
10	1077.607
11	1778.361
12	1476.98
13	541.164
14	520.967
15	1586.057
17	2782.96
18	887.9705
19	2496.49566666667
20	586.978
22	13489.3125
23	1629.09126666667
24	1530.225
25	1560.598
26	1129.922
27	3049.458
28	3515.698
29	1833.413
30	520.758
31	1501.39
32	1144.291
34	1005.386
35	556.314
36	545.615
38	725.7085
39	2248.886
40	1112.078
41	879.983692307692
42	1036.18
43	546.981
44	1857.26433333333
45	3268.052
46	1008.665
47	525.774
48	1903.644
49	1291.68166666667
50	591.182
51	785.664
52	1064.469
53	1834.887
54	1545.175
55	1243.358
56	772.347
57	807.242
58	1710.777
59	2377.904
60	473.018
61	880.225
62	341.205
63	1373.227
64	1802.65733333333
65	698.046
66	1365.9255
67	1947.512
68	1388.559
69	540.177
70	2499.563
71	890.4265
72	1356.145
73	1107.036
74	773.176
75	1302.683
77	1556.235
78	620.380753623188
79	665.069
80	518.366
81	604.554
82	1373.404
83	502.495
84	304.649
85	538.495
86	546.193
87	1077.724
88	31509.835
89	1157.2975
90	605.393
91	1077.4565
92	1107.605
93	1284.295
94	14790.6785
95	493.138
96	2879.061
98	575.899778800218
99	548.3
NA	337.156362637363
