#cluster_id	protein_count	taxon_count	domain_ids	domain_description
OG0000000	220	17	None	None
OG0000001	121	19	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000002	110	21	None	None
OG0000003	104	21	None	None
OG0000004	102	18	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 
OG0000005	95	17	None	None
OG0000006	94	19	None	None
OG0000007	87	23	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 
OG0000008	85	23	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 
OG0000009	74	19	GO:0071949	FAD binding 
OG0000010	71	16	GO:0006629	lipid metabolic process 
OG0000011	71	19	None	None
OG0000012	70	18	None	None
OG0000013	70	19	None	None
OG0000014	67	23	None	None
OG0000015	65	19	GO:0004336;GO:0006683	galactosylceramidase activity ;galactosylceramide catabolic process 
OG0000016	65	18	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 
OG0000017	65	17	GO:0004672;GO:0006468;GO:0005524	protein kinase activity ;protein phosphorylation ;ATP binding 
OG0000018	64	18	None	None
OG0000019	64	19	GO:0003824;GO:0016787	catalytic activity ;hydrolase activity 
OG0000020	64	18	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000021	62	15	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 
OG0000022	61	18	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000023	61	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000024	60	22	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen 
OG0000025	60	22	GO:0016491	oxidoreductase activity 
OG0000026	60	21	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 
OG0000027	60	22	None	None
OG0000028	59	13	None	None
OG0000029	59	20	None	None
OG0000030	58	18	GO:0008484	sulfuric ester hydrolase activity 
OG0000031	57	18	None	None
OG0000032	57	20	None	None
OG0000033	56	17	GO:0005515	protein binding 
OG0000034	55	19	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000035	55	23	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000036	54	22	GO:0016020;GO:0055085	membrane ;transmembrane transport 
OG0000037	54	20	GO:0016491;GO:0050660	oxidoreductase activity ;flavin adenine dinucleotide binding 
OG0000038	54	23	GO:0005515	protein binding 
OG0000039	53	23	GO:0005524;GO:0006520;GO:0016597;GO:0016743	ATP binding ;amino acid metabolic process ;amino acid binding ;carboxyl- or carbamoyltransferase activity 
OG0000040	53	20	None	None
OG0000041	53	19	GO:0016787	hydrolase activity 
OG0000042	53	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000043	52	23	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000044	52	16	None	None
OG0000045	51	23	None	None
OG0000046	51	23	GO:0016787	hydrolase activity 
OG0000047	50	19	None	None
OG0000048	49	16	None	None
OG0000049	49	18	GO:0005975	carbohydrate metabolic process 
OG0000050	49	20	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 
OG0000051	49	18	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 
OG0000052	49	23	None	None
OG0000053	49	14	None	None
OG0000054	48	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000055	48	19	None	None
OG0000056	48	17	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 
OG0000057	48	17	GO:0016491	oxidoreductase activity 
OG0000058	47	17	GO:0005515	protein binding 
OG0000059	47	23	GO:0016787	hydrolase activity 
OG0000060	47	19	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 
OG0000061	47	18	None	None
OG0000062	46	20	GO:0003824;GO:0004334;GO:0009072	catalytic activity ;fumarylacetoacetase activity ;aromatic amino acid metabolic process 
OG0000063	46	23	None	None
OG0000064	46	15	None	None
OG0000065	46	23	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 
OG0000066	46	23	None	None
OG0000067	46	20	GO:0005507;GO:0016491	copper ion binding ;oxidoreductase activity 
OG0000068	46	17	None	None
OG0000069	45	23	None	None
OG0000070	45	14	GO:0005515	protein binding 
OG0000071	45	18	None	None
OG0000072	45	20	GO:0016491	oxidoreductase activity 
OG0000073	44	14	None	None
OG0000074	44	23	GO:0003677;GO:0006352	DNA binding ;DNA-templated transcription initiation 
OG0000075	44	17	None	None
