#cluster_id	protein_count	taxon_count	domain_ids	domain_description
OG0000000	220	17	IPR018535	Domain Domain of unknown function DUF1996
OG0000001	121	19	IPR010573	Family Major facilitator transporter Str1/Tri12-like
OG0000002	110	21	None	None
OG0000003	104	21	None	None
OG0000004	102	18	IPR005828	Family Major facilitator, sugar transporter-like
OG0000005	95	17	IPR008775	Family Phytanoyl-CoA dioxygenase-like
OG0000006	94	19	IPR010839	Family Acyclic terpene utilisation
OG0000007	87	23	IPR041447;IPR006102;IPR041625	Domain Mannosidase Ig/CBM-like domain;Domain Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich;Domain Beta-mannosidase, Ig-fold domain
OG0000008	85	23	IPR005828	Family Major facilitator, sugar transporter-like
OG0000009	74	19	IPR002938;IPR003953	Domain FAD-binding domain;Domain FAD-dependent oxidoreductase 2, FAD binding domain
OG0000010	71	16	IPR002641	Domain Patatin-like phospholipase domain
OG0000011	71	19	IPR003615	Domain HNH nuclease
OG0000012	70	18	None	None
OG0000013	70	19	IPR003615	Domain HNH nuclease
OG0000014	67	23	IPR029065	Domain Enolase C-terminal domain-like
OG0000015	65	19	IPR033452;IPR001286	Domain Glycosyl hydrolase family 30, beta sandwich domain;Family Glycoside hydrolase, family 59
OG0000016	65	18	IPR001128	Family Cytochrome P450
OG0000017	65	17	IPR000719	Domain Protein kinase domain
OG0000018	64	18	IPR035396;IPR013737;IPR008902;IPR035398	Domain Alpha-L-rhamnosidase, six-hairpin glycosidase domain;Domain Bacterial alpha-L-rhamnosidase N-terminal;Domain Alpha-L-rhamnosidase, concanavalin-like domain;Domain Alpha-L-rhamnosidase C-terminal domain
OG0000019	64	19	IPR003692;IPR002821;IPR008040	Domain Hydantoinase B/oxoprolinase;Domain Hydantoinase A/oxoprolinase;Domain Hydantoinase/oxoprolinase, N-terminal
OG0000020	64	18	IPR011701	Family Major facilitator superfamily
OG0000021	62	15	IPR002772;IPR001764;IPR026891;IPR011658	Domain Glycoside hydrolase family 3 C-terminal domain;Domain Glycoside hydrolase, family 3, N-terminal;Domain Fibronectin type III-like domain;Domain PA14 domain
OG0000022	61	18	IPR011701	Family Major facilitator superfamily
OG0000023	61	20	IPR011701	Family Major facilitator superfamily
OG0000024	60	22	IPR011251	Domain Luciferase-like domain
OG0000025	60	22	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000026	60	21	IPR000719	Domain Protein kinase domain
OG0000027	60	22	IPR045063;IPR000375	Domain Dynamin, N-terminal;Domain Dynamin stalk domain
OG0000028	59	13	None	None
OG0000029	59	20	None	None
OG0000030	58	18	IPR000917	Domain Sulfatase, N-terminal
OG0000031	57	18	None	None
OG0000032	57	20	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000033	56	17	IPR002110	Repeat Ankyrin repeat
OG0000034	55	19	IPR010573	Family Major facilitator transporter Str1/Tri12-like
OG0000035	55	23	IPR011701	Family Major facilitator superfamily
OG0000036	54	22	IPR004841	Domain Amino acid permease/ SLC12A domain
OG0000037	54	20	IPR012951;IPR006094	Domain Berberine/berberine-like;Domain FAD linked oxidase, N-terminal
OG0000038	54	23	IPR001810	Domain F-box domain
OG0000039	53	23	IPR005479;IPR002474;IPR017926;IPR006132;IPR006131;IPR011607;IPR005480	Domain Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Domain Carbamoyl-phosphate synthase small subunit, N-terminal domain;Domain Glutamine amidotransferase;Domain Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding;Domain Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain;Domain Methylglyoxal synthase-like domain;Domain Carbamoyl-phosphate synthetase, large subunit oligomerisation domain
OG0000040	53	20	IPR002347	Family Short-chain dehydrogenase/reductase SDR
OG0000041	53	19	IPR000675	Family Cutinase/acetylxylan esterase
OG0000042	53	20	IPR011701	Family Major facilitator superfamily
OG0000043	52	23	IPR011701	Family Major facilitator superfamily
OG0000044	52	16	None	None
OG0000045	51	23	IPR046452;IPR046451	Domain Homogentisate 1,2-dioxygenase, N-terminal domain;Domain Homogentisate 1,2-dioxygenase, C-terminal domain
OG0000046	51	23	IPR011650;IPR002933	Domain Peptidase M20, dimerisation domain;Family Peptidase M20
OG0000047	50	19	None	None
OG0000048	49	16	IPR023631	Domain Amidase signature domain
OG0000049	49	18	IPR001223;IPR029226;IPR018392	Domain Glycoside hydrolase family 18, catalytic domain;Domain Ecp2 effector protein-like;Domain LysM domain
OG0000050	49	20	IPR020946	Family Flavin monooxygenase-like
OG0000051	49	18	IPR005828	Family Major facilitator, sugar transporter-like
OG0000052	49	23	IPR023210	Domain NADP-dependent oxidoreductase domain
OG0000053	49	14	IPR003615	Domain HNH nuclease
OG0000054	48	20	IPR010573	Family Major facilitator transporter Str1/Tri12-like
OG0000055	48	19	IPR002018	Domain Carboxylesterase, type B
