#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0000894	specific	true	23	1.00
OG0000895	specific	true	23	1.00
OG0000896	specific	true	23	1.00
OG0000897	specific	true	23	1.00
OG0000898	specific	true	23	1.00
OG0000899	specific	true	23	1.00
OG0000900	specific	true	23	1.00
OG0000901	specific	true	23	1.00
OG0000902	specific	true	23	1.00
OG0000903	specific	true	23	1.00
OG0000904	specific	true	23	1.00
OG0000905	specific	true	23	1.00
OG0000906	specific	true	23	1.00
OG0000907	specific	true	23	1.00
OG0000908	specific	true	23	1.00
OG0000909	specific	true	23	1.00
OG0000910	specific	true	23	1.00
OG0000911	specific	true	23	1.00
OG0000912	specific	true	23	1.00
OG0000913	specific	true	23	1.00
OG0000914	specific	true	23	1.00
OG0000915	specific	true	23	1.00
OG0000916	specific	true	23	1.00
OG0000917	specific	true	23	1.00
OG0000918	specific	true	23	1.00
OG0000919	specific	true	23	1.00
OG0000920	specific	true	23	1.00
OG0000921	specific	true	23	1.00
OG0000922	specific	true	23	1.00
OG0000923	specific	true	23	1.00
OG0000924	specific	true	23	1.00
OG0000925	specific	true	23	1.00
OG0000926	specific	true	23	1.00
OG0000927	specific	true	23	1.00
OG0000928	specific	true	23	1.00
OG0000929	specific	true	23	1.00
OG0000930	specific	true	23	1.00
OG0000931	specific	true	23	1.00
OG0000932	specific	true	23	1.00
OG0000933	specific	true	23	1.00
OG0000934	specific	true	23	1.00
OG0000935	specific	true	23	1.00
OG0000936	specific	true	23	1.00
OG0000937	specific	true	23	1.00
OG0000938	specific	true	23	1.00
OG0000939	specific	true	23	1.00
OG0000940	specific	true	23	1.00
OG0000941	specific	true	23	1.00
OG0000942	specific	true	23	1.00
OG0000943	specific	true	23	1.00
OG0000944	specific	true	23	1.00
OG0000945	specific	true	23	1.00
OG0000946	specific	true	23	1.00
OG0000947	specific	true	23	1.00
OG0000948	specific	true	23	1.00
OG0000949	specific	true	23	1.00
OG0000950	specific	true	23	1.00
OG0000951	specific	true	23	1.00
OG0000952	specific	true	23	1.00
OG0000953	specific	true	23	1.00
OG0000954	specific	true	23	1.00
OG0000955	specific	true	23	1.00
OG0000956	specific	true	23	1.00
OG0000957	specific	true	23	1.00
OG0000958	specific	true	23	1.00
OG0000959	specific	true	23	1.00
OG0000960	specific	true	23	1.00
OG0000961	specific	true	23	1.00
OG0000962	specific	true	23	1.00
OG0000963	specific	true	23	1.00
OG0000964	specific	true	23	1.00
OG0000965	specific	true	23	1.00
OG0000966	specific	true	23	1.00
OG0000967	specific	true	23	1.00
OG0000968	specific	true	23	1.00
OG0000969	specific	true	23	1.00
OG0000970	specific	true	23	1.00
OG0000971	specific	true	23	1.00
OG0000972	specific	true	23	1.00
OG0000973	specific	true	23	1.00
OG0000974	specific	true	23	1.00
OG0000975	specific	true	23	1.00
OG0000976	specific	true	23	1.00
OG0000977	specific	true	23	1.00
OG0000978	specific	true	23	1.00
OG0000979	specific	true	23	1.00
OG0000980	specific	true	23	1.00
OG0000981	specific	true	23	1.00
OG0000982	specific	true	23	1.00
OG0000983	specific	true	23	1.00
OG0000984	specific	true	23	1.00
OG0000985	specific	true	23	1.00
OG0000986	specific	true	23	1.00
OG0000987	specific	true	23	1.00
OG0000988	specific	true	23	1.00
OG0000989	specific	true	23	1.00
OG0000990	specific	true	23	1.00
OG0000991	specific	true	23	1.00
OG0000992	specific	true	23	1.00
OG0000993	specific	true	23	1.00
OG0000994	specific	true	23	1.00
OG0000995	specific	true	23	1.00
OG0000996	specific	true	23	1.00
OG0000997	specific	true	23	1.00
OG0000998	specific	true	23	1.00
OG0000999	specific	true	23	1.00
OG0001000	specific	true	23	1.00
OG0001001	specific	true	23	1.00
OG0001002	specific	true	23	1.00
OG0001003	specific	true	23	1.00
OG0001004	specific	true	23	1.00
OG0001005	specific	true	23	1.00
OG0001006	specific	true	23	1.00
OG0001007	specific	true	23	1.00
OG0001008	specific	true	23	1.00
OG0001009	specific	true	23	1.00
OG0001010	specific	true	23	1.00
OG0001011	specific	true	23	1.00
OG0001012	specific	true	23	1.00
OG0001013	specific	true	23	1.00
OG0001014	specific	true	23	1.00
OG0001015	specific	true	23	1.00
OG0001016	specific	true	23	1.00
OG0001017	specific	true	23	1.00
OG0001018	specific	true	23	1.00
OG0001019	specific	true	23	1.00
OG0001020	specific	true	23	1.00
OG0001021	specific	true	23	1.00
OG0001022	specific	true	23	1.00
OG0001023	specific	true	23	1.00
OG0001024	specific	true	23	1.00
OG0001025	specific	true	23	1.00
OG0001026	specific	true	23	1.00
OG0001027	specific	true	23	1.00
OG0001028	specific	true	23	1.00
OG0001029	specific	true	23	1.00
OG0001030	specific	true	23	1.00
OG0001031	specific	true	23	1.00
OG0001032	specific	true	23	1.00
OG0001033	specific	true	23	1.00
OG0001034	specific	true	23	1.00
OG0001035	specific	true	23	1.00
OG0001036	specific	true	23	1.00
OG0001037	specific	true	23	1.00
OG0001038	specific	true	23	1.00
OG0001039	specific	true	23	1.00
OG0001040	specific	true	23	1.00
OG0001041	specific	true	23	1.00
OG0001042	specific	true	23	1.00
OG0001043	specific	true	23	1.00
OG0001044	specific	true	23	1.00
OG0001045	specific	true	23	1.00
OG0001046	specific	true	23	1.00
OG0001047	specific	true	23	1.00
OG0001048	specific	true	23	1.00
OG0001049	specific	true	23	1.00
OG0001050	specific	true	23	1.00
OG0001051	specific	true	23	1.00
OG0001052	specific	true	23	1.00
OG0001053	specific	true	23	1.00
OG0001054	specific	true	23	1.00
OG0001055	specific	true	23	1.00
OG0001056	specific	true	23	1.00
OG0001057	specific	true	23	1.00
OG0001058	specific	true	23	1.00
OG0001059	specific	true	23	1.00
OG0001060	specific	true	23	1.00
OG0001061	specific	true	23	1.00
OG0001062	specific	true	23	1.00
OG0001063	specific	true	23	1.00
OG0001064	specific	true	23	1.00
OG0001065	specific	true	23	1.00
OG0001066	specific	true	23	1.00
OG0001067	specific	true	23	1.00
OG0001068	specific	true	23	1.00
OG0001069	specific	true	23	1.00
OG0001070	specific	true	23	1.00
OG0001071	specific	true	23	1.00
OG0001072	specific	true	23	1.00
OG0001073	specific	true	23	1.00
OG0001074	specific	true	23	1.00
OG0001075	specific	true	23	1.00
OG0001076	specific	true	23	1.00
OG0001077	specific	true	23	1.00
OG0001078	specific	true	23	1.00
OG0001079	specific	true	23	1.00
OG0001080	specific	true	23	1.00
OG0001081	specific	true	23	1.00
OG0001082	specific	true	23	1.00
OG0001083	specific	true	23	1.00
OG0001084	specific	true	23	1.00
OG0001085	specific	true	23	1.00
OG0001086	specific	true	23	1.00
OG0001087	specific	true	23	1.00
OG0001088	specific	true	23	1.00
OG0001089	specific	true	23	1.00
OG0001090	specific	true	23	1.00
OG0001091	specific	true	23	1.00
OG0001092	specific	true	23	1.00
OG0001093	specific	true	23	1.00
OG0001094	specific	true	23	1.00
OG0001095	specific	true	23	1.00
OG0001096	specific	true	23	1.00
OG0001097	specific	true	23	1.00
OG0001098	specific	true	23	1.00
OG0001099	specific	true	23	1.00
OG0001100	specific	true	23	1.00
OG0001101	specific	true	23	1.00
OG0001102	specific	true	23	1.00
OG0001103	specific	true	23	1.00
OG0001104	specific	true	23	1.00
OG0001105	specific	true	23	1.00
OG0001106	specific	true	23	1.00
OG0001107	specific	true	23	1.00
OG0001108	specific	true	23	1.00
OG0001109	specific	true	23	1.00
OG0001110	specific	true	23	1.00
OG0001111	specific	true	23	1.00
OG0001112	specific	true	23	1.00
OG0001113	specific	true	23	1.00
OG0001114	specific	true	23	1.00
OG0001115	specific	true	23	1.00
OG0001116	specific	true	23	1.00
OG0001117	specific	true	23	1.00
OG0001118	specific	true	23	1.00
OG0001119	specific	true	23	1.00
OG0001120	specific	true	23	1.00
OG0001121	specific	true	23	1.00
OG0001122	specific	true	23	1.00
OG0001123	specific	true	23	1.00
OG0001124	specific	true	23	1.00
OG0001125	specific	true	23	1.00
OG0001126	specific	true	23	1.00
OG0001127	specific	true	23	1.00
OG0001128	specific	true	23	1.00
OG0001129	specific	true	23	1.00
OG0001130	specific	true	23	1.00
OG0001131	specific	true	23	1.00
OG0001132	specific	true	23	1.00
OG0001133	specific	true	23	1.00
OG0001134	specific	true	23	1.00
OG0001135	specific	true	23	1.00
OG0001136	specific	true	23	1.00
OG0001137	specific	true	23	1.00
OG0001138	specific	true	23	1.00
OG0001139	specific	true	23	1.00
OG0001140	specific	true	23	1.00
OG0001141	specific	true	23	1.00
OG0001142	specific	true	23	1.00
OG0001143	specific	true	23	1.00
OG0001144	specific	true	23	1.00
OG0001145	specific	true	23	1.00
OG0001146	specific	true	23	1.00
OG0001147	specific	true	23	1.00
OG0001148	specific	true	23	1.00
OG0001149	specific	true	23	1.00
OG0001150	specific	true	23	1.00
OG0001151	specific	true	23	1.00
OG0001152	specific	true	23	1.00
OG0001153	specific	true	23	1.00
OG0001154	specific	true	23	1.00
OG0001155	specific	true	23	1.00
OG0001156	specific	true	23	1.00
OG0001157	specific	true	23	1.00
OG0001158	specific	true	23	1.00
OG0001159	specific	true	23	1.00
OG0001160	specific	true	23	1.00
OG0001161	specific	true	23	1.00
OG0001162	specific	true	23	1.00
OG0001163	specific	true	23	1.00
OG0001164	specific	true	23	1.00
OG0001165	specific	true	23	1.00
OG0001166	specific	true	23	1.00
OG0001167	specific	true	23	1.00
OG0001168	specific	true	23	1.00
OG0001169	specific	true	23	1.00
OG0001170	specific	true	23	1.00
OG0001171	specific	true	23	1.00
OG0001172	specific	true	23	1.00
OG0001173	specific	true	23	1.00
OG0001174	specific	true	23	1.00
OG0001175	specific	true	23	1.00
OG0001176	specific	true	23	1.00
OG0001177	specific	true	23	1.00
OG0001178	specific	true	23	1.00
OG0001179	specific	true	23	1.00
OG0001180	specific	true	23	1.00
OG0001181	specific	true	23	1.00
OG0001182	specific	true	23	1.00
OG0001183	specific	true	23	1.00
OG0001184	specific	true	23	1.00
OG0001185	specific	true	23	1.00
OG0001186	specific	true	23	1.00
OG0001187	specific	true	23	1.00
OG0001188	specific	true	23	1.00
OG0001189	specific	true	23	1.00
OG0001190	specific	true	23	1.00
OG0001191	specific	true	23	1.00
OG0001192	specific	true	23	1.00
OG0001193	specific	true	23	1.00
OG0001194	specific	true	23	1.00
OG0001195	specific	true	23	1.00
OG0001196	specific	true	23	1.00
OG0001197	specific	true	23	1.00
OG0001198	specific	true	23	1.00
OG0001199	specific	true	23	1.00
OG0001200	specific	true	23	1.00
OG0001201	specific	true	23	1.00
OG0001202	specific	true	23	1.00
OG0001203	specific	true	23	1.00
OG0001204	specific	true	23	1.00
OG0001205	specific	true	23	1.00
OG0001206	specific	true	23	1.00
OG0001207	specific	true	23	1.00
OG0001208	specific	true	23	1.00
OG0001209	specific	true	23	1.00
OG0001210	specific	true	23	1.00
OG0001211	specific	true	23	1.00
OG0001212	specific	true	23	1.00
OG0001213	specific	true	23	1.00
OG0001214	specific	true	23	1.00
OG0001215	specific	true	23	1.00
OG0001216	specific	true	23	1.00
OG0001217	specific	true	23	1.00
OG0001218	specific	true	23	1.00
OG0001219	specific	true	23	1.00
OG0001220	specific	true	23	1.00
OG0001221	specific	true	23	1.00
OG0001222	specific	true	23	1.00
OG0001223	specific	true	23	1.00
OG0001224	specific	true	23	1.00
OG0001225	specific	true	23	1.00
OG0001226	specific	true	23	1.00
OG0001227	specific	true	23	1.00
OG0001228	specific	true	23	1.00
OG0001229	specific	true	23	1.00
OG0001230	specific	true	23	1.00
OG0001232	specific	true	23	1.00
OG0001233	specific	true	23	1.00
OG0001234	specific	true	23	1.00
OG0001235	specific	true	23	1.00
OG0001236	specific	true	23	1.00
OG0001237	specific	true	23	1.00
OG0001238	specific	true	23	1.00
OG0001239	specific	true	23	1.00
OG0001240	specific	true	23	1.00
OG0001241	specific	true	23	1.00
OG0001242	specific	true	23	1.00
OG0001243	specific	true	23	1.00
OG0001244	specific	true	23	1.00
OG0001245	specific	true	23	1.00
OG0001246	specific	true	23	1.00
OG0001247	specific	true	23	1.00
OG0001248	specific	true	23	1.00
OG0001249	specific	true	23	1.00
OG0001250	specific	true	23	1.00
OG0001251	specific	true	23	1.00
OG0001252	specific	true	23	1.00
OG0001253	specific	true	23	1.00
OG0001254	specific	true	23	1.00
OG0001255	specific	true	23	1.00
OG0001256	specific	true	23	1.00
OG0001257	specific	true	23	1.00
OG0001258	specific	true	23	1.00
OG0001259	specific	true	23	1.00
OG0001260	specific	true	23	1.00
OG0001261	specific	true	23	1.00
OG0001262	specific	true	23	1.00
OG0001263	specific	true	23	1.00
OG0001264	specific	true	23	1.00
OG0001265	specific	true	23	1.00
OG0001266	specific	true	23	1.00
OG0001267	specific	true	23	1.00
OG0001268	specific	true	23	1.00
OG0001269	specific	true	23	1.00
OG0001270	specific	true	23	1.00
OG0001271	specific	true	23	1.00
OG0001272	specific	true	23	1.00
OG0001273	specific	true	23	1.00
OG0001274	specific	true	23	1.00
OG0001275	specific	true	23	1.00
OG0001276	specific	true	23	1.00
OG0001277	specific	true	23	1.00
OG0001278	specific	true	23	1.00
OG0001279	specific	true	23	1.00
OG0001280	specific	true	23	1.00
OG0001281	specific	true	23	1.00
OG0001282	specific	true	23	1.00
OG0001283	specific	true	23	1.00
OG0001284	specific	true	23	1.00
OG0001285	specific	true	23	1.00
OG0001286	specific	true	23	1.00
OG0001287	specific	true	23	1.00
OG0001288	specific	true	23	1.00
OG0001289	specific	true	23	1.00
OG0001290	specific	true	23	1.00
OG0001291	specific	true	23	1.00
OG0001292	specific	true	23	1.00
OG0001293	specific	true	23	1.00
OG0001294	specific	true	23	1.00
OG0001295	specific	true	23	1.00
OG0001296	specific	true	23	1.00
OG0001297	specific	true	23	1.00
OG0001298	specific	true	23	1.00
OG0001299	specific	true	23	1.00
OG0001300	specific	true	23	1.00
OG0001301	specific	true	23	1.00
OG0001302	specific	true	23	1.00
OG0001303	specific	true	23	1.00
OG0001304	specific	true	23	1.00
OG0001305	specific	true	23	1.00
OG0001306	specific	true	23	1.00
OG0001307	specific	true	23	1.00
OG0001308	specific	true	23	1.00
OG0001309	specific	true	23	1.00
OG0001310	specific	true	23	1.00
OG0001311	specific	true	23	1.00
OG0001312	specific	true	23	1.00
OG0001313	specific	true	23	1.00
OG0001314	specific	true	23	1.00
OG0001315	specific	true	23	1.00
OG0001316	specific	true	23	1.00
OG0001317	specific	true	23	1.00
OG0001318	specific	true	23	1.00
OG0001319	specific	true	23	1.00
OG0001320	specific	true	23	1.00
OG0001321	specific	true	23	1.00
OG0001322	specific	true	23	1.00
OG0001323	specific	true	23	1.00
OG0001324	specific	true	23	1.00
OG0001325	specific	true	23	1.00
OG0001326	specific	true	23	1.00
OG0001327	specific	true	23	1.00
OG0001328	specific	true	23	1.00
OG0001329	specific	true	23	1.00
OG0001330	specific	true	23	1.00
OG0001331	specific	true	23	1.00
OG0001332	specific	true	23	1.00
OG0001333	specific	true	23	1.00
OG0001334	specific	true	23	1.00
OG0001335	specific	true	23	1.00
OG0001336	specific	true	23	1.00
OG0001337	specific	true	23	1.00
OG0001338	specific	true	23	1.00
OG0001339	specific	true	23	1.00
OG0001340	specific	true	23	1.00
OG0001341	specific	true	23	1.00
OG0001342	specific	true	23	1.00
OG0001343	specific	true	23	1.00
OG0001344	specific	true	23	1.00
OG0001345	specific	true	23	1.00
OG0001346	specific	true	23	1.00
OG0001347	specific	true	23	1.00
OG0001348	specific	true	23	1.00
OG0001349	specific	true	23	1.00
OG0001350	specific	true	23	1.00
OG0001351	specific	true	23	1.00
OG0001352	specific	true	23	1.00
OG0001353	specific	true	23	1.00
OG0001354	specific	true	23	1.00
OG0001355	specific	true	23	1.00
OG0001356	specific	true	23	1.00
OG0001357	specific	true	23	1.00
OG0001358	specific	true	23	1.00
OG0001359	specific	true	23	1.00
OG0001360	specific	true	23	1.00
OG0001361	specific	true	23	1.00
OG0001362	specific	true	23	1.00
OG0001363	specific	true	23	1.00
OG0001364	specific	true	23	1.00
OG0001365	specific	true	23	1.00
OG0001366	specific	true	23	1.00
OG0001367	specific	true	23	1.00
OG0001368	specific	true	23	1.00
OG0001369	specific	true	23	1.00
OG0001370	specific	true	23	1.00
OG0001372	specific	true	23	1.00
OG0001373	specific	true	23	1.00
OG0001374	specific	true	23	1.00
OG0001375	specific	true	23	1.00
OG0001376	specific	true	23	1.00
OG0001377	specific	true	23	1.00
OG0001378	specific	true	23	1.00
OG0001379	specific	true	23	1.00
OG0001380	specific	true	23	1.00
OG0001381	specific	true	23	1.00
OG0001382	specific	true	23	1.00
OG0001383	specific	true	23	1.00
OG0001384	specific	true	23	1.00
OG0001385	specific	true	23	1.00
OG0001386	specific	true	23	1.00
OG0001387	specific	true	23	1.00
OG0001391	specific	true	23	1.00
OG0001392	specific	true	23	1.00
OG0001393	specific	true	23	1.00
OG0001394	specific	true	23	1.00
OG0001395	specific	true	23	1.00
OG0001396	specific	true	23	1.00
OG0001397	specific	true	23	1.00
OG0001398	specific	true	23	1.00
OG0001399	specific	true	23	1.00
OG0001400	specific	true	23	1.00
OG0001401	specific	true	23	1.00
OG0001402	specific	true	23	1.00
OG0001403	specific	true	23	1.00
OG0001404	specific	true	23	1.00
OG0001405	specific	true	23	1.00
OG0001406	specific	true	23	1.00
OG0001407	specific	true	23	1.00
OG0001408	specific	true	23	1.00
OG0001409	specific	true	23	1.00
OG0001410	specific	true	23	1.00
OG0001411	specific	true	23	1.00
OG0001412	specific	true	23	1.00
OG0001413	specific	true	23	1.00
OG0001414	specific	true	23	1.00
OG0001415	specific	true	23	1.00
OG0001416	specific	true	23	1.00
OG0001417	specific	true	23	1.00
OG0001418	specific	true	23	1.00
OG0001419	specific	true	23	1.00
OG0001420	specific	true	23	1.00
OG0001421	specific	true	23	1.00
OG0001422	specific	true	23	1.00
OG0001423	specific	true	23	1.00
OG0001424	specific	true	23	1.00
OG0001425	specific	true	23	1.00
OG0001426	specific	true	23	1.00
OG0001427	specific	true	23	1.00
OG0001428	specific	true	23	1.00
OG0001429	specific	true	23	1.00
OG0001430	specific	true	23	1.00
OG0001431	specific	true	23	1.00
OG0001432	specific	true	23	1.00
OG0001433	specific	true	23	1.00
OG0001434	specific	true	23	1.00
OG0001435	specific	true	23	1.00
OG0001436	specific	true	23	1.00
OG0001437	specific	true	23	1.00
OG0001438	specific	true	23	1.00
OG0001439	specific	true	23	1.00
OG0001440	specific	true	23	1.00
OG0001441	specific	true	23	1.00
OG0001442	specific	true	23	1.00
OG0001443	specific	true	23	1.00
OG0001444	specific	true	23	1.00
OG0001445	specific	true	23	1.00
OG0001446	specific	true	23	1.00
OG0001447	specific	true	23	1.00
OG0001448	specific	true	23	1.00
OG0001449	specific	true	23	1.00
OG0001450	specific	true	23	1.00
OG0001451	specific	true	23	1.00
OG0001452	specific	true	23	1.00
OG0001453	specific	true	23	1.00
OG0001454	specific	true	23	1.00
OG0001455	specific	true	23	1.00
OG0001456	specific	true	23	1.00
OG0001457	specific	true	23	1.00
OG0001458	specific	true	23	1.00
OG0001459	specific	true	23	1.00
OG0001460	specific	true	23	1.00
OG0001461	specific	true	23	1.00
OG0001462	specific	true	23	1.00
OG0001463	specific	true	23	1.00
OG0001464	specific	true	23	1.00
OG0001465	specific	true	23	1.00
OG0001466	specific	true	23	1.00
OG0001467	specific	true	23	1.00
OG0001468	specific	true	23	1.00
OG0001469	specific	true	23	1.00
OG0001470	specific	true	23	1.00
OG0001471	specific	true	23	1.00
OG0001472	specific	true	23	1.00
OG0001473	specific	true	23	1.00
OG0001474	specific	true	23	1.00
OG0001475	specific	true	23	1.00
OG0001476	specific	true	23	1.00
OG0001477	specific	true	23	1.00
OG0001478	specific	true	23	1.00
OG0001479	specific	true	23	1.00
OG0001480	specific	true	23	1.00
OG0001481	specific	true	23	1.00
OG0001482	specific	true	23	1.00
OG0001483	specific	true	23	1.00
OG0001484	specific	true	23	1.00
OG0001485	specific	true	23	1.00
OG0001486	specific	true	23	1.00
OG0001487	specific	true	23	1.00
OG0001488	specific	true	23	1.00
OG0001489	specific	true	23	1.00
OG0001490	specific	true	23	1.00
OG0001491	specific	true	23	1.00
OG0001492	specific	true	23	1.00
OG0001493	specific	true	23	1.00
OG0001494	specific	true	23	1.00
OG0001495	specific	true	23	1.00
OG0001496	specific	true	23	1.00
OG0001497	specific	true	23	1.00
OG0001498	specific	true	23	1.00
OG0001499	specific	true	23	1.00
OG0001500	specific	true	23	1.00
OG0001501	specific	true	23	1.00
OG0001502	specific	true	23	1.00
OG0001503	specific	true	23	1.00
OG0001505	specific	true	23	1.00
OG0001506	specific	true	23	1.00
OG0001507	specific	true	23	1.00
OG0001508	specific	true	23	1.00
OG0001509	specific	true	23	1.00
OG0001510	specific	true	23	1.00
OG0001511	specific	true	23	1.00
