#cluster_id	cluster_protein_count	protein_median_count	TAXON_count	attribute	attribute_cluster_type	protein_span_mean	protein_span_sd	all_count	all_median	all_cov
OG0000000	220	14.0	17	all	specific	336.0590909090909	50.83208685189903	220	12.0	0.74
OG0000001	121	7.0	19	all	specific	566.5123966942149	118.876011224591	121	4.0	0.83
OG0000002	110	3.0	21	all	specific	639.3545454545455	258.256095109403	110	3.0	0.91
OG0000003	104	4.0	21	all	specific	277.375	67.23569157191622	104	4.0	0.91
OG0000004	102	6.5	18	all	specific	476.4117647058824	87.65634244819724	102	3.0	0.78
OG0000005	95	5.0	17	all	specific	331.6842105263158	45.61953947894991	95	4.0	0.74
OG0000006	94	6.0	19	all	specific	622.0106382978723	121.46153359045721	94	4.0	0.83
OG0000007	87	4.0	23	all	specific	819.3793103448276	198.5677591509685	87	4.0	1.00
OG0000008	85	3.0	23	all	specific	552.4941176470588	63.476465954744256	85	3.0	1.00
OG0000009	74	3.0	19	all	specific	420.3918918918919	96.89529282734236	74	3.0	0.83
OG0000010	71	3.0	16	all	specific	475.3380281690141	268.56388773119704	71	2.0	0.70
OG0000011	71	2.0	19	all	specific	351.11267605633805	126.62560421231757	71	2.0	0.83
OG0000012	70	4.0	18	all	specific	369.4428571428571	71.17937817620367	70	4.0	0.78
OG0000013	70	2.0	19	all	specific	332.7857142857143	139.8921924562056	70	2.0	0.83
OG0000014	67	3.0	23	all	specific	444.13432835820896	59.052442041934704	67	3.0	1.00
OG0000015	65	4.0	19	all	specific	447.3538461538462	100.85075504377451	65	3.0	0.83
OG0000016	65	3.5	18	all	specific	482.04615384615386	90.1416715329018	65	3.0	0.78
OG0000017	65	4.0	17	all	specific	280.67692307692306	102.6600225827288	65	3.0	0.74
OG0000018	64	4.0	18	all	specific	857.15625	172.41956627928715	64	3.0	0.78
OG0000019	64	3.0	19	all	specific	1268.90625	250.70598559056683	64	3.0	0.83
OG0000020	64	3.5	18	all	specific	554.765625	85.05397958566886	64	3.0	0.78
OG0000021	62	4.0	15	all	specific	719.6129032258065	231.12943970429842	62	2.0	0.65
OG0000022	61	4.0	18	all	specific	527.0655737704918	104.43208929180301	61	3.0	0.78
OG0000023	61	3.0	20	all	specific	529.1475409836065	81.38450250540086	61	3.0	0.87
OG0000024	60	2.0	22	all	specific	485.6166666666667	101.22682313607507	60	2.0	0.96
OG0000025	60	2.0	22	all	specific	491.6	53.52077478263308	60	2.0	0.96
OG0000026	60	3.0	21	all	specific	315.1166666666667	143.2645678068687	60	2.0	0.91
OG0000027	60	3.0	22	all	specific	582.1	205.88295218400188	60	3.0	0.96
OG0000028	59	2.0	13	all	specific	184.8135593220339	93.9537344809904	59	1.0	0.57
OG0000029	59	2.0	20	all	specific	483.93220338983053	189.11595083769842	59	2.0	0.87
OG0000030	58	3.0	18	all	specific	593.5689655172414	58.10635672655182	58	3.0	0.78
OG0000031	57	3.0	18	all	specific	487.0877192982456	238.28416477499653	57	2.0	0.78
OG0000032	57	3.0	20	all	specific	244.3684210526316	74.2214873079803	57	3.0	0.87
OG0000033	56	3.0	17	all	specific	459.5	167.18712783670193	56	2.0	0.74
OG0000034	55	3.0	19	all	specific	577.9818181818182	78.97974214582806	55	2.0	0.83
OG0000035	55	3.0	23	all	specific	553.9090909090909	144.36195327619743	55	3.0	1.00
OG0000036	54	2.5	22	all	specific	510.44444444444446	119.50665046838539	54	2.0	0.96
OG0000037	54	3.0	20	all	specific	625.4629629629629	212.63259157200773	54	3.0	0.87
OG0000038	54	1.0	23	all	specific	516.5370370370371	61.822240083958675	54	1.0	1.00
OG0000039	53	2.0	23	all	specific	1521.1698113207547	694.0195401481944	53	2.0	1.00
OG0000040	53	3.0	20	all	specific	296.41509433962267	35.00912763043276	53	2.0	0.87
OG0000041	53	3.0	19	all	specific	267.07547169811323	55.853531182300536	53	3.0	0.83
OG0000042	53	2.0	20	all	specific	510.0188679245283	32.30076263252825	53	1.0	0.87
OG0000043	52	2.0	23	all	specific	555.6153846153846	103.34839395241892	52	2.0	1.00
OG0000044	52	2.5	16	all	specific	378.5769230769231	127.75071069407105	52	1.0	0.70
OG0000045	51	2.0	23	all	specific	471.0	33.374876073795036	51	2.0	1.00
OG0000046	51	2.0	23	all	specific	421.88235294117646	88.1384043197532	51	2.0	1.00
OG0000047	50	2.0	19	all	specific	399.68	97.88205964322574	50	2.0	0.83
OG0000048	49	3.0	16	all	specific	486.6734693877551	121.06978722108694	49	3.0	0.70
OG0000049	49	3.0	18	all	specific	1295.530612244898	459.85925540014534	49	2.0	0.78
OG0000050	49	2.0	20	all	specific	572.4285714285714	75.4848275064166	49	2.0	0.87
OG0000051	49	3.0	18	all	specific	485.9591836734694	61.3058439081691	49	2.0	0.78
OG0000052	49	2.0	23	all	specific	365.9795918367347	69.88693194708335	49	2.0	1.00
OG0000053	49	3.0	14	all	specific	338.8979591836735	103.17732801465269	49	2.0	0.61
OG0000054	48	2.0	20	all	specific	561.8958333333334	110.22765071722655	48	2.0	0.87
OG0000055	48	3.0	19	all	specific	515.5625	165.67260715162502	48	1.0	0.83
OG0000056	48	3.0	17	all	specific	446.5416666666667	135.90958365970945	48	2.0	0.74
OG0000057	48	3.0	17	all	specific	514.4791666666666	175.7812311728385	48	2.0	0.74
OG0000058	47	2.0	17	all	specific	275.0	101.67490956004117	47	1.0	0.74
OG0000059	47	2.0	23	all	specific	902.936170212766	257.43641266156607	47	2.0	1.00
OG0000060	47	2.0	19	all	specific	466.1489361702128	132.07718225846716	47	2.0	0.83
OG0000061	47	3.0	18	all	specific	580.1063829787234	173.6652728110435	47	1.0	0.78
OG0000062	46	2.0	20	all	specific	424.80434782608694	33.44796059631932	46	2.0	0.87
OG0000063	46	2.0	23	all	specific	406.95652173913044	142.64701897580727	46	2.0	1.00
OG0000064	46	3.0	15	all	specific	572.3695652173913	212.5440474753463	46	2.0	0.65
OG0000065	46	2.0	23	all	specific	565.9347826086956	117.61033712589122	46	2.0	1.00
OG0000066	46	2.0	23	all	specific	102.80434782608695	1.3124746824455287	46	2.0	1.00
OG0000067	46	2.5	20	all	specific	606.0434782608696	78.98842967602477	46	2.0	0.87
OG0000068	46	3.0	17	all	specific	229.7173913043478	14.241188035868632	46	3.0	0.74
OG0000069	45	2.0	23	all	specific	115.5111111111111	20.62643635103287	45	2.0	1.00
OG0000070	45	2.0	14	all	specific	244.06666666666666	79.93286071586718	45	1.0	0.61
OG0000071	45	3.0	18	all	specific	397.0	142.5080114707006	45	2.0	0.78
OG0000072	45	2.0	20	all	specific	430.35555555555555	57.369041421137986	45	2.0	0.87
OG0000073	44	3.0	14	all	specific	556.1136363636364	131.92425786810244	44	1.0	0.61
OG0000074	44	2.0	23	all	specific	263.95454545454544	30.851517235015834	44	2.0	1.00
OG0000075	44	2.0	17	all	specific	311.52272727272725	80.96926707550095	44	2.0	0.74
OG0000076	43	2.0	18	all	specific	547.7441860465116	135.25154738800262	43	2.0	0.78
OG0000077	43	2.0	20	all	specific	347.30232558139534	59.72399108290353	43	2.0	0.87
OG0000078	43	2.0	19	all	specific	316.30232558139534	43.132319336384604	43	2.0	0.83
OG0000079	43	2.0	23	all	specific	532.9069767441861	181.41303431973265	43	2.0	1.00
OG0000080	43	1.0	23	all	specific	892.7441860465116	142.09480834717783	43	1.0	1.00
OG0000081	42	2.0	23	all	specific	592.452380952381	138.3718596462088	42	2.0	1.00
OG0000082	42	2.0	17	all	specific	511.2857142857143	92.5334651727187	42	2.0	0.74
OG0000083	42	3.0	17	all	specific	246.14285714285714	29.683706793114506	42	2.0	0.74
OG0000084	41	2.0	19	all	specific	545.7560975609756	54.10143160623516	41	2.0	0.83
OG0000085	41	1.0	19	all	specific	309.4390243902439	82.91166288858658	41	1.0	0.83
OG0000086	41	2.0	20	all	specific	345.5609756097561	72.6656388017254	41	2.0	0.87
OG0000087	41	2.0	19	all	specific	533.3414634146342	236.0349922131842	41	2.0	0.83
OG0000088	41	2.0	23	all	specific	773.4878048780488	68.05489962871242	41	2.0	1.00
OG0000089	41	2.0	23	all	specific	450.7073170731707	144.0262922986276	41	2.0	1.00
OG0000090	41	2.0	23	all	specific	416.4390243902439	146.96142662658582	41	2.0	1.00
OG0000091	41	2.0	17	all	specific	230.78048780487805	63.81242030457629	41	1.0	0.74
OG0000092	41	2.0	18	all	specific	301.0731707317073	153.89026661306147	41	1.0	0.78
OG0000093	40	2.0	18	all	specific	430.675	72.17630757388464	40	1.0	0.78
OG0000094	40	2.0	16	all	specific	844.325	641.1260167665948	40	1.0	0.70
OG0000095	40	2.0	23	all	specific	372.95	113.24728473566154	40	2.0	1.00
OG0000096	40	3.0	17	all	specific	600.025	104.44076969747015	40	1.0	0.74
OG0000097	40	2.0	17	all	specific	522.95	108.210200535809	40	1.0	0.74
OG0000098	40	1.0	23	all	specific	529.6	132.81355352523326	40	1.0	1.00
OG0000099	40	2.0	16	all	specific	328.075	177.412004596645	40	1.0	0.70
OG0000100	39	2.0	23	all	specific	317.3333333333333	165.64517737116523	39	2.0	1.00
OG0000101	39	2.0	15	all	specific	761.3076923076923	468.2269422278132	39	2.0	0.65
OG0000102	39	2.5	16	all	specific	620.8461538461538	354.759328925352	39	2.0	0.70
OG0000103	39	2.0	15	all	specific	882.1025641025641	462.225985071671	39	1.0	0.65
OG0000104	39	2.0	19	all	specific	487.94871794871796	222.88101329655683	39	2.0	0.83
