#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0000008	shared	true	23	0.35
OG0000014	shared	true	23	0.22
OG0000023	shared	true	20	0.40
OG0000024	shared	true	22	0.27
OG0000025	shared	true	22	0.36
OG0000035	shared	true	23	0.35
OG0000036	shared	true	22	0.14
OG0000043	shared	true	23	0.30
OG0000045	shared	true	23	0.39
OG0000052	shared	true	23	0.17
OG0000059	shared	true	23	0.35
OG0000065	shared	true	23	0.35
OG0000069	shared	true	23	0.26
OG0000072	shared	true	20	0.30
OG0000074	shared	true	23	0.13
OG0000086	shared	true	20	0.40
OG0000088	shared	true	23	0.22
OG0000095	shared	true	23	0.26
OG0000098	shared	true	23	0.52
OG0000111	shared	true	22	0.32
OG0000113	shared	true	22	0.32
OG0000115	shared	true	23	0.70
OG0000117	shared	true	23	0.43
OG0000122	shared	true	21	0.24
OG0000123	shared	true	23	0.57
OG0000124	shared	true	23	0.48
OG0000125	shared	true	23	0.43
OG0000127	shared	true	22	0.36
OG0000128	shared	true	23	0.43
OG0000132	shared	true	22	0.36
OG0000133	shared	true	22	0.36
OG0000139	shared	true	23	0.61
OG0000144	shared	true	23	0.48
OG0000151	shared	true	23	0.57
OG0000158	shared	true	23	0.48
OG0000163	shared	true	23	0.48
OG0000183	shared	true	21	0.43
OG0000192	shared	true	21	0.67
OG0000196	shared	true	23	0.70
OG0000197	shared	true	23	0.61
OG0000209	shared	true	19	0.47
OG0000210	shared	true	23	0.61
OG0000216	shared	true	23	0.78
OG0000222	shared	true	23	0.65
OG0000235	shared	true	23	0.65
OG0000241	shared	true	23	0.65
OG0000257	shared	true	23	0.70
OG0000262	shared	true	23	0.70
OG0000263	shared	true	22	0.77
OG0000267	shared	true	23	0.74
OG0000274	shared	true	23	0.74
OG0000277	shared	true	23	0.78
OG0000279	shared	true	23	0.74
OG0000281	shared	true	18	0.50
OG0000288	shared	true	21	0.67
OG0000291	shared	true	23	0.74
OG0000292	shared	true	23	0.78
OG0000293	shared	true	19	0.58
OG0000294	shared	true	17	0.47
OG0000298	shared	true	23	0.78
OG0000301	shared	true	18	0.50
OG0000302	shared	true	22	0.73
OG0000304	shared	true	23	0.78
OG0000307	shared	true	23	0.78
OG0000314	shared	true	23	0.78
OG0000315	shared	true	22	0.77
OG0000316	shared	true	23	0.78
OG0000319	shared	true	23	0.78
OG0000321	shared	true	23	0.83
OG0000322	shared	true	23	0.78
OG0000323	shared	true	22	0.73
OG0000327	shared	true	23	0.83
OG0000330	shared	true	23	0.87
OG0000331	shared	true	23	0.83
OG0000332	shared	true	23	0.83
OG0000333	shared	true	23	0.83
OG0000334	shared	true	23	0.83
OG0000338	shared	true	23	0.83
OG0000343	shared	true	19	0.58
OG0000350	shared	true	23	0.83
OG0000352	shared	true	23	0.91
OG0000353	shared	true	23	0.83
OG0000359	shared	true	23	0.87
OG0000361	shared	true	23	0.87
OG0000363	shared	true	23	0.87
OG0000364	shared	true	23	0.87
OG0000365	shared	true	22	0.82
OG0000368	shared	true	21	0.76
OG0000369	shared	true	22	0.82
OG0000372	shared	true	23	0.87
OG0000375	shared	true	23	0.87
OG0000383	shared	true	23	0.87
OG0000386	shared	true	23	0.87
OG0000390	shared	true	23	0.91
OG0000391	shared	true	23	0.87
OG0000396	shared	true	23	0.87
OG0000399	shared	true	23	0.87
OG0000401	shared	true	23	0.87
OG0000404	shared	true	23	0.96
OG0000405	shared	true	23	0.91
OG0000406	shared	true	23	0.91
OG0000407	shared	true	23	0.96
