Reference	Lopez-Mondejar_general_activity	General_Activity	origin	CAZyme_families	Main activity in the family/subfamily		Supplementary Table S3. The CAZyme families/subfamilies were grouped according the main enzymatic activities characterized in the family/subfamily into 14 different classes or general activities.
López-Mondéjar	Glycoconjugate-degrading enzymes*	Alpha-mannanase/mannosidase/GDE	a-fungal	GH38	_-mannosidase (EC 3.2.1.24)		
López-Mondéjar	Glycoconjugate-degrading enzymes*	Alpha-mannanase/mannosidase/GDE	a-fungal	GH47	"mannosyl-oligosaccharide _-1,2-mannosidase (EC 3.2.1.113)"		
López-Mondéjar	Glycoconjugate-degrading enzymes*	Alpha-mannanase/mannosidase/GDE	a-fungal	GH76	"_-1,6-mannanase (EC 3.2.1.101)"		
López-Mondéjar	Glycoconjugate-degrading enzymes*	Alpha-mannanase/mannosidase/GDE	a-fungal	GH92	_-mannosidase (EC 3.2.1.24)		
López-Mondéjar	Glycoconjugate-degrading enzymes*	Alpha-mannanase/mannosidase/GDE	a-fungal	GH99	"glycoprotein endo-_-1,2-mannosidase (EC 3.2.1.130)"		
		Alpha-mannanase/mannosidase/GDE	a-fungal	GH125	"exo-_-1,6-mannosidase (EC 3.2.1.163)"		
		Alpha-mannosyltransferase	a-fungal	GT71	_-mannosyltransferase (EC 2.4.1.-)		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH128	"endo-1,3-_-glucanase (EC 3.2.1.39)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH144	"endo-_-1,2-glucanase (EC 3.2.1.71)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH148	"_-1,3-glucanase (EC 3.2.1.-)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH149	"_-1,3-glucan phosphorylase (EC 2.4.1.97)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH152	"endo-1,3-_-glucanase (EC 3.2.1.39)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH157	"endo-1,3-_-glucanase (EC 3.2.1.39)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH158	"endo-1,3-_-glucanase (EC 3.2.1.39)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH16	"endo-1,6-_-glucosidase (EC 3.2.1.75); endo-1,3-_-glucanase (EC 3.2.1.39); lichenase / endo-_-1,3-1,4-glucanase (EC 3.2.1.73)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH161	"_-1,3-glucan phosphorylase (EC 2.4.1.97)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH162	"endo-_-1,2-glucanase (EC 3.2.1.71)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH17	"endo-1,3-_-glucanase (EC 3.2.1.39)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH30_3 	"endo-1,6-_-glucosidase (EC 3.2.1.75)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH5_47	"endo-1,3-_-glucanase (EC 3.2.1.39); endo-1,6-_-glucosidase (EC 3.2.1.75)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH55	"exo-_-1,3-glucanase (EC 3.2.1.58); endo-1,3-_-glucanase (EC 3.2.1.39)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH64	"endo-1,3-_-glucanase (EC 3.2.1.39)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH72	"_-1,3-glucanosyltransglycosylase (EC 2.4.1.-)"		
López-Mondéjar	Beta-glucanases	Beta-glucanases	a-fungal	GH81	"endo-1,3-_-glucanase (EC 3.2.1.39)"		
		Beta-glucanases	a-fungal	GH131	"endo-_-1,4-glucanase (EC 3.2.1.21); exo-_-1,3-glucanase (EC 3.2.1.58);"		
		Beta-glucanases	a-fungal	GH132	"Activity on _-1,3-glucan (curdlan) shown for the Aspergillus fumigatus Sun4 protein; activity on laminarioligosaccharides shown for Aspergillus fumigatus Sun4 protein and Candida albicans Sun41 protein; transglycosylation activity reported in PMID 23508952; _-1,3-glucosidase (EC 3.2.1.-)"		
