genome	genome_short	association	association2	association3	arthropod	mammal_pathogen	soil	wood	infructescence	macrofungus	family	reference	nitrate_nitrite_transporter_K02575	nitrate_reductase_K10534	nitrite_reductase_K17877	glutamine_synthetase_K01915	glutamate_synthase_K00266_K00264	glutamate_dehydrogenase_K15371_K00262	nitrilase_K01501	formamidase_K01455
Ophiostoma_fasciatum_VPRI43845	O_fasciatum	insect_associated	bark beetle/conifer wood	environmental	1	0	0	1	0	0	Ophiostomataceae	"Trollip C, Carnegie AJ, Dinh Q, Kaur J, Smith D, Mann R, Rodoni B, Edwards J. Ophiostomatoid fungi associated with pine bark beetles and infested pines in south-eastern Australia, including Graphilbum ipis-grandicollis sp. nov. IMA Fungus. 2021 Sep 1;12(1):24. doi: 10.1186/s43008-021-00076-w. Erratum in: IMA Fungus. 2021 Sep 21;12(1):27. PMID: 34465398; PMCID: PMC8408996."								
Sporothrix_bragantina_CBS47491	S_bragantina	soil_associated	soil	environmental	0	0	1	0	0	0	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"								
Sporothrix_brasiliensis_5110	S_brasiliensis	human_associated	human pathogenic	pathogenic	0	1	0	0	0	0	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"	0	1	0	1	1	1	1	1
Sporothrix_brunneoviolacea_CBS124561	S_brunneoviolacea	soil_associated	soil/hardwood	environmental	0	0	1	1	0	0	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"	1	0	0	1	1	1	1	1
Sporothrix_curviconia_CBS95973	S_curviconia	plant_asscociated	hardwood	environmental	0	0	0	1	0	0	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"	0	0	0	1	0	1	0	0
Sporothrix_dimorphospora_CBS55374	S_dimorphospora	soil_associated	soil/hardwood	environmental	0	0	1	1	0	0	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"	1	1	1	1	1	1	1	1
Sporothrix_epigloea_CBS119000	S_epigloea	fungal_associated	macrofungi	mycophilic	0	0	0	0	0	1	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"	1	0	0	1	1	1	0	1
Sporothrix_epigloea_CBS57363	S_epigloea	fungal_associated	macrofungi	mycophilic	0	0	0	0	0	1	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"	1	0	0	1	1	1	1	1
Sporothrix_epigloea_TF4163	S_epigloea	fungal_associated	macrofungi	mycophilic	0	0	0	0	0	1	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"	1	0	0	1	1	1	0	1
Sporothrix_eucalyptigena_CBS139899	S_eucalyptigena	plant_asscociated	hardwood	environmental	0	0	0	1	0	0	Ophiostomataceae	"de beer et al., 2016, The divorce of Sporothrix and Ophiostoma: solution to a problematic relationship"								
