genome	tax_class
Agaricus_bisporus_S_H97_GCA_000300575	Agaricomycetes
Ampelomyces_quisqualis_S_BRIP72107_GCA_018398575	Dothideomycetes
Annulohypoxylon_annulatum_S_SEMC78_GCA_944038255	Sordariomycetes
Annulohypoxylon_stygium_S_MG137_GCA_003049155	Sordariomycetes
Annulohypoxylon_truncatum_S_CBS140778_GCA_902805465	Sordariomycetes
Arthrobotrys_oligospora_S_ATCC24927_GCA_000225545	Orbiliomycetes
Cladobotryum_protrusum_S_CCMJ2080_GCA_004303015	Sordariomycetes
Clonostachys_rosea_S_671_GCA_000963775	Sordariomycetes
Cryptococcus_gattii_S_WM276_GCA_000185945	Tremellomycetes
Cryptococcus_neoformans_S_V31_GCA_002215745	Tremellomycetes
Escovopsis_weberi_S_strain_GCA_001278495	Sordariomycetes
Holtermannia_corniformis_S_JCM1743_GCA_001599935	Tremellomycetes
Hypomyces_perniciosus_S_HP10_GCA_008477525	Sordariomycetes
Leptographium_lundbergii_S_CBS138716_GCA_001455505	Sordariomycetes
Ophiostoma_fasciatum_S_VPRI43845_GCA_019925495	Sordariomycetes
Ophiostoma_ips_S_VPRI43529_GCA_019925475	Sordariomycetes
Ophiostoma_novoulmi_S_H327_GCA_000317715	Sordariomycetes
Parasitella_parasitica_S_CBS41266_GCA_000938895	Mucormycetes
Peniophora_rufa_S_SEMC34_GCA_944472145	Agaricomycetes
Pseudozyma_flocculosa_S_PF1_GCA_000417875	Ustilaginomycetes
Pycnoporus_coccineus_S_BRFM310_GCA_002092935	Agaricomycetes
Sporothrix_bragantina_S_CBS47491_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_brasiliensis_S_5110_GCA_000820605	Sordariomycetes
Sporothrix_brunneoviolacea_S_CBS124561_GCA_021396205	Sordariomycetes
Sporothrix_curviconia_S_CBS95973_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_dimorphospora_S_CBS55374_GCA_021397985	Sordariomycetes
Sporothrix_epigloea_S_CBS119000_GCA_943908295	Sordariomycetes
Sporothrix_epigloea_S_CBS57363_GCA_943900835	Sordariomycetes
Sporothrix_epigloea_S_TF4163_GCA_944036445	Sordariomycetes
Sporothrix_eucalyptigena_S_CBS139899_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_eucalyptigena_S_CBS140593_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375	Sordariomycetes
Sporothrix_globosa_S_CBS120340_GCA_001630435	Sordariomycetes
Sporothrix_humicola_S_CBS118129_GCA_021396245	Sordariomycetes
Sporothrix_inflata_S_CBS23968_GCA_021396225	Sordariomycetes
Sporothrix_insectorum_S_RCEF264_GCA_001636815	Sordariomycetes
Sporothrix_luriei_S_CBS93772_GCA_021398005	Sordariomycetes
Sporothrix_mexicana_S_CBS120341_GCA_021396375	Sordariomycetes
Sporothrix_nigrograna_S_VPRI43755_GCA_019925305	Sordariomycetes
Sporothrix_pallida_S_CBS13156_GCA_021396235	Sordariomycetes
Sporothrix_phasma_S_CBS119721_GCA_011037845	Sordariomycetes
Sporothrix_protearum_S_CBS116654_GCA_016097115	Sordariomycetes
Sporothrix_pseudoabietina_S_VPRI43531_GCA_019925295	Sordariomycetes
Sporothrix_schenckii_S_1099_GCA_000961545	Sordariomycetes
Sporothrix_thermara_S_CBS139747_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_variecibatus_S_CBS121961_GCA_021396255	Sordariomycetes
Tremella_fuciformis_S_NBRC9317_GCA_024343405	Tremellomycetes
Tremella_yokohamensis_S_SEMC49_GCA_944472115	Tremellomycetes
Tremella_fuciformis_S_tr26_GCA_000987905	Tremellomycetes
Tremella_mesenterica_S_ATCC28783_GCA_004117975	Tremellomycetes
Tremella_mesenterica_S_DSM1558_GCA_000271645	Tremellomycetes
Tremella_mesenterica_S_SEMC45_GCA_944472125	Tremellomycetes
Tremella_yokohamensis_S_NBRC100148_GCA_024343385	Tremellomycetes
Trichoderma_atroviride_S_IMI206040_GCA_000171015	Sordariomycetes
Trichoderma_harzianum_S_CBS22695_GCA_003025095	Sordariomycetes
Trichoderma_parareesei_S_CBS125925_GCA_001050175	Sordariomycetes
Trichoderma_reesei_S_QM6a_GCA_000167675	Sordariomycetes
Trichoderma_virens_S_Gv298_GCA_000170995	Sordariomycetes
