genome	Group
Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375	core Sporothrix clade
Sporothrix_pseudoabietina_S_VPRI43531_GCA_019925295	core Sporothrix clade
Sporothrix_variecibatus_S_CBS121961_GCA_021396255	core Sporothrix clade
Sporothrix_protearum_S_CBS116654_GCA_016097115	core Sporothrix clade
Sporothrix_humicola_S_CBS118129_GCA_021396245	core Sporothrix clade
Sporothrix_pallida_S_CBS13156_GCA_021396235	core Sporothrix clade
Sporothrix_mexicana_S_CBS120341_GCA_021396375	core Sporothrix clade
Sporothrix_brasiliensis_S_5110_GCA_000820605	core Sporothrix clade
Sporothrix_schenckii_S_1099_GCA_000961545	core Sporothrix clade
Sporothrix_globosa_S_CBS120340_GCA_001630435	core Sporothrix clade
Sporothrix_luriei_S_CBS93772_GCA_021398005	core Sporothrix clade
Sporothrix_phasma_S_CBS119721_GCA_011037845	core Sporothrix clade
Sporothrix_dimorphospora_S_CBS55374_GCA_021397985	core Sporothrix clade
Sporothrix_inflata_S_CBS23968_GCA_021396225	core Sporothrix clade
Sporothrix_bragantina_S_CBS47491_GCA_XXXXXXXXX	core Sporothrix clade
Sporothrix_curviconia_S_CBS95973_GCA_XXXXXXXXX	core Sporothrix clade
Sporothrix_thermara_S_CBS139747_GCA_XXXXXXXXX	core Sporothrix clade
Sporothrix_epigloea_S_CBS57363_GCA_943900835	core Sporothrix clade
Sporothrix_epigloea_S_TF4163_GCA_944036445	core Sporothrix clade
Sporothrix_epigloea_S_CBS119000_GCA_943908295	core Sporothrix clade
Sporothrix_eucalyptigena_S_CBS139899_GCA_XXXXXXXXX	core Sporothrix clade
Sporothrix_eucalyptigena_S_CBS140593_GCA_XXXXXXXXX	core Sporothrix clade
Sporothrix_nigrograna_S_VPRI43755_GCA_019925305	core Sporothrix clade
Ophiostoma_novoulmi_S_H327_GCA_000317715	outgroup
Ophiostoma_ips_S_VPRI43529_GCA_019925475	outgroup
Sporothrix_brunneoviolacea_S_CBS124561_GCA_021396205	outgroup
Ophiostoma_fasciatum_S_VPRI43845_GCA_019925495	outgroup
Sporothrix_insectorum_S_RCEF264_GCA_001636815	outgroup
Leptographium_lundbergii_S_CBS138716_GCA_001455505	outgroup
Tremella_yokohamensis_S_CBS18117_GCA_963924285	associates
Annulohypoxylon_annulatum_S_CBS149473_GCA_963924275	associates
