Sporothrix_curviconia_S_CBS95973_GCA_016097085	n_Sporothrix_curviconia_S_CBS95973_GCA_016097085
K00008	1
K00009	1
K00012	1
K00015	1
K00029	1
K00030	1
K00031	3
K00033	1
K00052	2
K00053	1
K00058	2
K00059	1
K00062	1
K00065	1
K00078	1
K00088	1
K00101	2
K00102	3
K00107	1
K00108	2
K00111	4
K00128	1
K00133	1
K00135	1
K00140	1
K00162	1
K00167	1
K00211	1
K00227	1
K00228	1
K00232	1
K00234	1
K00237	1
K00239	1
K00240	1
K00249	1
K00252	1
K00254	1
K00262	1
K00273	1
K00274	1
K00275	1
K00276	1
K00281	1
K00286	2
K00287	1
K00288	1
K00290	1
K00294	1
K00295	1
K00311	1
K00318	1
K00326	1
K00344	1
K00381	1
K00384	1
K00389	1
K00411	1
K00413	1
K00415	1
K00417	1
K00418	1
K00419	1
K00432	1
K00451	6
K00452	1
K00456	1
K00457	1
K00459	3
K00463	2
K00469	1
K00477	1
K00480	5
K00485	1
K00505	1
K00507	1
K00511	1
K00549	3
K00555	1
K00559	1
K00560	1
K00565	1
K00574	2
K00586	1
K00587	1
K00589	1
K00598	1
K00600	3
K00601	1
K00602	1
K00605	1
K00606	1
K00615	3
K00616	2
K00618	1
K00620	1
K00624	1
K00626	6
K00641	4
K00643	1
K00654	1
K00657	1
K00658	1
K00667	1
K00668	1
K00671	2
K00682	1
K00683	2
K00688	1
K00693	1
K00698	6
K00706	1
K00720	1
K00721	1
K00728	2
K00729	1
K00730	1
K00737	1
K00759	1
K00762	1
K00763	1
K00764	1
K00765	1
K00766	1
K00772	1
K00784	1
K00787	1
K00789	1
K00793	1
K00794	1
K00799	2
K00800	1
K00801	1
K00804	1
K00809	1
K00814	1
K00817	1
K00826	1
K00838	1
K00844	3
K00846	1
K00850	1
K00851	1
K00852	1
K00856	2
K00858	3
K00859	1
K00864	1
K00866	1
K00868	1
K00869	2
K00872	1
K00873	1
K00876	1
K00878	1
K00888	1
K00898	1
K00899	1
K00902	1
K00914	1
K00925	1
K00927	1
K00938	1
K00939	3
K00940	1
K00942	1
K00943	1
K00948	6
K00949	1
K00958	1
K00963	1
K00965	1
K00966	1
K00967	1
K00968	1
K00981	1
K00988	1
K00997	1
K01001	1
K01012	1
K01027	1
K01045	2
K01051	2
K01052	2
K01053	1
K01056	1
K01061	1
K01069	2
K01074	1
K01077	2
K01078	1
K01092	1
K01098	1
K01099	1
K01102	1
K01113	1
K01114	1
K01115	3
K01126	1
K01164	1
K01173	1
K01174	1
K01178	2
K01180	1
K01181	2
K01183	6
K01190	1
K01191	1
K01192	5
K01194	1
K01195	1
K01196	1
K01198	2
K01199	2
K01206	1
K01207	1
K01209	3
K01210	1
K01239	3
K01247	1
K01251	1
K01264	1
K01265	2
K01266	1
K01273	2
K01277	1
K01279	2
K01293	1
K01309	1
K01336	2
K01409	2
K01424	1
K01426	14
K01427	1
K01433	1
K01443	1
K01464	1
K01469	4
K01477	1
K01480	2
K01483	2
K01487	1
K01489	1
K01490	1
K01493	1
K01495	1
K01497	1
K01505	1
K01507	1
K01519	1
K01522	1
K01527	1
K01530	3
K01535	1
K01536	1
K01549	1
K01551	1
K01555	1
K01556	1
K01557	1
K01565	1
K01569	1
K01581	1
K01597	1
K01599	2
K01607	3
K01610	1
K01611	2
K01613	3
K01619	1
K01620	1
K01621	1
K01624	2
K01626	3
K01637	1
K01647	1
K01648	1
K01653	1
K01655	1
K01657	1
K01663	1
K01669	1
K01673	3
K01679	1
K01687	2
K01689	1
K01694	1
K01695	1
K01696	1
K01698	1
K01719	1
K01720	2
K01724	1
K01736	1
K01740	2
K01749	1
K01751	1
K01754	1
K01755	1
K01756	1
K01759	1
K01764	1
K01771	2
K01772	1
K01783	1
K01785	3
K01792	1
K01796	1
K01799	1
K01802	1
K01803	2
K01807	1
K01808	1
K01809	2
K01810	1
K01817	1
K01823	1
K01824	2
K01843	1
K01845	1
K01850	2
K01855	1
K01858	2
K01866	1
K01867	1
K01868	1
K01870	1
K01872	1
K01873	1
K01874	1
K01875	2
K01880	2
K01881	2
K01883	1
K01887	1
K01889	2
K01892	1
K01893	1
K01895	1
K01897	1
K01900	1
K01904	2
K01907	1
K01915	3
K01922	1
K01923	1
K01930	1
K01933	1
K01937	1
K01939	1
K01940	1
K01942	1
K01945	1
K01951	1
K01953	1
K01969	1
K02111	1
K02113	1
K02127	1
K02128	1
K02134	1
K02135	1
K02137	1
K02138	1
K02139	1
K02140	1
