Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375	n_Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375
K00006	1
K00008	5
K00009	1
K00012	1
K00013	1
K00015	3
K00020	2
K00021	1
K00026	2
K00029	2
K00030	2
K00031	2
K00033	1
K00036	1
K00045	1
K00052	2
K00053	1
K00058	2
K00059	5
K00062	2
K00065	1
K00074	1
K00077	2
K00078	2
K00088	1
K00101	4
K00102	3
K00106	1
K00107	1
K00108	7
K00109	1
K00111	2
K00122	1
K00128	3
K00130	1
K00133	1
K00134	1
K00135	3
K00140	2
K00143	1
K00145	1
K00147	1
K00161	1
K00162	1
K00164	1
K00166	1
K00167	1
K00211	1
K00222	1
K00223	1
K00226	1
K00227	1
K00228	1
K00231	1
K00234	1
K00235	1
K00236	1
K00237	1
K00239	1
K00240	1
K00249	7
K00252	1
K00253	1
K00254	1
K00262	1
K00264	1
K00266	1
K00273	4
K00274	1
K00275	3
K00276	3
K00281	1
K00286	2
K00287	1
K00288	1
K00290	1
K00293	1
K00294	1
K00295	1
K00297	2
K00306	2
K00311	1
K00318	1
K00323	1
K00326	3
K00327	1
K00334	1
K00344	4
K00354	3
K00365	1
K00380	1
K00381	1
K00382	1
K00383	1
K00384	1
K00387	1
K00389	2
K00390	1
K00411	1
K00413	1
K00415	1
K00416	1
K00417	1
K00418	1
K00432	1
K00450	1
K00451	4
K00452	1
K00456	1
K00457	1
K00459	4
K00463	3
K00467	1
K00469	1
K00474	1
K00477	1
K00480	21
K00485	1
K00486	1
K00505	1
K00507	1
K00511	1
K00525	1
K00526	1
K00549	3
K00551	1
K00555	1
K00558	1
K00559	1
K00560	1
K00565	1
K00573	1
K00574	3
K00586	1
K00587	1
K00588	1
K00589	1
K00591	1
K00598	1
K00600	3
K00601	1
K00602	1
K00605	1
K00606	1
K00609	1
K00611	1
K00615	2
K00616	2
K00618	1
K00620	1
K00621	1
K00624	2
K00626	9
K00627	1
K00637	1
K00641	3
K00643	1
K00654	2
K00655	1
K00657	1
K00658	1
K00667	1
K00668	1
K00671	1
K00679	1
K00681	2
K00683	2
K00685	1
K00688	1
K00693	1
K00694	2
K00697	1
K00698	7
K00700	1
K00706	1
K00720	1
K00721	1
K00728	3
K00729	1
K00730	1
K00737	1
K00750	1
K00759	1
K00761	2
K00762	1
K00763	1
K00764	1
K00765	1
K00766	1
K00767	1
K00772	1
K00777	1
K00784	1
K00787	1
K00788	1
K00789	1
K00791	1
K00793	1
K00794	1
K00797	1
K00799	7
K00800	1
K00801	1
K00804	1
K00809	1
K00814	1
K00817	1
K00818	1
K00819	1
K00820	1
K00826	3
K00830	1
K00831	1
K00838	2
K00844	5
K00846	1
K00850	1
K00851	2
K00852	2
K00854	1
K00856	1
K00858	3
K00859	1
K00860	1
K00863	3
K00864	2
K00866	1
K00868	1
K00869	1
K00872	1
K00873	1
K00876	1
K00877	1
K00878	1
K00888	1
K00889	1
K00898	2
K00899	1
K00900	1
K00902	1
K00914	1
K00916	1
K00921	1
K00925	1
K00927	1
K00928	1
K00931	1
K00938	1
K00939	3
K00940	1
K00941	1
K00942	1
K00943	1
K00948	3
K00949	1
K00953	2
K00958	1
K00963	1
K00965	1
K00966	2
K00967	1
K00968	1
K00972	1
K00974	1
K00981	1
K00987	1
K00988	2
K00993	2
K00997	1
K00999	1
K01001	1
K01011	1
K01012	1
K01013	1
K01027	2
K01051	2
K01052	2
K01053	2
K01054	2
K01056	1
K01057	1
K01061	1
K01062	1
K01067	1
K01069	2
K01070	1
K01074	1
K01077	1
K01078	3
K01079	1
K01081	1
K01082	2
K01092	2
K01094	1
K01098	1
K01099	1
K01100	1
K01101	1
K01102	2
K01104	3
K01113	1
K01114	2
K01115	3
K01120	1
K01126	1
K01133	1
K01137	1
K01148	1
K01151	1
K01164	1
K01173	1
K01174	2
K01176	1
K01178	2
K01180	1
K01181	1
K01182	1
K01183	8
K01190	1
K01191	1
K01192	5
K01194	2
K01196	1
K01198	2
K01199	2
K01207	1
K01209	2
K01210	2
K01228	1
K01230	3
K01235	1
K01238	1
K01239	2
K01240	1
K01247	1
K01251	1
K01254	1
K01259	2
K01262	2
K01264	1
K01265	2
K01266	1
K01267	1
K01268	1
K01273	3
K01277	1
K01279	5
K01282	1
