Sporothrix_insectorum_S_RCEF264_GCA_001636815	n_Sporothrix_insectorum_S_RCEF264_GCA_001636815
K00001	1
K00002	4
K00003	1
K00004	2
K00006	1
K00008	6
K00010	1
K00012	1
K00013	2
K00015	5
K00019	5
K00020	4
K00021	1
K00022	1
K00026	2
K00027	2
K00028	1
K00029	2
K00030	3
K00031	1
K00033	1
K00036	1
K00052	5
K00053	1
K00058	8
K00059	42
K00060	2
K00062	2
K00065	4
K00069	2
K00074	1
K00077	5
K00078	2
K00088	1
K00101	4
K00102	3
K00106	1
K00107	1
K00111	2
K00121	1
K00122	1
K00128	13
K00130	12
K00134	1
K00135	17
K00139	5
K00140	1
K00143	1
K00145	1
K00147	1
K00149	1
K00161	1
K00162	1
K00164	1
K00166	1
K00167	1
K00211	1
K00213	1
K00222	1
K00223	1
K00226	1
K00227	2
K00228	1
K00234	1
K00235	1
K00236	1
K00237	1
K00239	1
K00240	1
K00248	2
K00249	6
K00252	1
K00253	1
K00262	1
K00264	1
K00266	1
K00273	5
K00274	4
K00275	2
K00276	3
K00278	1
K00281	1
K00284	1
K00286	1
K00287	1
K00288	1
K00289	1
K00290	1
K00293	1
K00294	1
K00295	1
K00297	2
K00306	5
K00311	1
K00318	1
K00322	1
K00323	1
K00326	4
K00327	1
K00335	1
K00344	6
K00354	2
K00365	1
K00380	2
K00381	1
K00382	2
K00383	1
K00384	1
K00389	5
K00390	1
K00392	1
K00411	1
K00413	1
K00415	1
K00416	1
K00417	1
K00418	1
K00432	1
K00434	1
K00451	2
K00452	1
K00456	1
K00457	1
K00459	4
K00463	2
K00467	1
K00469	1
K00471	2
K00472	2
K00474	1
K00477	2
K00480	3
K00485	1
K00486	1
K00505	7
K00507	1
K00511	2
K00521	5
K00526	1
K00545	1
K00549	3
K00551	1
K00555	1
K00558	2
K00559	2
K00560	1
K00565	1
K00573	1
K00574	2
K00586	1
K00587	1
K00589	1
K00591	1
K00598	1
K00600	3
K00601	1
K00602	1
K00605	1
K00606	1
K00609	1
K00611	1
K00615	4
K00616	3
K00618	1
K00620	1
K00621	1
K00624	2
