Module	cluster	Rank_3	Rank_2	Rank_1
M00001	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00002	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00003	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00307	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00009	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00010	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00011	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00004	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00006	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00007	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00580	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00005	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00008	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00308	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00633	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00309	1	Central carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00014	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00630	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00631	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00061	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00081	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00632	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00552	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00129	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00114	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00550	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00854	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00855	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00565	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00549	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00554	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00892	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00909	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00761	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00012	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00373	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00740	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00532	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00013	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00741	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00968	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00130	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00131	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00132	2	Other carbohydrate metabolism	Carbohydrate metabolism	Pathway Modules
M00165	3	Carbon fixation	Energy metabolism	Pathway Modules
M00168	3	Carbon fixation	Energy metabolism	Pathway Modules
M00169	3	Carbon fixation	Energy metabolism	Pathway Modules
M00172	3	Carbon fixation	Energy metabolism	Pathway Modules
M00171	3	Carbon fixation	Energy metabolism	Pathway Modules
M00170	3	Carbon fixation	Energy metabolism	Pathway Modules
M00173	3	Carbon fixation	Energy metabolism	Pathway Modules
M00376	3	Carbon fixation	Energy metabolism	Pathway Modules
M00375	3	Carbon fixation	Energy metabolism	Pathway Modules
M00374	3	Carbon fixation	Energy metabolism	Pathway Modules
M00377	3	Carbon fixation	Energy metabolism	Pathway Modules
M00579	3	Carbon fixation	Energy metabolism	Pathway Modules
M00620	3	Carbon fixation	Energy metabolism	Pathway Modules
M00567	4	Methane metabolism	Energy metabolism	Pathway Modules
M00357	4	Methane metabolism	Energy metabolism	Pathway Modules
M00356	4	Methane metabolism	Energy metabolism	Pathway Modules
M00563	4	Methane metabolism	Energy metabolism	Pathway Modules
M00358	4	Methane metabolism	Energy metabolism	Pathway Modules
M00608	4	Methane metabolism	Energy metabolism	Pathway Modules
M00174	4	Methane metabolism	Energy metabolism	Pathway Modules
M00346	4	Methane metabolism	Energy metabolism	Pathway Modules
M00345	4	Methane metabolism	Energy metabolism	Pathway Modules
M00344	4	Methane metabolism	Energy metabolism	Pathway Modules
M00378	4	Methane metabolism	Energy metabolism	Pathway Modules
M00935	4	Methane metabolism	Energy metabolism	Pathway Modules
M00422	4	Methane metabolism	Energy metabolism	Pathway Modules
M00175	5	Nitrogen metabolism	Energy metabolism	Pathway Modules
M00531	5	Nitrogen metabolism	Energy metabolism	Pathway Modules
M00530	5	Nitrogen metabolism	Energy metabolism	Pathway Modules
M00529	5	Nitrogen metabolism	Energy metabolism	Pathway Modules
M00528	5	Nitrogen metabolism	Energy metabolism	Pathway Modules
M00804	5	Nitrogen metabolism	Energy metabolism	Pathway Modules
M00973	5	Nitrogen metabolism	Energy metabolism	Pathway Modules
M00176	6	Sulfur metabolism	Energy metabolism	Pathway Modules
M00596	6	Sulfur metabolism	Energy metabolism	Pathway Modules
M00595	6	Sulfur metabolism	Energy metabolism	Pathway Modules
M00161	7	Photosynthesis	Energy metabolism	Pathway Modules
M00163	7	Photosynthesis	Energy metabolism	Pathway Modules
M00597	7	Photosynthesis	Energy metabolism	Pathway Modules
M00598	7	Photosynthesis	Energy metabolism	Pathway Modules
M00144	8	ATP synthesis	Energy metabolism	Pathway Modules
M00145	8	ATP synthesis	Energy metabolism	Pathway Modules
M00142	8	ATP synthesis	Energy metabolism	Pathway Modules
M00143	8	ATP synthesis	Energy metabolism	Pathway Modules
M00146	8	ATP synthesis	Energy metabolism	Pathway Modules
M00147	8	ATP synthesis	Energy metabolism	Pathway Modules
M00149	8	ATP synthesis	Energy metabolism	Pathway Modules
M00150	8	ATP synthesis	Energy metabolism	Pathway Modules
M00148	8	ATP synthesis	Energy metabolism	Pathway Modules
M00162	8	ATP synthesis	Energy metabolism	Pathway Modules
M00151	8	ATP synthesis	Energy metabolism	Pathway Modules
M00152	8	ATP synthesis	Energy metabolism	Pathway Modules
M00154	8	ATP synthesis	Energy metabolism	Pathway Modules
M00155	8	ATP synthesis	Energy metabolism	Pathway Modules
M00153	8	ATP synthesis	Energy metabolism	Pathway Modules
M00417	8	ATP synthesis	Energy metabolism	Pathway Modules
M00416	8	ATP synthesis	Energy metabolism	Pathway Modules
M00156	8	ATP synthesis	Energy metabolism	Pathway Modules
M00157	8	ATP synthesis	Energy metabolism	Pathway Modules
M00158	8	ATP synthesis	Energy metabolism	Pathway Modules
M00159	8	ATP synthesis	Energy metabolism	Pathway Modules
M00160	8	ATP synthesis	Energy metabolism	Pathway Modules
M00082	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00083	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00873	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00874	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00085	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00415	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00086	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00087	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00861	9	Fatty acid metabolism	Lipid metabolism	Pathway Modules
M00101	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00102	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00917	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00103	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00104	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00106	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00862	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00107	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00108	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00109	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00110	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00976	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00977	10	Sterol biosynthesis	Lipid metabolism	Pathway Modules
M00088	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00089	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00098	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00090	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00091	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00092	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00093	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00094	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00066	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00067	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00099	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00100	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00113	11	Lipid metabolism	Lipid metabolism	Pathway Modules
M00048	12	Purine metabolism	Nucleotide metabolism	Pathway Modules
M00049	12	Purine metabolism	Nucleotide metabolism	Pathway Modules
M00050	12	Purine metabolism	Nucleotide metabolism	Pathway Modules
M00053	12	Purine metabolism	Nucleotide metabolism	Pathway Modules
M00958	12	Purine metabolism	Nucleotide metabolism	Pathway Modules
M00959	12	Purine metabolism	Nucleotide metabolism	Pathway Modules
M00546	12	Purine metabolism	Nucleotide metabolism	Pathway Modules
M00051	13	Pyrimidine metabolism	Nucleotide metabolism	Pathway Modules
M00052	13	Pyrimidine metabolism	Nucleotide metabolism	Pathway Modules
M00938	13	Pyrimidine metabolism	Nucleotide metabolism	Pathway Modules
M00046	13	Pyrimidine metabolism	Nucleotide metabolism	Pathway Modules
M00939	13	Pyrimidine metabolism	Nucleotide metabolism	Pathway Modules
M00020	14	Serine and threonine metabolism	Amino acid metabolism	Pathway Modules
M00018	14	Serine and threonine metabolism	Amino acid metabolism	Pathway Modules
