genome	tax_class
Leptographium_lundbergii_S_CBS138716_GCA_001455505	Sordariomycetes
Ophiostoma_fasciatum_S_VPRI43845_GCA_019925495	Sordariomycetes
Ophiostoma_ips_S_VPRI43529_GCA_019925475	Sordariomycetes
Ophiostoma_novoulmi_S_H327_GCA_000317715	Sordariomycetes
Sporothrix_bragantina_S_CBS47491_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_brasiliensis_S_5110_GCA_000820605	Sordariomycetes
Sporothrix_brunneoviolacea_S_CBS124561_GCA_021396205	Sordariomycetes
Sporothrix_curviconia_S_CBS95973_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_dimorphospora_S_CBS55374_GCA_021397985	Sordariomycetes
Sporothrix_epigloea_S_CBS119000_GCA_943908295	Sordariomycetes
Sporothrix_epigloea_S_CBS57363_GCA_943900835	Sordariomycetes
Sporothrix_epigloea_S_TF4163_GCA_944036445	Sordariomycetes
Sporothrix_eucalyptigena_S_CBS139899_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_eucalyptigena_S_CBS140593_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375	Sordariomycetes
Sporothrix_globosa_S_CBS120340_GCA_001630435	Sordariomycetes
Sporothrix_humicola_S_CBS118129_GCA_021396245	Sordariomycetes
Sporothrix_inflata_S_CBS23968_GCA_021396225	Sordariomycetes
Sporothrix_insectorum_S_RCEF264_GCA_001636815	Sordariomycetes
Sporothrix_luriei_S_CBS93772_GCA_021398005	Sordariomycetes
Sporothrix_mexicana_S_CBS120341_GCA_021396375	Sordariomycetes
Sporothrix_nigrograna_S_VPRI43755_GCA_019925305	Sordariomycetes
Sporothrix_pallida_S_CBS13156_GCA_021396235	Sordariomycetes
Sporothrix_phasma_S_CBS119721_GCA_011037845	Sordariomycetes
Sporothrix_protearum_S_CBS116654_GCA_016097115	Sordariomycetes
Sporothrix_pseudoabietina_S_VPRI43531_GCA_019925295	Sordariomycetes
Sporothrix_schenckii_S_1099_GCA_000961545	Sordariomycetes
Sporothrix_thermara_S_CBS139747_GCA_XXXXXXXXX	Sordariomycetes
Sporothrix_variecibatus_S_CBS121961_GCA_021396255	Sordariomycetes
