CAZyme_family	Leptographium_lundbergii_CBS138716	Ophiostoma_fasciatum_VPRI43845	Ophiostoma_ips_VPRI43529	Ophiostoma_novoulmi_H327	Sporothrix_bragantina_CBS47491	Sporothrix_brasiliensis_5110	Sporothrix_brunneoviolacea_CBS124561	Sporothrix_curviconia_CBS95973	Sporothrix_dimorphospora_CBS55374	Sporothrix_epigloea_CBS119000	Sporothrix_epigloea_CBS57363	Sporothrix_epigloea_TF4163	Sporothrix_eucalyptigena_CBS139899	Sporothrix_eucalyptigena_CBS140593	Sporothrix_euskadiensis_VPRI43754	Sporothrix_globosa_CBS120340	Sporothrix_humicola_CBS118129	Sporothrix_inflata_CBS23968	Sporothrix_insectorum_RCEF264	Sporothrix_luriei_CBS93772	Sporothrix_mexicana_CBS120341	Sporothrix_nigrograna_VPRI43755	Sporothrix_pallida_CBS13156	Sporothrix_phasma_CBS119721	Sporothrix_protearum_CBS116654	Sporothrix_pseudoabietina_VPRI43531	Sporothrix_schenckii_1099	Sporothrix_thermara_CBS139747MAG	Sporothrix_variecibatus_CBS121961	General_Activity	origin
CE16	0	0	1	1	3	2	3	2	3	2	1	1	3	3	2	2	3	2	2	2	2	1	3	2	2	1	2	1	3	Acetylesterase	nd
GH29	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Alpha-fucosidases	nd
GH135	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	Alpha-galactosaminogalactanase/GDE	nd
GT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	Alpha-galactosyltransferase	nd
GH13	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	0	1	2	1	1	0	1	1	1	1	1	Alpha-glucanases	nd
GH15	1	1	1	1	2	2	2	1	4	2	2	2	3	3	2	2	1	3	1	1	3	2	1	1	1	2	2	1	2	Alpha-glucanases	nd
GH171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	Alpha-glucanases	nd
GH31	0	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	3	2	2	2	3	1	2	2	2	2	2	2	3	Alpha-glucanases	nd
GH37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	Alpha-glucanases	nd
GH49	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Alpha-glucanases	nd
GH71	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Alpha-glucanases	nd
GH125	2	1	3	2	3	4	2	3	3	1	1	1	3	2	3	3	3	3	2	3	4	3	3	3	3	3	3	2	3	Alpha-mannanase/mannosidase/GDE	a-fungal
GH47	1	2	1	1	1	2	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	Alpha-mannanase/mannosidase/GDE	a-fungal
GH76	3	4	6	7	7	6	5	7	7	4	6	4	7	7	6	5	7	7	5	6	6	5	7	5	7	6	6	5	7	Alpha-mannanase/mannosidase/GDE	a-fungal
GH92	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	Alpha-mannanase/mannosidase/GDE	a-fungal
GT71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Alpha-mannosyltransferase	a-fungal
GH53	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	Arabinogalactanases	b-plant
GH93	0	0	0	0	2	2	2	2	2	0	0	0	2	2	0	2	2	2	1	2	2	0	2	0	0	0	2	0	2	Arabinogalactanases	b-plant
GH32	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	Beta-fucosidases/fructosyltransferases	nd
GH128	1	0	1	2	0	1	0	2	2	1	1	2	1	1	2	1	1	2	2	1	1	0	2	1	1	3	1	0	3	Beta-glucanases	a-fungal
GH131	1	0	1	2	3	3	3	3	3	0	0	0	3	3	0	3	3	3	3	3	3	1	3	1	2	0	3	0	3	Beta-glucanases	a-fungal
GH132	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	1	1	1	2	2	1	2	Beta-glucanases	a-fungal
GH16	6	7	7	10	11	13	12	13	12	7	7	7	12	12	8	11	13	12	9	12	13	8	12	8	12	8	12	8	12	Beta-glucanases	a-fungal
GH17	0	1	0	2	1	1	0	0	0	0	0	0	1	1	2	1	1	0	1	1	1	0	1	1	0	2	1	0	1	Beta-glucanases	a-fungal
GH55	1	4	3	3	8	5	8	4	6	1	2	3	5	6	5	6	7	7	5	4	6	4	9	3	5	4	5	5	4	Beta-glucanases	a-fungal
GH64	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	0	1	Beta-glucanases	a-fungal
GH72	4	2	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	3	4	3	4	4	3	4	4	4	4	4	Beta-glucanases	a-fungal
GH81	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Beta-glucanases	a-fungal
GH3	2	3	3	5	7	6	8	7	6	1	2	1	9	9	4	7	7	6	8	5	9	4	7	3	5	4	5	3	6	Beta-glucosidases/Beta-xylosidases	b-plant
GH79	0	0	0	0	4	3	0	3	3	0	0	0	5	5	2	3	3	4	2	2	4	1	3	0	0	2	2	0	4	Beta-glucuronidase/GDE	nd
CBM52	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	Binding beta-glucans	a-fungal
CBM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Binding cellulose, xylans, beta-glucans	b-plant
CBM66	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Binding fructans	b-plant
CBM42	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	Binding other hemicelluloses	b-plant
CBM91	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	Binding xylans	b-plant
CBM24	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Binds alpha-glucan	nd
CBM18	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	2	1	0	2	1	1	0	1	0	1	0	1	0	1	Binds chitin	a-fungal
CBM32	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	Binds galactose and lactose	nd
