protease_family	Leptographium_lundbergii_CBS138716	Ophiostoma_fasciatum_VPRI43845	Ophiostoma_ips_VPRI43529	Ophiostoma_novoulmi_H327	Sporothrix_bragantina_CBS47491	Sporothrix_brasiliensis_5110	Sporothrix_brunneoviolacea_CBS124561	Sporothrix_curviconia_CBS95973	Sporothrix_dimorphospora_CBS55374	Sporothrix_epigloea_CBS119000	Sporothrix_epigloea_CBS57363	Sporothrix_epigloea_TF4163	Sporothrix_eucalyptigena_CBS139899	Sporothrix_eucalyptigena_CBS140593	Sporothrix_euskadiensis_VPRI43754	Sporothrix_globosa_CBS120340	Sporothrix_humicola_CBS118129	Sporothrix_inflata_CBS23968	Sporothrix_insectorum_RCEF264	Sporothrix_luriei_CBS93772	Sporothrix_mexicana_CBS120341	Sporothrix_nigrograna_VPRI43755	Sporothrix_pallida_CBS13156	Sporothrix_phasma_CBS119721	Sporothrix_protearum_CBS116654	Sporothrix_pseudoabietina_VPRI43531	Sporothrix_schenckii_1099	Sporothrix_thermara_CBS139747MAG	Sporothrix_variecibatus_CBS121961
A01A	12	9	12	13	17	15	20	17	19	8	10	9	17	17	13	16	20	20	13	14	19	9	20	8	14	12	16	12	19
C13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
G01	5	1	1	1	1	1	2	1	2	0	1	1	2	2	1	1	1	1	2	0	2	1	1	1	2	1	1	1	1
I09	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1
I51	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M03A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M14A	1	1	1	1	2	2	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2	1	2	1	2	1	2	1	2
M19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M20A	2	1	2	2	3	3	2	3	3	2	2	2	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3
M20D	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M28A	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M28E	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M28X	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1
M67A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S08A	5	2	8	5	7	5	5	8	6	1	1	1	6	5	2	6	7	6	5	5	7	3	10	3	5	2	6	4	5
S09C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S09X	4	3	2	5	15	10	20	15	17	2	3	2	16	17	4	10	16	17	9	6	13	5	17	4	7	4	8	6	19
S10	3	2	2	3	1	2	2	3	5	2	1	1	2	2	3	2	2	4	2	3	3	2	3	2	2	2	2	3	2
S12	1	0	1	0	1	1	3	2	2	0	1	1	2	2	3	1	2	2	2	2	2	1	3	1	1	2	2	2	3
S28	4	4	4	3	5	4	5	5	5	3	3	3	5	5	4	5	5	5	5	5	5	3	5	4	5	4	4	4	5
S33	2	0	0	2	1	0	2	1	3	0	1	0	1	1	1	1	2	2	1	0	3	0	3	0	0	0	0	1	3
S53	8	4	8	7	4	5	6	4	6	11	4	3	5	5	5	5	5	6	5	5	5	4	5	4	5	4	5	4	5
T03	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0
