species,web_local,mode
Ophiostoma fasciatum,data/assemblies/Ophiostoma_fasciatum_S_VPRI43845_GCA_019925495.fna,
Sporothrix bragantina,data/assemblies/Sporothrix_bragantina_S_CBS47491_GCA_XXXXXXXXX.fna,
Sporothrix brasiliensis,data/assemblies/Sporothrix_brasiliensis_S_5110_GCA_000820605.fna,
Sporothrix brunneoviolacea,data/assemblies/Sporothrix_brunneoviolacea_S_CBS124561_GCA_021396205.fna,
Sporothrix dimorphospora,data/assemblies/Sporothrix_dimorphospora_S_CBS55374_GCA_021397985.fna,
Sporothrix epigloea CBS119000,data/assemblies/Sporothrix_epigloea_S_CBS119000_GCA_943908295.fna,
Sporothrix epigloea CBS573.63,data/assemblies/Sporothrix_epigloea_S_CBS57363_GCA_943900835.fna,
Sporothrix epigloea TF41_63,data/assemblies/Sporothrix_epigloea_S_TF4163_GCA_944036445.fna,
Sporothrix eucalyptigena CBS139899,data/assemblies/Sporothrix_eucalyptigena_S_CBS139899_GCA_XXXXXXXXX.fna,
Sporothrix eucalyptigena CBS140593,data/assemblies/Sporothrix_eucalyptigena_S_CBS140593_GCA_XXXXXXXXX.fna,
Sporothrix euskadiensis,data/assemblies/Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375.fna,
Sporothrix globosa,data/assemblies/Sporothrix_globosa_S_CBS120340_GCA_001630435.fna,
Sporothrix humicola,data/assemblies/Sporothrix_humicola_S_CBS118129_GCA_021396245.fna,
Sporothrix inflata,data/assemblies/Sporothrix_inflata_S_CBS23968_GCA_021396225.fna,
Sporothrix insectorum,data/assemblies/Sporothrix_insectorum_S_RCEF264_GCA_001636815.fna,
Sporothrix luriei,data/assemblies/Sporothrix_luriei_S_CBS93772_GCA_021398005.fna,
Sporothrix mexicana,data/assemblies/Sporothrix_mexicana_S_CBS120341_GCA_021396375.fna,
Sporothrix nigrograna,data/assemblies/Sporothrix_nigrograna_S_VPRI43755_GCA_019925305.fna,
Sporothrix pallida,data/assemblies/Sporothrix_pallida_S_CBS13156_GCA_021396235.fna,
Sporothrix phasma,data/assemblies/Sporothrix_phasma_S_CBS119721_GCA_011037845.fna,
Sporothrix protearum,data/assemblies/Sporothrix_protearum_S_CBS116654_GCA_016097115.fna,
Sporothrix pseudoabietina,data/assemblies/Sporothrix_pseudoabietina_S_VPRI43531_GCA_019925295.fna,
Sporothrix schenckii,data/assemblies/Sporothrix_schenckii_S_1099_GCA_000961545.fna,
Sporothrix thermara,data/assemblies/Sporothrix_thermara_S_CBS139747_GCA_XXXXXXXXX.fna,
Sporothrix variecibatus,data/assemblies/Sporothrix_variecibatus_S_CBS121961_GCA_021396255.fna,
Sporothrix thermara bin10,data/assemblies/10.fa,
