#FamilyID	Likelihood of Family
GH135	-18.1123
GT8	-20.2721
GH13_1	-23.7536
GH15	-37.4485
GH37	-23.9923
GH171	-25.4423
GH38	-13.288
GH47	-40.5367
GH76	-45.8568
GH92	-35.4278
GH125	-34.6553
GT15	-26.5984
GT71	-32.2981
GH53	-25.7496
GH43_6	-24.1225
GH128	-33.6111
GH131	-47.4892
GH16_1	-33.0552
GH17	-19.9418
GH5_15	-18.4455
GH5_9	-19.9622
GH72	-30.3333
GH132	-20.2721
GH16_18	-31.3213
GH16_3	-29.7036
GH64	-26.892
GH81	-15.4188
GH1	-44.7336
GH3	-126.915
GH43_11	-15.0751
GH5_23	-26.1854
CBM52	-13.6863
CBM91	-42.9764
CBM20	-50.6975
GH12	-27.5077
GH5_5	-49.9721
GH7	-73.3449
GH18	-94.3234
GH20	-28.5834
GH5_12	-13.288
GT69	-35.38
GT90	-37.6464
AA7	-97.3353
AA3_1	-54.2623
AA3_2	-57.9964
AA3	-54.1089
AA16	-36.8735
AA9	-158.061
AA11	-31.1227
GH5_11	-24.2204
CE1	-120.274
CE12	-37.6317
CE4	-44.9682
CE5	-54.5986
GH2	-103.518
GH35	-58.6774
CE3	-54.8107
AA12	-49.2915
AA1_2	-42.0425
AA1	-48.9825
AA1_3	-45.7662
CE8	-77.567
GH105	-32.9035
GH28	-75.2216
GH78	-109.072
PL26	-25.1771
PL3_2	-12.1485
PL1_4	-10.7042
GH106	-40.9016
CE9	-24.6801
AA2	-38.7144
GH11	-46.7423
AA3_3	-28.2815
AA6	-16.0858
CBM21	-15.965
GH13_25	-13.288
GH13_40	-44.5418
GH13_8	-13.288
GH16_4	-25.9817
GH177	-53.9225
GH31_1	-19.9984
GH51_2	-22.4694
GH55_2	-74.5761
GT1	-39.0517
GT2	-63.0378
GT20	-27.4153
GT21	-13.4254
GT22	-30.0388
GT24	-13.288
GT3	-13.288
GT32	-32.232
GT33	-13.288
GT35	-13.288
GT39	-25.7612
GT4	-38.4207
GT48	-13.288
GT57	-25.6622
GT58	-13.288
GT59	-13.288
GT66	-13.288
CBM63	-12.1485
CBM67	-92.1733
GH31_2	-22.862
GH51_1	-34.7739
GT34	-25.7612
GT50	-13.288
GT62	-26.8719
AA4	-71.4918
GT76	-13.288
GH45_2	-14.5623
