#FamilyID	pvalue	Significant at 0.05
GH135	0.979	n
GT8	0.791	n
GH13_1	0.718	n
GH15	0.893	n
GH37	0.957	n
GH171	0.413	n
GH38	0.636	n
GH47	0.995	n
GH76	0.999	n
GH92	0.875	n
GH125	0.953	n
GT15	0.936	n
GT71	0.865	n
GH53	0.406	n
GH43_6	0.715	n
GH128	0.83	n
GH131	0.278	n
GH16_1	0.971	n
GH17	0.794	n
GH5_15	0.573	n
GH5_9	0.793	n
GH72	0.968	n
GH132	0.791	n
GH16_18	0.957	n
GH16_3	0.907	n
GH64	0.925	n
GH81	0.842	n
GH1	0.463	n
GH3	0	y
GH43_11	0.619	n
GH5_23	0.401	n
CBM52	0.633	n
CBM91	0.578	n
CBM20	0.42	n
GH12	0.973	n
GH5_5	0.523	n
GH7	0.004	y
GH18	0	y
GH20	0.613	n
GH5_12	0.636	n
GT69	0.984	n
GT90	0.936	n
AA7	0	y
AA3_1	0.086	n
AA3_2	0.444	n
AA3	0.231	n
AA16	0.375	n
AA9	0	y
AA11	0.884	n
GH5_11	0.713	n
CE1	0	y
CE12	0.679	n
CE4	0.876	n
CE5	0.135	n
GH2	0	y
GH35	0.064	n
CE3	0.087	n
AA12	0.287	n
AA1_2	0.813	n
AA1	0.488	n
AA1_3	0.862	n
CE8	0.001	y
GH105	0.797	n
GH28	0.006	y
GH78	0	y
PL26	0.419	n
PL3_2	0.651	n
PL1_4	0.675	n
GH106	0.538	n
CE9	0.944	n
AA2	0.899	n
GH11	0.294	n
AA3_3	0.619	n
AA6	0.607	n
CBM21	0.837	n
GH13_25	0.636	n
GH13_40	0.532	n
GH13_8	0.636	n
GH16_4	0.677	n
GH177	0.126	n
GH31_1	0.793	n
GH51_2	0.49	n
GH55_2	0.005	y
GT1	0.982	n
GT2	0.993	n
GT20	0.931	n
GT21	0.636	n
GT22	0.968	n
GT24	0.636	n
GT3	0.636	n
GT32	0.942	n
GT33	0.636	n
GT35	0.636	n
GT39	0.951	n
GT4	0.932	n
GT48	0.636	n
GT57	0.951	n
GT58	0.636	n
GT59	0.636	n
GT66	0.636	n
CBM63	0.651	n
CBM67	0	y
GH31_2	0.74	n
GH51_1	0.744	n
GT34	0.951	n
GT50	0.636	n
GT62	0.936	n
AA4	0.004	y
GT76	0.636	n
GH45_2	0.626	n
