FamilyID	TaxonID	Count	Change	Pvalue
GH3	Sporothrix_bragantina_CBS47491	25	9	0.000343663
GH3	35	14	1	0.460123
GH3	36	15	1	0.508059
GH3	32	12	1	0.37009
GH3	33	13	1	0.246672
GH3	31	11	4	0.0709584
GH3	38	15	0	0.663849
GH3	39	15	0	0.824587
GH3	Sporothrix_humicola_CBS118129	20	-1	0.246625
GH3	40	16	1	0.293025
GH3	46	12	0	0.657894
GH3	47	12	0	0.685952
GH3	42	21	6	0.00478374
GH3	44	13	-2	0.039521
GH3	Sporothrix_pseudoabietina_VPRI43531	13	0	0.640522
GH3	Sporothrix_variecibatus_CBS121961	23	7	1.72652e-05
GH3	Sporothrix_protearum_CBS116654	14	-1	0.651991
GH3	Sporothrix_dimorphospora_CBS55374	21	2	0.212177
GH3	45	12	-1	0.582248
GH3	Sporothrix_mexicana_CBS120341	25	4	0.00272647
GH3	48	19	4	0.0316947
GH3	Sporothrix_euskadiensis_VPRI43754	13	0	0.640522
GH3	Sporothrix_pallida_CBS13156	21	0	0.659393
GH3	41	13	-3	0.00805946
GH3	43	21	0	0.720872
GH3	49	14	0	0.775494
GH3	Sporothrix_phasma_CBS119721	9	-4	0.0282682
GH3	56	26	12	7.28875e-05
GH3	Sporothrix_schenckii_1099	12	0	0.645409
GH3	Sporothrix_globosa_CBS120340	12	0	0.758742
GH3	Sporothrix_brasiliensis_5110	12	0	0.645409
GH3	Sporothrix_curviconia_CBS95973	18	2	0.289466
GH3	Sporothrix_luriei_CBS93772	12	0	0.807181
GH3	50	14	0	0.799987
GH3	57	13	0	0.917934
GH3	Sporothrix_epigloea_CBS119000	5	-1	0.472082
GH3	Sporothrix_epigloea_CBS57363	4	0	0.634449
GH3	55	4	-2	0.0242174
GH3	Sporothrix_inflata_CBS23968	20	1	0.478746
GH3	53	16	2	0.0781817
GH3	Sporothrix_thermara_CBS139747MAG	11	-3	0.213388
GH3	54	6	-8	3.4821e-06
GH3	Sporothrix_epigloea_TF4163	3	-1	0.204755
GH3	Sporothrix_nigrograna_VPRI43755	9	-5	0.0611339
GH3	Sporothrix_eucalyptigena_CBS139899	26	0	0.523315
GH3	Sporothrix_eucalyptigena_CBS140593	26	0	0.523315
GH3	Ophiostoma_novoulmi_H327	16	3	0.150849
GH3	Ophiostoma_ips_VPRI43529	10	-3	0.221792
GH3	Sporothrix_brunneoviolacea_CBS124561	25	12	0.00244458
GH3	Ophiostoma_fasciatum_VPRI43845	7	-5	0.172926
GH3	Sporothrix_insectorum_RCEF264	13	2	0.442958
GH3	Leptographium_lundbergii_CBS138716	11	4	0.165229
GH7	Sporothrix_bragantina_CBS47491	6	2	0.111315
GH7	35	3	0	0.721427
GH7	36	4	1	0.173407
GH7	32	3	0	0.692661
GH7	33	3	0	0.61804
GH7	31	3	0	0.841733
GH7	38	4	0	0.55452
GH7	39	3	-1	0.244682
GH7	Sporothrix_humicola_CBS118129	6	0	0.556072
GH7	40	3	0	0.61804
GH7	46	5	0	0.577682
GH7	47	5	0	0.595
GH7	42	6	2	0.0911107
GH7	44	4	0	0.605502
GH7	Sporothrix_pseudoabietina_VPRI43531	1	0	0.513657
GH7	Sporothrix_variecibatus_CBS121961	5	2	0.0123373
GH7	Sporothrix_protearum_CBS116654	2	-1	0.304397
GH7	Sporothrix_dimorphospora_CBS55374	6	0	0.772121
GH7	45	5	1	0.141328
GH7	Sporothrix_mexicana_CBS120341	6	0	0.632141
GH7	48	6	2	0.0610628
GH7	Sporothrix_euskadiensis_VPRI43754	1	0	0.513657
GH7	Sporothrix_pallida_CBS13156	6	0	0.556072
GH7	41	1	-2	0.00200909
GH7	43	6	0	0.586829
GH7	49	3	0	0.597027
GH7	Sporothrix_phasma_CBS119721	2	-2	0.0478938
GH7	56	5	2	0.068247
GH7	Sporothrix_schenckii_1099	5	0	0.570421
GH7	Sporothrix_globosa_CBS120340	5	0	0.648648
GH7	Sporothrix_brasiliensis_5110	5	0	0.570421
GH7	Sporothrix_curviconia_CBS95973	4	0	0.786706
GH7	Sporothrix_luriei_CBS93772	5	0	0.695333
GH7	50	3	0	0.614354
GH7	57	2	-1	0.493735
GH7	Sporothrix_epigloea_CBS119000	0	0	0.5
GH7	Sporothrix_epigloea_CBS57363	0	0	0.5
GH7	55	0	0	0.5
GH7	Sporothrix_inflata_CBS23968	6	0	0.772121
GH7	53	4	1	0.04585
GH7	Sporothrix_thermara_CBS139747MAG	0	-3	0.00552216
GH7	54	0	-3	0.000759982
GH7	Sporothrix_epigloea_TF4163	0	0	0.5
GH7	Sporothrix_nigrograna_VPRI43755	0	-3	0.0172357
GH7	Sporothrix_eucalyptigena_CBS139899	5	0	0.504616
GH7	Sporothrix_eucalyptigena_CBS140593	5	0	0.504616
GH7	Ophiostoma_novoulmi_H327	2	0	0.738856
GH7	Ophiostoma_ips_VPRI43529	0	-2	0.0251033
GH7	Sporothrix_brunneoviolacea_CBS124561	6	3	0.0901796
GH7	Ophiostoma_fasciatum_VPRI43845	0	-3	0.0610262
GH7	Sporothrix_insectorum_RCEF264	6	3	0.0770354
GH7	Leptographium_lundbergii_CBS138716	2	-1	0.902828
GH18	Sporothrix_bragantina_CBS47491	17	5	0.0138246
GH18	35	11	1	0.398389
GH18	36	12	1	0.453148
GH18	32	10	1	0.323497
GH18	33	10	0	0.762837
GH18	31	9	3	0.091824
GH18	38	12	0	0.638869
GH18	39	11	-1	0.48584
GH18	Sporothrix_humicola_CBS118129	14	-1	0.189122
GH18	40	11	0	0.775084
GH18	46	13	0	0.667244
GH18	47	14	1	0.136415
GH18	42	15	3	0.115535
GH18	44	12	0	0.730946
GH18	Sporothrix_pseudoabietina_VPRI43531	10	0	0.614295
GH18	Sporothrix_variecibatus_CBS121961	13	2	0.10639
GH18	Sporothrix_protearum_CBS116654	10	-1	0.594278
GH18	Sporothrix_dimorphospora_CBS55374	12	-2	0.254549
GH18	45	13	1	0.348452
GH18	Sporothrix_mexicana_CBS120341	16	1	0.189093
GH18	48	14	2	0.141553
GH18	Sporothrix_euskadiensis_VPRI43754	10	0	0.614295
GH18	Sporothrix_pallida_CBS13156	15	0	0.623381
GH18	41	10	-1	0.369236
GH18	43	15	0	0.677972
GH18	49	11	0	0.744173
GH18	Sporothrix_phasma_CBS119721	7	-5	0.00588969
GH18	56	18	7	0.00712911
GH18	Sporothrix_schenckii_1099	14	0	0.66287
GH18	Sporothrix_globosa_CBS120340	13	0	0.769105
GH18	Sporothrix_brasiliensis_5110	15	1	0.106215
GH18	Sporothrix_curviconia_CBS95973	14	2	0.222541
GH18	Sporothrix_luriei_CBS93772	12	-1	0.518741
GH18	50	11	0	0.770067
GH18	57	9	-1	0.721667
GH18	Sporothrix_epigloea_CBS119000	4	-1	0.429637
GH18	Sporothrix_epigloea_CBS57363	5	0	0.658956
GH18	55	5	0	0.701382
GH18	Sporothrix_inflata_CBS23968	19	5	0.00452265
GH18	53	12	1	0.160198
GH18	Sporothrix_thermara_CBS139747MAG	10	-1	0.694955
GH18	54	5	-6	5.56646e-05
GH18	Sporothrix_epigloea_TF4163	4	-1	0.243771
GH18	Sporothrix_nigrograna_VPRI43755	8	-3	0.259517
GH18	Sporothrix_eucalyptigena_CBS139899	18	0	0.51632
GH18	Sporothrix_eucalyptigena_CBS140593	18	0	0.51632
GH18	Ophiostoma_novoulmi_H327	11	2	0.226509
GH18	Ophiostoma_ips_VPRI43529	5	-4	0.0286005
GH18	Sporothrix_brunneoviolacea_CBS124561	19	9	0.0077099
GH18	Ophiostoma_fasciatum_VPRI43845	6	-4	0.236605
GH18	Sporothrix_insectorum_RCEF264	12	3	0.2475
GH18	Leptographium_lundbergii_CBS138716	7	1	0.469736
AA7	Sporothrix_bragantina_CBS47491	13	5	0.00394816
AA7	35	6	0	0.809365
AA7	36	7	1	0.310155
AA7	32	6	0	0.782612
AA7	33	6	0	0.696111
AA7	31	6	1	0.45666
AA7	38	7	0	0.589579
AA7	39	6	-1	0.36121
AA7	Sporothrix_humicola_CBS118129	10	0	0.588204
AA7	40	6	0	0.696111
AA7	46	7	0	0.60355
AA7	47	7	0	0.625169
AA7	42	10	3	0.0449583
AA7	44	7	0	0.662898
AA7	Sporothrix_pseudoabietina_VPRI43531	6	0	0.574074
AA7	Sporothrix_variecibatus_CBS121961	9	3	0.00384034
AA7	Sporothrix_protearum_CBS116654	3	-3	0.00825413
AA7	Sporothrix_dimorphospora_CBS55374	11	2	0.0846065
AA7	45	7	0	0.778722
AA7	Sporothrix_mexicana_CBS120341	10	0	0.691081
AA7	48	9	2	0.0681121
AA7	Sporothrix_euskadiensis_VPRI43754	4	-2	0.00144639
AA7	Sporothrix_pallida_CBS13156	10	0	0.588204
AA7	41	6	0	0.657929
AA7	43	10	0	0.632124
AA7	49	6	0	0.666807
AA7	Sporothrix_phasma_CBS119721	3	-4	0.00481848
AA7	56	12	6	0.00290061
AA7	Sporothrix_schenckii_1099	7	0	0.594323
AA7	Sporothrix_globosa_CBS120340	8	1	0.127803
AA7	Sporothrix_brasiliensis_5110	8	1	0.0541416
AA7	Sporothrix_curviconia_CBS95973	11	3	0.0753138
AA7	Sporothrix_luriei_CBS93772	7	0	0.739186
AA7	50	6	0	0.691137
AA7	57	4	-2	0.28545
AA7	Sporothrix_epigloea_CBS119000	0	0	0.5
AA7	Sporothrix_epigloea_CBS57363	0	0	0.5
AA7	55	0	0	0.5
AA7	Sporothrix_inflata_CBS23968	9	0	0.820552
AA7	53	8	2	0.0195612
AA7	Sporothrix_thermara_CBS139747MAG	3	-3	0.033267
AA7	54	0	-6	3.10455e-07
AA7	Sporothrix_epigloea_TF4163	0	0	0.5
AA7	Sporothrix_nigrograna_VPRI43755	3	-3	0.129986
AA7	Sporothrix_eucalyptigena_CBS139899	12	0	0.51097
AA7	Sporothrix_eucalyptigena_CBS140593	12	0	0.51097
AA7	Ophiostoma_novoulmi_H327	4	0	0.823934
AA7	Ophiostoma_ips_VPRI43529	4	0	0.823934
AA7	Sporothrix_brunneoviolacea_CBS124561	11	5	0.0427528
AA7	Ophiostoma_fasciatum_VPRI43845	5	-1	0.916526
AA7	Sporothrix_insectorum_RCEF264	5	-1	0.922473
AA7	Leptographium_lundbergii_CBS138716	8	3	0.183247
AA9	Sporothrix_bragantina_CBS47491	14	4	0.0317273
AA9	35	7	0	0.826353
AA9	36	10	3	0.0515378
AA9	32	7	0	0.801395
AA9	33	7	0	0.716015
AA9	31	7	3	0.0789811
AA9	38	10	0	0.620395
AA9	39	9	-1	0.443655
AA9	Sporothrix_humicola_CBS118129	16	0	0.629822
AA9	40	9	0	0.749075
AA9	46	14	1	0.109896
AA9	47	14	0	0.705539
AA9	42	14	4	0.0225353
AA9	44	10	0	0.707089
AA9	Sporothrix_pseudoabietina_VPRI43531	3	-1	0.0774467
AA9	Sporothrix_variecibatus_CBS121961	16	7	1.70468e-06
AA9	Sporothrix_protearum_CBS116654	6	-3	0.022931
AA9	Sporothrix_dimorphospora_CBS55374	15	1	0.407928
AA9	45	13	3	0.0363131
AA9	Sporothrix_mexicana_CBS120341	14	0	0.734759
AA9	48	14	4	0.0111965
AA9	Sporothrix_euskadiensis_VPRI43754	4	0	0.551386
AA9	Sporothrix_pallida_CBS13156	16	0	0.629822
AA9	41	4	-5	5.09058e-06
AA9	43	16	2	0.0287361
AA9	49	7	0	0.685556
AA9	Sporothrix_phasma_CBS119721	4	-6	0.000258391
AA9	56	15	8	0.00050255
AA9	Sporothrix_schenckii_1099	14	0	0.66287
AA9	Sporothrix_globosa_CBS120340	15	1	0.235873
AA9	Sporothrix_brasiliensis_5110	14	0	0.66287
AA9	Sporothrix_curviconia_CBS95973	16	6	0.00190183
AA9	Sporothrix_luriei_CBS93772	13	0	0.81627
AA9	50	7	0	0.710896
AA9	57	6	-1	0.666218
AA9	Sporothrix_epigloea_CBS119000	0	0	0.5
AA9	Sporothrix_epigloea_CBS57363	0	0	0.5
AA9	55	0	0	0.5
AA9	Sporothrix_inflata_CBS23968	17	3	0.0822972
AA9	53	10	3	0.00173193
AA9	Sporothrix_thermara_CBS139747MAG	1	-6	6.19022e-05
AA9	54	0	-7	1.86123e-08
AA9	Sporothrix_epigloea_TF4163	0	0	0.5
AA9	Sporothrix_nigrograna_VPRI43755	1	-6	0.000618767
AA9	Sporothrix_eucalyptigena_CBS139899	15	0	0.513656
AA9	Sporothrix_eucalyptigena_CBS140593	15	0	0.513656
AA9	Ophiostoma_novoulmi_H327	8	2	0.143787
AA9	Ophiostoma_ips_VPRI43529	2	-4	0.0094582
AA9	Sporothrix_brunneoviolacea_CBS124561	14	7	0.0147551
AA9	Ophiostoma_fasciatum_VPRI43845	1	-6	0.0125749
AA9	Sporothrix_insectorum_RCEF264	16	9	0.00746585
AA9	Leptographium_lundbergii_CBS138716	2	-2	0.758844
CE1	Sporothrix_bragantina_CBS47491	14	6	0.00168355
CE1	35	4	0	0.759227
CE1	36	5	1	0.224234
CE1	32	4	0	0.72997
CE1	33	4	0	0.647618
CE1	31	4	1	0.328193
CE1	38	5	0	0.566717
CE1	39	4	-1	0.288331
CE1	Sporothrix_humicola_CBS118129	9	0	0.580526
CE1	40	4	0	0.647618
CE1	46	5	0	0.577682
CE1	47	5	0	0.595
CE1	42	9	4	0.00324941
CE1	44	5	0	0.626361
CE1	Sporothrix_pseudoabietina_VPRI43531	1	0	0.513657
CE1	Sporothrix_variecibatus_CBS121961	8	4	7.75373e-05
CE1	Sporothrix_protearum_CBS116654	3	-1	0.367692
CE1	Sporothrix_dimorphospora_CBS55374	9	1	0.279688
CE1	45	5	0	0.734977
CE1	Sporothrix_mexicana_CBS120341	9	0	0.677991
CE1	48	8	3	0.0117983
CE1	Sporothrix_euskadiensis_VPRI43754	1	0	0.513657
CE1	Sporothrix_pallida_CBS13156	13	4	3.49039e-06
CE1	41	1	-3	0.000113561
CE1	43	9	0	0.621598
CE1	49	4	0	0.622829
CE1	Sporothrix_phasma_CBS119721	2	-3	0.0114231
CE1	56	13	9	1.03484e-05
CE1	Sporothrix_schenckii_1099	5	0	0.570421
CE1	Sporothrix_globosa_CBS120340	5	0	0.648648
CE1	Sporothrix_brasiliensis_5110	3	-2	0.001254
CE1	Sporothrix_curviconia_CBS95973	10	2	0.141315
CE1	Sporothrix_luriei_CBS93772	4	-1	0.301912
CE1	50	4	0	0.643319
CE1	57	3	-1	0.558084
CE1	Sporothrix_epigloea_CBS119000	1	0	0.589156
CE1	Sporothrix_epigloea_CBS57363	1	0	0.540165
CE1	55	1	0	0.555355
CE1	Sporothrix_inflata_CBS23968	8	0	0.807318
