#FamilyID	pvalue	Significant at 0.05
OG0000000	0	y
OG0000001	0	y
OG0000002	0	y
OG0000003	0	y
OG0000004	0	y
OG0000005	0	y
OG0000006	0	y
OG0000007	0	y
OG0000008	0	y
OG0000009	0	y
OG0000010	0	y
OG0000011	0	y
OG0000012	0	y
OG0000013	0	y
OG0000014	0.018	y
OG0000015	0	y
OG0000016	0	y
OG0000017	0	y
OG0000018	0	y
OG0000019	0	y
OG0000020	0.003	y
OG0000021	0	y
OG0000022	0	y
OG0000023	0	y
OG0000024	0.021	y
OG0000025	0	y
OG0000026	0	y
OG0000027	0	y
OG0000028	0	y
OG0000029	0	y
OG0000030	0	y
OG0000031	0	y
OG0000032	0	y
OG0000033	0	y
OG0000034	0	y
OG0000035	0.001	y
OG0000037	0.003	y
OG0000038	0	y
OG0000040	0.001	y
OG0000041	0	y
OG0000042	0	y
OG0000043	0.003	y
OG0000044	0	y
OG0000047	0	y
OG0000048	0.003	y
OG0000049	0	y
OG0000050	0	y
OG0000051	0	y
OG0000053	0	y
OG0000054	0.041	y
OG0000055	0	y
OG0000056	0	y
OG0000057	0	y
OG0000058	0	y
OG0000059	0	y
OG0000060	0	y
OG0000061	0.001	y
OG0000062	0	y
OG0000064	0	y
OG0000067	0.046	y
OG0000068	0.003	y
OG0000070	0	y
OG0000071	0	y
OG0000072	0.001	y
OG0000073	0	y
OG0000075	0	y
OG0000076	0.025	y
OG0000077	0.004	y
OG0000078	0.005	y
OG0000080	0.003	y
OG0000082	0	y
OG0000083	0	y
OG0000084	0.003	y
OG0000085	0	y
OG0000086	0	y
OG0000087	0.005	y
OG0000091	0	y
OG0000092	0	y
OG0000093	0.003	y
OG0000094	0	y
OG0000096	0	y
OG0000097	0	y
OG0000098	0.002	y
OG0000099	0	y
OG0000101	0	y
OG0000102	0	y
OG0000103	0	y
OG0000104	0.009	y
OG0000106	0	y
OG0000108	0	y
OG0000109	0	y
OG0000110	0	y
OG0000115	0	y
OG0000116	0	y
OG0000118	0	y
OG0000119	0	y
OG0000120	0	y
OG0000121	0.015	y
OG0000123	0.03	y
OG0000129	0	y
OG0000131	0.002	y
OG0000135	0.003	y
OG0000141	0	y
OG0000143	0.008	y
OG0000144	0.008	y
OG0000145	0.008	y
OG0000147	0.001	y
OG0000148	0	y
OG0000149	0.011	y
OG0000152	0.003	y
OG0000154	0	y
OG0000155	0	y
OG0000160	0.038	y
OG0000161	0.028	y
OG0000164	0	y
OG0000166	0.022	y
OG0000168	0	y
OG0000172	0.002	y
OG0000174	0	y
OG0000175	0.006	y
OG0000176	0.001	y
OG0000177	0	y
OG0000178	0.003	y
OG0000181	0	y
OG0000182	0	y
OG0000184	0	y
OG0000185	0	y
OG0000186	0.033	y
OG0000187	0	y
OG0000188	0	y
OG0000189	0.001	y
OG0000190	0	y
OG0000191	0.036	y
OG0000192	0.013	y
OG0000193	0.003	y
OG0000194	0.005	y
OG0000199	0.002	y
OG0000200	0.009	y
OG0000201	0	y
OG0000202	0.024	y
OG0000203	0	y
OG0000204	0	y
OG0000205	0	y
OG0000206	0.001	y
OG0000207	0.044	y
OG0000208	0	y
OG0000209	0.005	y
OG0000211	0.001	y
OG0000212	0.001	y
OG0000214	0	y
OG0000215	0	y
OG0000217	0.008	y
OG0000218	0	y
OG0000219	0	y
OG0000220	0.008	y
OG0000221	0.013	y
OG0000223	0	y
OG0000225	0.038	y
OG0000226	0.013	y
OG0000227	0.037	y
OG0000228	0.02	y
OG0000229	0	y
OG0000230	0	y
OG0000233	0	y
OG0000235	0.008	y
OG0000236	0.01	y
OG0000237	0	y
OG0000238	0.025	y
OG0000239	0.048	y
OG0000243	0.008	y
OG0000244	0.002	y
OG0000246	0.006	y
OG0000248	0.001	y
OG0000249	0.003	y
OG0000250	0	y
OG0000251	0	y
OG0000252	0.037	y
OG0000255	0.012	y
OG0000258	0.009	y
OG0000259	0.022	y
OG0000265	0.02	y
OG0000268	0.008	y
OG0000270	0.013	y
OG0000271	0	y
OG0000272	0	y
OG0000273	0.002	y
OG0000278	0	y
OG0000280	0.002	y
OG0000281	0.001	y
OG0000282	0	y
OG0000284	0.003	y
OG0000286	0.002	y
OG0000287	0.009	y
OG0000289	0.008	y
OG0000293	0	y
OG0000294	0.003	y
OG0000295	0.008	y
OG0000296	0	y
OG0000297	0.001	y
OG0000299	0.007	y
OG0000301	0.003	y
OG0000302	0.009	y
OG0000303	0.004	y
OG0000305	0.009	y
OG0000308	0.003	y
OG0000309	0	y
OG0000310	0.003	y
OG0000311	0.008	y
OG0000312	0.002	y
OG0000313	0	y
OG0000316	0.022	y
OG0000317	0.021	y
OG0000320	0.029	y
OG0000324	0.003	y
OG0000325	0.036	y
OG0000326	0	y
OG0000329	0.001	y
OG0000337	0	y
OG0000345	0.002	y
OG0000348	0.031	y
OG0000357	0	y
OG0000358	0	y
OG0000360	0.008	y
OG0000362	0.009	y
OG0000366	0.013	y
OG0000367	0.005	y
OG0000370	0.002	y
OG0000373	0.002	y
OG0000376	0.023	y
OG0000380	0.003	y
OG0000387	0.005	y
OG0000392	0.015	y
OG0000398	0.014	y
