FamilyID	TaxonID	Count	Change	Pvalue
OG0000000	29	10	0	0.699081
OG0000000	30	5	-5	7.73196e-07
OG0000000	Sporothrix_euskadiensis_VPRI43754	5	0	0.54021
OG0000000	25	10	7	2.0801e-07
OG0000000	26	10	0	0.575636
OG0000000	27	10	0	0.580034
OG0000000	Sporothrix_pseudoabietina_VPRI43531	4	-1	0.0605761
OG0000000	34	11	1	0.210894
OG0000000	33	10	0	0.648026
OG0000000	Sporothrix_schenckii_1099	12	0	0.59854
OG0000000	Sporothrix_epigloea_CBS57363	0	0	0.5
OG0000000	Sporothrix_epigloea_TF4163	0	0	0.5
OG0000000	28	10	0	0.713196
OG0000000	Sporothrix_pallida_CBS13156	16	0	0.586918
OG0000000	32	16	0	0.63037
OG0000000	Sporothrix_humicola_CBS118129	16	0	0.586918
OG0000000	Sporothrix_mexicana_CBS120341	16	0	0.688913
OG0000000	Sporothrix_phasma_CBS119721	0	-10	9.78013e-12
OG0000000	36	12	0	0.630373
OG0000000	31	16	6	0.000130074
OG0000000	Sporothrix_variecibatus_CBS121961	16	6	1.25438e-06
OG0000000	35	12	1	0.0585901
OG0000000	Sporothrix_protearum_CBS116654	9	-1	0.470066
OG0000000	Sporothrix_bragantina_CBS47491	14	4	0.0091823
OG0000000	Sporothrix_curviconia_CBS95973	14	4	0.0091823
OG0000000	43	0	-4	5.03627e-06
OG0000000	Sporothrix_thermara_CBS139747MAG	0	-4	8.61817e-05
OG0000000	Sporothrix_brasiliensis_5110	11	-1	0.15019
OG0000000	Sporothrix_inflata_CBS23968	15	1	0.298148
OG0000000	Sporothrix_globosa_CBS120340	14	2	0.0402876
OG0000000	Sporothrix_luriei_CBS93772	10	-1	0.36979
OG0000000	44	0	0	0.5
OG0000000	45	16	12	1.45156e-09
OG0000000	Sporothrix_eucalyptigena_CBS139899	16	0	0.509014
OG0000000	Sporothrix_eucalyptigena_CBS140593	16	0	0.509014
OG0000000	Sporothrix_nigrograna_VPRI43755	0	-3	0.00501227
OG0000000	38	3	0	0.563401
OG0000000	39	4	1	0.0415668
OG0000000	40	4	0	0.581783
OG0000000	41	4	0	0.53667
OG0000000	42	10	6	1.81761e-09
OG0000000	37	14	4	0.00267563
OG0000000	Sporothrix_dimorphospora_CBS55374	16	2	0.0798615
