#FamilyID	pvalue	Significant at 0.05
C19	0.999	n
C12	0.999	n
M14A	0.633	n
S33	0	y
C78B	0.739	n
S10	0.531	n
M28X	0.969	n
M24B	0.995	n
M20D	0	y
G01	0.985	n
S09B	0.901	n
M28A	0.993	n
S08B	0.754	n
T01A	0.999	n
C44	0.999	n
M24A	0.987	n
C26	0.972	n
S01D	0.754	n
T02	0.973	n
C110	0.934	n
C48	0.969	n
S16	0.991	n
M24X	0.911	n
M18	0.911	n
M76	0.754	n
S09X	0	y
C65	0.754	n
M20X	0.209	n
S53	0.452	n
A22B	0.754	n
M16B	0.969	n
M16C	0.913	n
T05	0.754	n
S54	0.888	n
A01A	0.005	y
C50	0.754	n
S09C	0	y
M38	0.06	n
C01B	0.937	n
T03	0.954	n
C14B	0.909	n
I09	0.711	n
M79	0.754	n
M16A	0.277	n
C02A	0.686	n
S12	0	y
M80	0.987	n
M49	0.889	n
M41	0.911	n
M20A	0.835	n
S08A	0	y
S28	0.98	n
C56	0.987	n
M01	0.988	n
M12B	0.754	n
M67A	0.923	n
C85B	0.256	n
T01X	0.754	n
M19	0.748	n
S59	0.754	n
C85A	0.741	n
M28E	0.93	n
C13	0.754	n
I32	0.744	n
M03A	0.255	n
I51	0.387	n
M67X	0.911	n
C15	0.87	n
C115	0.726	n
S26A	0.913	n
M20F	0.911	n
A28A	0.754	n
S26B	0.937	n
M28B	0.911	n
M13	0.754	n
I87	0.807	n
M48A	0.93	n
M48C	0.754	n
S66	0.501	n
M81	0.934	n
