FamilyID	TaxonID	Count	Change	Pvalue
S33	Sporothrix_bragantina_CBS47491	32	5	0.0376966
S33	35	25	2	0.225476
S33	36	27	2	0.276488
S33	32	22	2	0.152598
S33	33	23	1	0.283049
S33	31	20	9	0.000289461
S33	38	27	0	0.682169
S33	39	27	0	0.840034
S33	Sporothrix_humicola_CBS118129	35	1	0.10848
S33	40	30	3	0.0433815
S33	37	27	0	0.674271
S33	42	34	7	0.0022362
S33	44	24	-3	0.00777709
S33	Sporothrix_pseudoabietina_VPRI43531	29	-1	0.292187
S33	Sporothrix_variecibatus_CBS121961	35	5	0.00217753
S33	Sporothrix_protearum_CBS116654	21	-6	0.00172899
S33	47	23	0	0.713395
S33	Sporothrix_dimorphospora_CBS55374	36	4	0.0518619
S33	45	23	-1	0.618382
S33	Sporothrix_mexicana_CBS120341	34	0	0.792782
S33	48	32	5	0.0127181
S33	Sporothrix_euskadiensis_VPRI43754	30	0	0.687244
S33	Sporothrix_pallida_CBS13156	34	0	0.66476
S33	41	30	0	0.806038
S33	43	34	0	0.726914
S33	49	25	0	0.793387
S33	Sporothrix_phasma_CBS119721	18	-6	0.00380917
S33	51	26	0	0.798119
S33	52	26	0	0.685008
S33	56	34	8	0.00651987
S33	Sporothrix_schenckii_1099	23	0	0.670037
S33	Sporothrix_globosa_CBS120340	24	1	0.24884
S33	Sporothrix_brasiliensis_5110	23	0	0.670037
S33	Sporothrix_curviconia_CBS95973	27	0	0.908909
S33	Sporothrix_luriei_CBS93772	21	-2	0.18181
S33	50	26	1	0.302224
S33	57	22	-1	0.773468
S33	Sporothrix_epigloea_CBS119000	18	-3	0.0600242
S33	Sporothrix_epigloea_CBS57363	19	-1	0.451612
S33	55	20	-1	0.540014
S33	Sporothrix_inflata_CBS23968	33	1	0.498975
S33	53	27	1	0.232075
S33	Sporothrix_thermara_CBS139747MAG	26	0	0.916524
S33	54	21	-5	0.00483214
S33	Sporothrix_epigloea_TF4163	20	0	0.780014
S33	Sporothrix_nigrograna_VPRI43755	20	-5	0.11389
S33	Sporothrix_eucalyptigena_CBS139899	34	0	0.519828
