FamilyID	TaxonID	Count	Change	Pvalue	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
AA9	54	0	-7	1.86123e-08	NA	NA	NA	NA	NA	NA
AA7	54	0	-6	3.10455e-07	NA	NA	NA	NA	NA	NA
GH3	54	6	-8	3.4821e-06	NA	NA	NA	NA	NA	NA
GH2	54	1	-5	1.89393e-05	NA	NA	NA	NA	NA	NA
CE8	54	0	-4	3.88838e-05	NA	NA	NA	NA	NA	NA
GH28	54	0	-4	3.88838e-05	NA	NA	NA	NA	NA	NA
CBM67	54	0	-4	3.88838e-05	NA	NA	NA	NA	NA	NA
GH18	54	5	-6	5.56646e-05	NA	NA	NA	NA	NA	NA
GH78	54	1	-4	0.000135616	NA	NA	NA	NA	NA	NA
GH7	54	0	-3	0.000759982	NA	NA	NA	NA	NA	NA
CE1	54	1	-3	0.00196194	NA	NA	NA	NA	NA	NA
AA4	54	1	-3	0.00196194	NA	NA	NA	NA	NA	NA
GH3	55	4	-2	0.0242174	NA	NA	NA	NA	NA	NA
GH55_2	54	3	-2	0.0352975	NA	NA	NA	NA	NA	NA
