	Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375	Sporothrix_pseudoabietina_S_VPRI43531_GCA_019925295	Sporothrix_variecibatus_S_CBS121961_GCA_021396255	Sporothrix_protearum_S_CBS116654_GCA_016097115	Sporothrix_humicola_S_CBS118129_GCA_021396245	Sporothrix_pallida_S_CBS13156_GCA_021396235	Sporothrix_mexicana_S_CBS120341_GCA_021396375	Sporothrix_brasiliensis_S_5110_GCA_000820605	Sporothrix_schenckii_S_1099_GCA_000961545	Sporothrix_globosa_S_CBS120340_GCA_001630435	Sporothrix_luriei_S_CBS93772_GCA_021398005	Sporothrix_phasma_S_CBS119721_GCA_011037845	Sporothrix_dimorphospora_S_CBS55374_GCA_021397985	Sporothrix_inflata_S_CBS23968_GCA_021396225	Sporothrix_bragantina_S_CBS47491_GCA_XXXXXXXXX	Sporothrix_curviconia_S_CBS95973_GCA_XXXXXXXXX	Sporothrix_thermara_S_CBS139747_GCA_XXXXXXXXX	Sporothrix_epigloea_S_CBS57363_GCA_943900835	Sporothrix_epigloea_S_TF4163_GCA_944036445	Sporothrix_epigloea_S_CBS119000_GCA_943908295	Sporothrix_eucalyptigena_S_CBS139899_GCA_XXXXXXXXX	Sporothrix_eucalyptigena_S_CBS140593_GCA_XXXXXXXXX	Sporothrix_nigrograna_S_VPRI43755_GCA_019925305	Ophiostoma_novoulmi_S_H327_GCA_000317715	Ophiostoma_ips_S_VPRI43529_GCA_019925475	Sporothrix_brunneoviolacea_S_CBS124561_GCA_021396205	Ophiostoma_fasciatum_S_VPRI43845_GCA_019925495	Sporothrix_insectorum_S_RCEF264_GCA_001636815	Leptographium_lundbergii_S_CBS138716_GCA_001455505	Tremella_yokohamensis_S_CBS18117_GCA_963924285	Annulohypoxylon_annulatum_S_CBS149473_GCA_963924275
M00001_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00002_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00003_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00307_1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1
M00009_1	0.75	0.75	0.75	0.75	0.875	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.625	0.75	0.75	0.75	0.75	0.875	0.75	0.75	0.75	0.75	0.75	0.875	0.875
M00010_1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667
M00011_1	0.8	0.8	0.8	0.8	1	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.6	0.8	0.8	0.8	0.8	1	0.8	0.8	0.8	0.8	0.8	1	1
M00004_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00006_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00007_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00580_1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
M00005_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
