Orthogroup	Protein_ID
OG0000000	SBRCBS47491_000671-T1
OG0000000	SBRCBS47491_000678-T1
OG0000000	SBRCBS47491_000867-T1
OG0000000	SBRCBS47491_003647-T1
OG0000000	SBRCBS47491_005396-T1
OG0000000	SBRCBS47491_005657-T1
OG0000000	SBRCBS47491_006395-T1
OG0000000	SBRCBS47491_007339-T1
OG0000000	SBRCBS47491_007476-T1
OG0000000	SBRCBS47491_007978-T1
OG0000000	SBRCBS47491_008087-T1
OG0000000	SBRCBS47491_008520-T1
OG0000000	SBRCBS47491_008987-T1
OG0000000	SBRCBS47491_009175-T1
OG0000001	SBRCBS47491_000436-T1
OG0000001	SBRCBS47491_002413-T1
OG0000001	SBRCBS47491_003273-T1
OG0000001	SBRCBS47491_003983-T1
OG0000001	SBRCBS47491_006476-T1
OG0000001	SBRCBS47491_007989-T1
OG0000001	SBRCBS47491_008075-T1
OG0000001	SBRCBS47491_008984-T1
OG0000001	SBRCBS47491_009325-T1
OG0000001	SBRCBS47491_009862-T1
OG0000002	SBRCBS47491_009547-T1
OG0000002	SBRCBS47491_009549-T1
OG0000003	SBRCBS47491_001260-T1
OG0000003	SBRCBS47491_007993-T1
OG0000004	SBRCBS47491_001832-T1
OG0000004	SBRCBS47491_004636-T1
OG0000004	SBRCBS47491_005607-T1
OG0000004	SBRCBS47491_006069-T1
OG0000004	SBRCBS47491_006354-T1
OG0000004	SBRCBS47491_008699-T1
OG0000004	SBRCBS47491_008983-T1
OG0000004	SBRCBS47491_009333-T1
OG0000005	SBRCBS47491_002499-T1
OG0000005	SBRCBS47491_003953-T1
OG0000005	SBRCBS47491_003959-T1
OG0000005	SBRCBS47491_005125-T1
OG0000005	SBRCBS47491_005906-T1
OG0000005	SBRCBS47491_009328-T1
OG0000006	SBRCBS47491_001237-T1
OG0000006	SBRCBS47491_002185-T1
OG0000006	SBRCBS47491_003416-T1
OG0000006	SBRCBS47491_004771-T1
OG0000006	SBRCBS47491_006289-T1
OG0000006	SBRCBS47491_006774-T1
OG0000007	SBRCBS47491_001086-T1
OG0000007	SBRCBS47491_002375-T1
OG0000007	SBRCBS47491_003529-T1
OG0000007	SBRCBS47491_003756-T1
OG0000007	SBRCBS47491_006252-T1
OG0000007	SBRCBS47491_007433-T1
OG0000007	SBRCBS47491_009621-T1
OG0000008	SBRCBS47491_002151-T1
OG0000008	SBRCBS47491_003516-T1
OG0000008	SBRCBS47491_005306-T1
OG0000008	SBRCBS47491_009385-T1
OG0000009	SBRCBS47491_004532-T1
OG0000009	SBRCBS47491_004734-T1
OG0000009	SBRCBS47491_004737-T1
OG0000009	SBRCBS47491_004999-T1
OG0000009	SBRCBS47491_005413-T1
OG0000009	SBRCBS47491_009641-T1
OG0000010	SBRCBS47491_001132-T1
OG0000010	SBRCBS47491_004506-T1
OG0000010	SBRCBS47491_005129-T1
OG0000010	SBRCBS47491_009353-T1
OG0000010	SBRCBS47491_009410-T1
OG0000010	SBRCBS47491_010034-T1
OG0000011	SBRCBS47491_004612-T1
OG0000012	SBRCBS47491_001581-T1
OG0000012	SBRCBS47491_002715-T1
OG0000012	SBRCBS47491_002717-T1
OG0000012	SBRCBS47491_004398-T1
OG0000012	SBRCBS47491_009989-T1
OG0000013	SBRCBS47491_006944-T1
OG0000014	SBRCBS47491_002334-T1
OG0000014	SBRCBS47491_004587-T1
OG0000014	SBRCBS47491_006108-T1
OG0000014	SBRCBS47491_008561-T1
OG0000015	SBRCBS47491_000698-T1
OG0000015	SBRCBS47491_001681-T1
OG0000015	SBRCBS47491_002505-T1
OG0000015	SBRCBS47491_008446-T1
OG0000015	SBRCBS47491_009765-T1
OG0000016	SBRCBS47491_001389-T1
OG0000016	SBRCBS47491_004770-T1
OG0000016	SBRCBS47491_005318-T1
OG0000016	SBRCBS47491_009201-T1
OG0000017	SBRCBS47491_001669-T1
OG0000017	SBRCBS47491_004511-T1
OG0000017	SBRCBS47491_009614-T1
OG0000018	SBRCBS47491_000907-T1
OG0000018	SBRCBS47491_003492-T1
OG0000018	SBRCBS47491_007794-T1
OG0000018	SBRCBS47491_009298-T1
OG0000019	SBRCBS47491_001565-T1
OG0000019	SBRCBS47491_006612-T1
OG0000019	SBRCBS47491_010172-T1
OG0000020	SBRCBS47491_002806-T1
OG0000020	SBRCBS47491_003236-T1
OG0000020	SBRCBS47491_009100-T1
OG0000021	SBRCBS47491_000668-T1
OG0000021	SBRCBS47491_004023-T1
OG0000021	SBRCBS47491_006588-T1
OG0000021	SBRCBS47491_006733-T1
OG0000022	SBRCBS47491_001858-T1
OG0000022	SBRCBS47491_009604-T1
OG0000022	SBRCBS47491_010228-T1
OG0000023	SBRCBS47491_002464-T1
OG0000023	SBRCBS47491_004870-T1
OG0000023	SBRCBS47491_009566-T1
OG0000024	SBRCBS47491_004501-T1
OG0000025	SBRCBS47491_004525-T1
OG0000025	SBRCBS47491_006830-T1
OG0000025	SBRCBS47491_007866-T1
OG0000025	SBRCBS47491_008279-T1
OG0000025	SBRCBS47491_010154-T1
OG0000026	SBRCBS47491_004720-T1
OG0000026	SBRCBS47491_004721-T1
OG0000026	SBRCBS47491_006193-T1
OG0000027	SBRCBS47491_006410-T1
OG0000027	SBRCBS47491_008502-T1
OG0000027	SBRCBS47491_009143-T1
OG0000027	SBRCBS47491_009144-T1
OG0000028	SBRCBS47491_001836-T1
OG0000028	SBRCBS47491_003485-T1
OG0000028	SBRCBS47491_004490-T1
