#cluster_id	cluster_protein_count	TAXON_count	protein_span_mean	protein_span_sd	fraction_secreted	GO	GO_entropy	IPR	IPR_entropy	SignalP_EUK	SignalP_EUK_entropy	Pfam	Pfam_entropy
OG0000000	220	17	336.0590909090909	50.83208685189903	0.00	GO:0022857:1;GO:0055085:1	1.000	IPR018535:221;IPR011701:1	0.042	N/A	N/A	PF09362:221;PF07690:1	0.042
OG0000001	121	19	566.5123966942149	118.876011224591	0.00	GO:0022857:117;GO:0055085:117	1.000	IPR010573:122	0.000	N/A	N/A	PF06609:122	0.000
OG0000002	110	21	639.3545454545455	258.256095109403	0.00	N/A	N/A	IPR002575:1	0.000	N/A	N/A	PF06293:3;PF01636:1	0.811
OG0000003	104	21	277.375	67.23569157191622	0.00	GO:0016491:1	0.000	IPR015590:1	0.000	N/A	N/A	PF00171:1	0.000
OG0000004	102	18	476.4117647058824	87.65634244819724	0.00	GO:0016020:101;GO:0022857:101;GO:0055085:101	1.585	IPR005828:106	0.000	N/A	N/A	PF00083:106	0.000
OG0000005	95	17	331.6842105263158	45.61953947894991	0.00	N/A	N/A	IPR008775:76	0.000	N/A	N/A	PF05721:76	0.000
OG0000006	94	19	622.0106382978723	121.46153359045721	0.00	GO:0000981:1;GO:0003677:1;GO:0006351:1;GO:0006355:1;GO:0008270:1	2.322	IPR010839:94;IPR007138:1;IPR007219:1;IPR001138:1	0.248	N/A	N/A	PF07287:94;PF03992:1;PF04082:1;PF00172:1	0.248
OG0000007	87	23	819.3793103448276	198.5677591509685	0.00	GO:0004553:71;GO:0005975:71	1.000	IPR041447:69;IPR006102:66;IPR041625:27;IPR006103:7;IPR006104:3	1.768	N/A	N/A	PF17786:69;PF00703:66;PF17753:27;PF02836:7;PF02837:3	1.768
OG0000008	85	23	552.4941176470588	63.476465954744256	0.00	GO:0016020:85;GO:0022857:85;GO:0055085:85	1.585	IPR005828:86	0.000	N/A	N/A	PF00083:86	0.000
OG0000009	74	19	420.3918918918919	96.89529282734236	0.00	GO:0071949:67	0.000	IPR002938:70;IPR003953:33	0.905	N/A	N/A	PF01494:70;PF00890:33	0.905
OG0000010	71	16	475.3380281690141	268.56388773119704	0.00	GO:0006629:48;GO:0043531:21;GO:0016887:2;GO:0005515:1	1.138	IPR002641:48;IPR002182:21;IPR010730:5;IPR007111:3;IPR003593:2;IPR019734:1;IPR002347:1	1.665	N/A	N/A	PF13424:53;PF01734:48;PF13374:35;PF00931:21;PF06985:5;PF05729:3;PF13401:2;PF13176:1;PF00106:1	2.302
OG0000011	71	19	351.11267605633805	126.62560421231757	0.00	N/A	N/A	IPR003615:38	0.000	N/A	N/A	PF13391:38	0.000
OG0000012	70	18	369.4428571428571	71.17937817620367	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000013	70	19	332.7857142857143	139.8921924562056	0.00	N/A	N/A	IPR003615:35	0.000	N/A	N/A	PF13391:35	0.000
OG0000014	67	23	444.13432835820896	59.052442041934704	0.00	N/A	N/A	IPR029065:67;IPR013341:18	0.745	N/A	N/A	PF13378:67;PF02746:18	0.745
OG0000015	65	19	447.3538461538462	100.85075504377451	0.00	GO:0004336:39;GO:0006683:39;GO:0004553:19	1.518	IPR033452:60;IPR001286:39;IPR039514:19;IPR033453:1	1.506	N/A	N/A	PF17189:60;PF02057:39;PF14587:19;PF02055:1	1.506
OG0000016	65	18	482.04615384615386	90.1416715329018	0.00	GO:0004497:64;GO:0005506:64;GO:0016705:64;GO:0020037:64	2.000	IPR001128:64	0.000	N/A	N/A	PF00067:64	0.000
OG0000017	65	17	280.67692307692306	102.6600225827288	0.00	GO:0004672:54;GO:0006468:54;GO:0005524:53	1.585	IPR000719:53;IPR041492:1;IPR001245:1	0.262	N/A	N/A	PF00069:53;PF13419:1;PF07714:1	0.262
OG0000018	64	18	857.15625	172.41956627928715	0.00	GO:0004553:1;GO:0005975:1	1.000	IPR035396:64;IPR013737:61;IPR008902:61;IPR035398:58;IPR001360:1	2.029	N/A	N/A	PF17389:64;PF08531:61;PF05592:61;PF17390:58;PF00232:1	2.029
OG0000019	64	19	1268.90625	250.70598559056683	0.00	GO:0003824:63;GO:0016787:62;GO:0003677:1;GO:0006351:1;GO:0008270:1	1.174	IPR003692:68;IPR002821:62;IPR008040:61;IPR007219:1	1.622	N/A	N/A	PF02538:68;PF01968:62;PF05378:61;PF19278:57;PF04082:1	2.027
OG0000020	64	18	554.765625	85.05397958566886	0.00	GO:0022857:62;GO:0055085:62	1.000	IPR011701:62	0.000	N/A	N/A	PF07690:62	0.000
OG0000021	62	15	719.6129032258065	231.12943970429842	0.00	GO:0004553:61;GO:0005975:61;GO:0008484:1;GO:0043386:1	1.119	IPR002772:58;IPR026891:50;IPR001764:47;IPR011658:38;IPR000917:1;IPR021765:1	2.056	N/A	N/A	PF01915:58;PF14310:50;PF00933:47;PF07691:38;PF00884:1;PF11807:1	2.056
OG0000022	61	18	527.0655737704918	104.43208929180301	0.00	GO:0022857:56;GO:0055085:56	1.000	IPR011701:56	0.000	N/A	N/A	PF07690:56	0.000
OG0000023	61	20	529.1475409836065	81.38450250540086	0.00	GO:0022857:58;GO:0055085:58;GO:0004672:1;GO:0005524:1;GO:0006468:1	1.185	IPR011701:58;IPR000719:1	0.124	N/A	N/A	PF07690:58;PF00069:1	0.124
OG0000024	60	22	485.6166666666667	101.22682313607507	0.00	GO:0016705:60	0.000	IPR011251:60;IPR025700:1	0.121	N/A	N/A	PF00296:60;PF13434:1;PF13450:1	0.238
OG0000025	60	22	491.6	53.52077478263308	0.00	GO:0016491:59	0.000	IPR015590:59	0.000	N/A	N/A	PF00171:59	0.000
OG0000026	60	21	315.1166666666667	143.2645678068687	0.00	GO:0004672:47;GO:0005524:47;GO:0006468:47	1.585	IPR000719:47	0.000	N/A	N/A	PF00069:47	0.000
OG0000027	60	22	582.1	205.88295218400188	0.00	GO:0003924:3;GO:0005525:3	1.000	IPR045063:50;IPR000375:50;IPR003130:3;IPR003726:1	1.228	N/A	N/A	PF00350:50;PF01031:50;PF02212:3;PF02574:1	1.228
