genome	genome_assembly	completeness	contamination
Ophiostoma_fasciatum_VPRI43845	Ophiostoma_fasciatum_S_VPRI43845_GCA_019925495.proteins.fa	99.62	0.38
Sporothrix_bragantina_CBS47491	Sporothrix_bragantina_S_CBS47491_GCA_XXXXXXXXX.proteins.fa	99.25	0.0
Sporothrix_brasiliensis_5110	Sporothrix_brasiliensis_S_5110_GCA_000820605.proteins.fa	95.11	0.38
Sporothrix_brunneoviolacea_CBS124561	Sporothrix_brunneoviolacea_S_CBS124561_GCA_021396205.proteins.fa	95.49	1.13
Sporothrix_curviconia_CBS95973	Sporothrix_curviconia_S_CBS95973_GCA_XXXXXXXXX.proteins.fa	96.62	0.0
Sporothrix_dimorphospora_CBS55374	Sporothrix_dimorphospora_S_CBS55374_GCA_021397985.proteins.fa	98.12	0.0
Sporothrix_epigloea_CBS119000	Sporothrix_epigloea_S_CBS119000_GCA_943908295.proteins.fa	98.5	0.38
Sporothrix_epigloea_CBS57363	Sporothrix_epigloea_S_CBS57363_GCA_943900835.proteins.fa	97.74	0.0
Sporothrix_epigloea_TF4163	Sporothrix_epigloea_S_TF4163_GCA_944036445.proteins.fa	97.74	0.0
Sporothrix_eucalyptigena_CBS139899	Sporothrix_eucalyptigena_S_CBS139899_GCA_XXXXXXXXX.proteins.fa	97.74	0.0
Sporothrix_eucalyptigena_CBS140593	Sporothrix_eucalyptigena_S_CBS140593_GCA_XXXXXXXXX.proteins.fa	97.37	0.0
Sporothrix_euskadiensis_VPRI43754	Sporothrix_euskadiensis_S_VPRI43754_GCA_019925375.proteins.fa	98.87	0.0
Sporothrix_globosa_CBS120340	Sporothrix_globosa_S_CBS120340_GCA_001630435.proteins.fa	96.24	0.0
Sporothrix_humicola_CBS118129	Sporothrix_humicola_S_CBS118129_GCA_021396245.proteins.fa	96.99	0.75
Sporothrix_inflata_CBS23968	Sporothrix_inflata_S_CBS23968_GCA_021396225.proteins.fa	96.99	0.0
Sporothrix_insectorum_RCEF264	Sporothrix_insectorum_S_RCEF264_GCA_001636815.proteins.fa	95.11	0.0
Sporothrix_luriei_CBS93772	Sporothrix_luriei_S_CBS93772_GCA_021398005.proteins.fa	92.86	0.0
Sporothrix_mexicana_CBS120341	Sporothrix_mexicana_S_CBS120341_GCA_021396375.proteins.fa	96.62	1.13
Sporothrix_nigrograna_VPRI43755	Sporothrix_nigrograna_S_VPRI43755_GCA_019925305.proteins.fa	93.98	0.0
Sporothrix_pallida_CBS13156	Sporothrix_pallida_S_CBS13156_GCA_021396235.proteins.fa	96.62	0.38
Sporothrix_phasma_CBS119721	Sporothrix_phasma_S_CBS119721_GCA_011037845.proteins.fa	95.11	0.0
Sporothrix_protearum_CBS116654	Sporothrix_protearum_S_CBS116654_GCA_016097115.proteins.fa	94.74	0.38
Sporothrix_pseudoabietina_VPRI43531	Sporothrix_pseudoabietina_S_VPRI43531_GCA_019925295.proteins.fa	97.74	0.0
Sporothrix_schenckii_1099	Sporothrix_schenckii_S_1099_GCA_000961545.proteins.fa	94.74	0.0
Sporothrix_thermara_CBS139747MAG	Sporothrix_thermara_S_CBS139747_GCA_XXXXXXXXX.proteins.fa	96.24	0.38
Sporothrix_variecibatus_CBS121961	Sporothrix_variecibatus_S_CBS121961_GCA_021396255.proteins.fa	98.87	0.0
