Orthogroup	Protein_ID
OG0000001	SnigroVPRI43755predictedgene_000881-T1
OG0000001	SnigroVPRI43755predictedgene_001960-T1
OG0000001	SnigroVPRI43755predictedgene_002538-T1
OG0000002	SnigroVPRI43755predictedgene_000506-T1
OG0000002	SnigroVPRI43755predictedgene_002420-T1
OG0000002	SnigroVPRI43755predictedgene_002661-T1
OG0000002	SnigroVPRI43755predictedgene_002921-T1
OG0000002	SnigroVPRI43755predictedgene_003617-T1
OG0000002	SnigroVPRI43755predictedgene_003717-T1
OG0000002	SnigroVPRI43755predictedgene_004244-T1
OG0000002	SnigroVPRI43755predictedgene_005133-T1
OG0000002	SnigroVPRI43755predictedgene_005976-T1
OG0000002	SnigroVPRI43755predictedgene_006563-T1
OG0000002	SnigroVPRI43755predictedgene_006849-T1
OG0000002	SnigroVPRI43755predictedgene_007003-T1
OG0000002	SnigroVPRI43755predictedgene_007490-T1
OG0000002	SnigroVPRI43755predictedgene_007519-T1
OG0000002	SnigroVPRI43755predictedgene_007544-T1
OG0000002	SnigroVPRI43755predictedgene_007620-T1
OG0000002	SnigroVPRI43755predictedgene_007629-T1
OG0000002	SnigroVPRI43755predictedgene_007858-T1
OG0000003	SnigroVPRI43755predictedgene_005057-T1
OG0000003	SnigroVPRI43755predictedgene_006075-T1
OG0000003	SnigroVPRI43755predictedgene_006466-T1
OG0000003	SnigroVPRI43755predictedgene_007485-T1
OG0000004	SnigroVPRI43755predictedgene_003208-T1
OG0000004	SnigroVPRI43755predictedgene_005105-T1
OG0000004	SnigroVPRI43755predictedgene_006439-T1
OG0000006	SnigroVPRI43755predictedgene_003209-T1
OG0000006	SnigroVPRI43755predictedgene_005312-T1
OG0000007	SnigroVPRI43755predictedgene_005989-T1
OG0000007	SnigroVPRI43755predictedgene_006149-T1
OG0000008	SnigroVPRI43755predictedgene_007155-T1
OG0000009	SnigroVPRI43755predictedgene_001554-T1
OG0000009	SnigroVPRI43755predictedgene_005404-T1
OG0000010	SnigroVPRI43755predictedgene_005274-T1
OG0000011	SnigroVPRI43755predictedgene_003993-T1
OG0000011	SnigroVPRI43755predictedgene_007499-T1
OG0000013	SnigroVPRI43755predictedgene_003805-T1
OG0000013	SnigroVPRI43755predictedgene_005108-T1
OG0000013	SnigroVPRI43755predictedgene_006093-T1
OG0000014	SnigroVPRI43755predictedgene_007664-T1
OG0000016	SnigroVPRI43755predictedgene_007145-T1
OG0000018	SnigroVPRI43755predictedgene_003913-T1
OG0000018	SnigroVPRI43755predictedgene_006081-T1
OG0000019	SnigroVPRI43755predictedgene_002278-T1
OG0000019	SnigroVPRI43755predictedgene_002859-T1
OG0000019	SnigroVPRI43755predictedgene_005151-T1
OG0000019	SnigroVPRI43755predictedgene_005937-T1
OG0000020	SnigroVPRI43755predictedgene_004594-T1
OG0000020	SnigroVPRI43755predictedgene_004974-T1
OG0000020	SnigroVPRI43755predictedgene_006380-T1
OG0000020	SnigroVPRI43755predictedgene_006993-T1
OG0000021	SnigroVPRI43755predictedgene_000830-T1
OG0000022	SnigroVPRI43755predictedgene_005096-T1
OG0000022	SnigroVPRI43755predictedgene_005953-T1
OG0000023	SnigroVPRI43755predictedgene_004735-T1
OG0000024	SnigroVPRI43755predictedgene_004724-T1
OG0000024	SnigroVPRI43755predictedgene_006600-T1
OG0000025	SnigroVPRI43755predictedgene_004287-T1
OG0000026	SnigroVPRI43755predictedgene_004733-T1
OG0000027	SnigroVPRI43755predictedgene_002423-T1
OG0000027	SnigroVPRI43755predictedgene_006198-T1
OG0000029	SnigroVPRI43755predictedgene_001077-T1
OG0000031	SnigroVPRI43755predictedgene_006150-T1
OG0000031	SnigroVPRI43755predictedgene_006181-T1
OG0000032	SnigroVPRI43755predictedgene_003457-T1
OG0000032	SnigroVPRI43755predictedgene_005944-T1
OG0000034	SnigroVPRI43755predictedgene_001789-T1
OG0000035	SnigroVPRI43755predictedgene_006434-T1
OG0000036	SnigroVPRI43755predictedgene_001807-T1
OG0000036	SnigroVPRI43755predictedgene_006222-T1
OG0000037	SnigroVPRI43755predictedgene_007117-T1
OG0000038	SnigroVPRI43755predictedgene_007522-T1
OG0000039	SnigroVPRI43755predictedgene_002213-T1
OG0000039	SnigroVPRI43755predictedgene_006962-T1
OG0000040	SnigroVPRI43755predictedgene_003755-T1
OG0000040	SnigroVPRI43755predictedgene_004434-T1
OG0000042	SnigroVPRI43755predictedgene_001779-T1
OG0000042	SnigroVPRI43755predictedgene_004219-T1
OG0000042	SnigroVPRI43755predictedgene_004923-T1
OG0000043	SnigroVPRI43755predictedgene_007493-T1
OG0000043	SnigroVPRI43755predictedgene_007694-T1
OG0000044	SnigroVPRI43755predictedgene_003809-T1
OG0000045	SnigroVPRI43755predictedgene_000932-T1
OG0000046	SnigroVPRI43755predictedgene_001183-T1
OG0000046	SnigroVPRI43755predictedgene_003534-T1
OG0000046	SnigroVPRI43755predictedgene_005156-T1
OG0000047	SnigroVPRI43755predictedgene_003280-T1
OG0000047	SnigroVPRI43755predictedgene_005065-T1
OG0000047	SnigroVPRI43755predictedgene_005068-T1
OG0000047	SnigroVPRI43755predictedgene_006966-T1
OG0000047	SnigroVPRI43755predictedgene_007164-T1
OG0000047	SnigroVPRI43755predictedgene_007356-T1
OG0000048	SnigroVPRI43755predictedgene_000913-T1
OG0000048	SnigroVPRI43755predictedgene_007487-T1
OG0000049	SnigroVPRI43755predictedgene_005240-T1
OG0000049	SnigroVPRI43755predictedgene_006851-T1
OG0000050	SnigroVPRI43755predictedgene_000879-T1
OG0000050	SnigroVPRI43755predictedgene_000885-T1
OG0000050	SnigroVPRI43755predictedgene_001522-T1
OG0000050	SnigroVPRI43755predictedgene_003910-T1
OG0000050	SnigroVPRI43755predictedgene_004220-T1
OG0000050	SnigroVPRI43755predictedgene_005113-T1
OG0000050	SnigroVPRI43755predictedgene_005924-T1
OG0000050	SnigroVPRI43755predictedgene_005931-T1
OG0000051	SnigroVPRI43755predictedgene_000831-T1
OG0000051	SnigroVPRI43755predictedgene_004484-T1
OG0000051	SnigroVPRI43755predictedgene_004748-T1
OG0000051	SnigroVPRI43755predictedgene_006419-T1
OG0000052	SnigroVPRI43755predictedgene_001687-T1
OG0000052	SnigroVPRI43755predictedgene_002682-T1
OG0000053	SnigroVPRI43755predictedgene_005325-T1
