Orthogroup	Protein_ID
OG0000000	SdimorCBS55374predictedgene_001116-T1
OG0000000	SdimorCBS55374predictedgene_001644-T1
OG0000000	SdimorCBS55374predictedgene_003037-T1
OG0000000	SdimorCBS55374predictedgene_003050-T1
OG0000000	SdimorCBS55374predictedgene_003052-T1
OG0000000	SdimorCBS55374predictedgene_003281-T1
OG0000000	SdimorCBS55374predictedgene_004665-T1
OG0000000	SdimorCBS55374predictedgene_004668-T1
OG0000000	SdimorCBS55374predictedgene_005132-T1
OG0000000	SdimorCBS55374predictedgene_005307-T1
OG0000000	SdimorCBS55374predictedgene_006358-T1
OG0000000	SdimorCBS55374predictedgene_006733-T1
OG0000000	SdimorCBS55374predictedgene_006942-T1
OG0000000	SdimorCBS55374predictedgene_006945-T1
OG0000000	SdimorCBS55374predictedgene_008252-T1
OG0000000	SdimorCBS55374predictedgene_009892-T1
OG0000001	SdimorCBS55374predictedgene_006354-T1
OG0000001	SdimorCBS55374predictedgene_006465-T1
OG0000001	SdimorCBS55374predictedgene_006549-T1
OG0000001	SdimorCBS55374predictedgene_007656-T1
OG0000001	SdimorCBS55374predictedgene_007840-T1
OG0000001	SdimorCBS55374predictedgene_008246-T1
OG0000001	SdimorCBS55374predictedgene_009429-T1
OG0000001	SdimorCBS55374predictedgene_010156-T1
OG0000002	SdimorCBS55374predictedgene_005334-T1
OG0000003	SdimorCBS55374predictedgene_003071-T1
OG0000003	SdimorCBS55374predictedgene_005112-T1
OG0000003	SdimorCBS55374predictedgene_005146-T1
OG0000003	SdimorCBS55374predictedgene_005471-T1
OG0000003	SdimorCBS55374predictedgene_005634-T1
OG0000003	SdimorCBS55374predictedgene_008275-T1
OG0000004	SdimorCBS55374predictedgene_004084-T1
OG0000004	SdimorCBS55374predictedgene_005088-T1
OG0000004	SdimorCBS55374predictedgene_005249-T1
OG0000004	SdimorCBS55374predictedgene_005720-T1
OG0000004	SdimorCBS55374predictedgene_008150-T1
OG0000004	SdimorCBS55374predictedgene_008214-T1
OG0000004	SdimorCBS55374predictedgene_008902-T1
OG0000005	SdimorCBS55374predictedgene_001103-T1
OG0000005	SdimorCBS55374predictedgene_005258-T1
OG0000005	SdimorCBS55374predictedgene_008570-T1
OG0000005	SdimorCBS55374predictedgene_008575-T1
OG0000005	SdimorCBS55374predictedgene_010243-T1
OG0000006	SdimorCBS55374predictedgene_001875-T1
OG0000006	SdimorCBS55374predictedgene_004200-T1
OG0000006	SdimorCBS55374predictedgene_005628-T1
OG0000006	SdimorCBS55374predictedgene_005721-T1
OG0000006	SdimorCBS55374predictedgene_007161-T1
OG0000006	SdimorCBS55374predictedgene_008151-T1
OG0000006	SdimorCBS55374predictedgene_009980-T1
OG0000007	SdimorCBS55374predictedgene_001586-T1
OG0000007	SdimorCBS55374predictedgene_002510-T1
OG0000007	SdimorCBS55374predictedgene_006721-T1
OG0000007	SdimorCBS55374predictedgene_007679-T1
OG0000007	SdimorCBS55374predictedgene_009510-T1
OG0000007	SdimorCBS55374predictedgene_010002-T1
OG0000008	SdimorCBS55374predictedgene_001026-T1
OG0000008	SdimorCBS55374predictedgene_008384-T1
OG0000008	SdimorCBS55374predictedgene_010084-T1
OG0000008	SdimorCBS55374predictedgene_010216-T1
OG0000009	SdimorCBS55374predictedgene_002081-T1
OG0000009	SdimorCBS55374predictedgene_007177-T1
OG0000009	SdimorCBS55374predictedgene_007271-T1
OG0000009	SdimorCBS55374predictedgene_008110-T1
OG0000009	SdimorCBS55374predictedgene_008194-T1
