FamilyID	Sporothrix_euskadiensis_VPRI43754<1>	Sporothrix_pseudoabietina_VPRI43531<2>	Sporothrix_variecibatus_CBS121961<3>	Sporothrix_protearum_CBS116654<4>	Sporothrix_humicola_CBS118129<5>	Sporothrix_pallida_CBS13156<6>	Sporothrix_mexicana_CBS120341<7>	Sporothrix_brasiliensis_5110<8>	Sporothrix_schenckii_1099<9>	Sporothrix_globosa_CBS120340<10>	Sporothrix_luriei_CBS93772<11>	Sporothrix_phasma_CBS119721<12>	Sporothrix_dimorphospora_CBS55374<13>	Sporothrix_inflata_CBS23968<14>	Sporothrix_bragantina_CBS47491<15>	Sporothrix_curviconia_CBS95973<16>	Sporothrix_thermara_CBS139747MAG<17>	Sporothrix_epigloea_CBS57363<18>	Sporothrix_epigloea_TF4163<19>	Sporothrix_epigloea_CBS119000<20>	Sporothrix_eucalyptigena_CBS139899<21>	Sporothrix_eucalyptigena_CBS140593<22>	Sporothrix_nigrograna_VPRI43755<23>	Ophiostoma_novoulmi_H327<24>	Ophiostoma_ips_VPRI43529<25>	Sporothrix_brunneoviolacea_CBS124561<26>	Ophiostoma_fasciatum_VPRI43845<27>	Sporothrix_insectorum_RCEF264<28>	Leptographium_lundbergii_CBS138716<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>
GH3	0.640522	0.640522	1.72652e-05	0.651991	0.246625	0.659393	0.00272647	0.645409	0.645409	0.758742	0.807181	0.0282682	0.212177	0.478746	0.000343663	0.289466	0.213388	0.634449	0.204755	0.472082	0.523315	0.523315	0.0611339	0.150849	0.221792	0.00244458	0.172926	0.442958	0.165229	N/A	0.0709584	0.37009	0.246672	0.769105	0.460123	0.508059	0.656371	0.663849	0.824587	0.293025	0.00805946	0.00478374	0.720872	0.039521	0.582248	0.657894	0.685952	0.0316947	0.775494	0.799987	0.775494	0.66287	0.0781817	3.4821e-06	0.0242174	7.28875e-05	0.917934
GH7	0.513657	0.513657	0.0123373	0.304397	0.556072	0.556072	0.632141	0.570421	0.570421	0.648648	0.695333	0.0478938	0.772121	0.772121	0.111315	0.786706	0.00552216	0.5	0.5	0.5	0.504616	0.504616	0.0172357	0.738856	0.0251033	0.0901796	0.0610262	0.0770354	0.902828	N/A	0.841733	0.692661	0.61804	0.599014	0.721427	0.173407	0.551386	0.55452	0.244682	0.61804	0.00200909	0.0911107	0.586829	0.605502	0.141328	0.577682	0.595	0.0610628	0.597027	0.614354	0.597027	0.54421	0.04585	0.000759982	0.5	0.068247	0.493735
GH18	0.614295	0.614295	0.10639	0.594278	0.189122	0.623381	0.189093	0.106215	0.66287	0.769105	0.518741	0.00588969	0.254549	0.00452265	0.0138246	0.222541	0.694955	0.658956	0.243771	0.429637	0.51632	0.51632	0.259517	0.226509	0.0286005	0.0077099	0.236605	0.2475	0.469736	N/A	0.091824	0.323497	0.762837	0.734789	0.398389	0.453148	0.632121	0.638869	0.48584	0.775084	0.369236	0.115535	0.677972	0.730946	0.348452	0.667244	0.136415	0.141553	0.744173	0.770067	0.744173	0.636085	0.160198	5.56646e-05	0.701382	0.00712911	0.721667
AA7	0.00144639	0.574074	0.00384034	0.00825413	0.588204	0.588204	0.691081	0.0541416	0.594323	0.127803	0.739186	0.00481848	0.0846065	0.820552	0.00394816	0.0753138	0.033267	0.5	0.5	0.5	0.51097	0.51097	0.129986	0.823934	0.823934	0.0427528	0.916526	0.922473	0.183247	N/A	0.45666	0.782612	0.696111	0.669677	0.809365	0.310155	0.584745	0.589579	0.36121	0.696111	0.657929	0.0449583	0.632124	0.662898	0.778722	0.60355	0.625169	0.0681121	0.666807	0.691137	0.666807	0.582646	0.0195612	3.10455e-07	0.5	0.00290061	0.28545
AA9	0.551386	0.0774467	1.70468e-06	0.022931	0.629822	0.629822	0.734759	0.66287	0.66287	0.235873	0.81627	0.000258391	0.407928	0.0822972	0.0317273	0.00190183	6.19022e-05	0.5	0.5	0.5	0.513656	0.513656	0.000618767	0.143787	0.0094582	0.0147551	0.0125749	0.00746585	0.758844	N/A	0.0789811	0.801395	0.716015	0.688571	0.826353	0.0515378	0.614295	0.620395	0.443655	0.749075	5.09058e-06	0.0225353	0.0287361	0.707089	0.0363131	0.109896	0.705539	0.0111965	0.685556	0.710896	0.685556	0.594323	0.00173193	1.86123e-08	0.5	0.00050255	0.666218
CE1	0.513657	0.513657	7.75373e-05	0.367692	0.580526	3.49039e-06	0.677991	0.001254	0.570421	0.648648	0.301912	0.0114231	0.279688	0.807318	0.00168355	0.141315	0.0123428	0.540165	0.540165	0.589156	0.511868	0.511868	0.0346822	0.790886	0.0547878	0.0875276	0.161401	0.281085	0.712155	N/A	0.328193	0.72997	0.647618	0.625202	0.759227	0.224234	0.562962	0.566717	0.288331	0.647618	0.000113561	0.00324941	0.621598	0.626361	0.734977	0.577682	0.595	0.0117983	0.622829	0.643319	0.622829	0.55762	1.4167e-05	0.00196194	0.555355	1.03484e-05	0.558084
GH2	0.112159	0.574074	8.22232e-07	0.527217	0.595658	0.595658	0.0445672	0.594323	0.594323	0.688571	0.376107	0.00481848	0.841158	0.111408	0.00575332	0.16282	0.033267	0.540165	0.0598277	0.589156	0.509167	0.509167	0.0232388	0.522697	0.823934	0.123201	0.564906	0.453735	0.919001	N/A	0.40108	0.75929	0.673464	0.648648	0.242284	0.0881228	0.594992	0.600292	0.74797	0.733561	0.0156006	0.0583084	0.642166	0.276865	0.778722	0.60355	0.625169	0.0345257	0.666807	0.691137	0.666807	0.582646	0.00113	1.89393e-05	0.555355	0.027046	0.604271
CE8	0.526757	0.526757	0.0477028	0.649999	0.529312	0.529312	0.000111891	0.53016	0.53016	0.569711	0.59774	0.688396	0.204128	8.7319e-05	0.0296012	0.813154	0.276973	0.5	0.5	0.5	0.506444	0.00325035	0.375594	0.113546	0.00747667	0.010411	0.878095	0.129924	0.394679	N/A	0.841733	0.692661	0.61804	0.599014	0.721427	0.370807	0.526757	0.528463	0.59237	0.584098	0.563737	0.110541	0.546622	0.557633	0.62535	0.533526	0.541781	0.646798	0.0548914	0.643319	0.622829	0.55762	0.0609644	3.88838e-05	0.5	0.0461897	0.811649
GH28	0.551386	0.551386	0.00235566	0.0411265	0.556072	0.556072	3.48289e-05	0.55762	0.55762	0.648648	0.695333	0.490876	0.189268	0.748438	0.0296012	0.284707	0.811148	0.5	0.5	0.5	0.507354	0.507354	0.0346822	0.300606	0.823934	0.00751145	0.895714	0.714942	0.261632	N/A	0.866445	0.72997	0.647618	0.625202	0.759227	0.224234	0.562962	0.566717	0.686912	0.673464	0.210492	0.255558	0.586829	0.626361	0.734977	0.577682	0.144136	0.761853	0.622829	0.643319	0.622829	0.55762	0.0609644	3.88838e-05	0.5	0.00961743	0.841708
GH78	0.574074	0.574074	0.000289982	0.000956693	0.580526	0.00535292	0.66387	0.55762	0.0868982	0.0745929	0.000515644	0.00616417	0.329287	0.0444345	0.00187646	0.813154	0.328126	0.0598277	0.540165	0.131547	0.509167	0.00464322	0.279607	0.846177	0.571203	0.280005	0.564906	0.747965	0.360332	N/A	0.40108	0.75929	0.673464	0.648648	0.78762	0.269748	0.574074	0.578395	0.710182	0.696111	0.657929	0.0799361	0.0652679	0.00719865	0.705768	0.563719	0.578401	0.0024611	0.645987	0.66875	0.645987	0.570421	0.626361	0.000135616	0.555355	0.00830981	0.861416
