#cluster_id	cluster_protein_count	protein_median_count	TAXON_count	attribute	attribute_cluster_type	protein_span_mean	protein_span_sd	epigloea_count	other_count	epigloea_median	other_median	epigloea_cov	other_cov
OG0000000	220	14.0	17	compare	specific	336.0590909090909	50.83208685189903	0	220	0.0	14.0	0.00	0.85
OG0000001	121	7.0	19	compare	specific	566.5123966942149	118.876011224591	0	121	0.0	6.0	0.00	0.95
OG0000002	110	3.0	21	compare	shared	639.3545454545455	258.256095109403	6	104	3.0	2.5	0.67	0.95
OG0000003	104	4.0	21	compare	shared	277.375	67.23569157191622	15	89	6.0	3.5	0.67	0.95
OG0000004	102	6.5	18	compare	specific	476.4117647058824	87.65634244819724	0	102	0.0	5.0	0.00	0.90
OG0000005	95	5.0	17	compare	specific	331.6842105263158	45.61953947894991	0	95	0.0	4.0	0.00	0.85
OG0000006	94	6.0	19	compare	specific	622.0106382978723	121.46153359045721	0	94	0.0	5.5	0.00	0.95
OG0000007	87	4.0	23	compare	shared	819.3793103448276	198.5677591509685	4	83	1.0	4.0	1.00	1.00
OG0000008	85	3.0	23	compare	shared	552.4941176470588	63.476465954744256	3	82	1.0	3.5	1.00	1.00
OG0000009	74	3.0	19	compare	specific	420.3918918918919	96.89529282734236	0	74	0.0	3.0	0.00	0.95
OG0000010	71	3.0	16	compare	specific	475.3380281690141	268.56388773119704	0	71	0.0	2.0	0.00	0.80
OG0000011	71	2.0	19	compare	specific	351.11267605633805	126.62560421231757	0	71	0.0	2.0	0.00	0.95
OG0000012	70	4.0	18	compare	specific	369.4428571428571	71.17937817620367	0	70	0.0	4.0	0.00	0.90
OG0000013	70	2.0	19	compare	shared	332.7857142857143	139.8921924562056	40	30	16.0	1.0	1.00	0.80
OG0000014	67	3.0	23	compare	shared	444.13432835820896	59.052442041934704	3	64	1.0	3.5	1.00	1.00
OG0000015	65	4.0	19	compare	specific	447.3538461538462	100.85075504377451	0	65	0.0	4.0	0.00	0.95
OG0000016	65	3.5	18	compare	specific	482.04615384615386	90.1416715329018	0	65	0.0	3.0	0.00	0.90
OG0000017	65	4.0	17	compare	specific	280.67692307692306	102.6600225827288	0	65	0.0	3.0	0.00	0.85
OG0000018	64	4.0	18	compare	specific	857.15625	172.41956627928715	0	64	0.0	4.0	0.00	0.90
OG0000019	64	3.0	19	compare	specific	1268.90625	250.70598559056683	0	64	0.0	3.0	0.00	0.95
OG0000020	64	3.5	18	compare	specific	554.765625	85.05397958566886	0	64	0.0	3.0	0.00	0.90
OG0000021	62	4.0	15	compare	specific	719.6129032258065	231.12943970429842	0	62	0.0	3.0	0.00	0.75
OG0000022	61	4.0	18	compare	specific	527.0655737704918	104.43208929180301	0	61	0.0	3.5	0.00	0.90
OG0000023	61	3.0	20	compare	shared	529.1475409836065	81.38450250540086	3	58	1.0	3.0	1.00	0.85
OG0000024	60	2.0	22	compare	shared	485.6166666666667	101.22682313607507	3	57	1.0	2.0	1.00	0.95
OG0000025	60	2.0	22	compare	shared	491.6	53.52077478263308	3	57	1.0	2.5	1.00	0.95
OG0000026	60	3.0	21	compare	shared	315.1166666666667	143.2645678068687	2	58	1.0	3.0	0.67	0.95
OG0000027	60	3.0	22	compare	shared	582.1	205.88295218400188	6	54	2.0	3.0	1.00	0.95
OG0000028	59	2.0	13	compare	shared	184.8135593220339	93.9537344809904	2	57	1.0	1.0	0.67	0.55
OG0000029	59	2.0	20	compare	shared	483.93220338983053	189.11595083769842	16	43	7.0	2.0	0.67	0.90
OG0000030	58	3.0	18	compare	specific	593.5689655172414	58.10635672655182	0	58	0.0	3.0	0.00	0.90
OG0000031	57	3.0	18	compare	specific	487.0877192982456	238.28416477499653	0	57	0.0	3.0	0.00	0.90
OG0000032	57	3.0	20	compare	shared	244.3684210526316	74.2214873079803	12	45	4.0	2.0	1.00	0.85
OG0000033	56	3.0	17	compare	specific	459.5	167.18712783670193	0	56	0.0	2.5	0.00	0.85
OG0000034	55	3.0	19	compare	specific	577.9818181818182	78.97974214582806	0	55	0.0	2.5	0.00	0.95
OG0000035	55	3.0	23	compare	shared	553.9090909090909	144.36195327619743	3	52	1.0	3.0	1.00	1.00
OG0000036	54	2.5	22	compare	shared	510.44444444444446	119.50665046838539	3	51	1.0	3.0	1.00	0.95
OG0000037	54	3.0	20	compare	specific	625.4629629629629	212.63259157200773	0	54	0.0	3.0	0.00	1.00
OG0000038	54	1.0	23	compare	shared	516.5370370370371	61.822240083958675	34	20	3.0	1.0	1.00	1.00
OG0000039	53	2.0	23	compare	shared	1521.1698113207547	694.0195401481944	6	47	2.0	2.0	1.00	1.00
OG0000040	53	3.0	20	compare	specific	296.41509433962267	35.00912763043276	0	53	0.0	3.0	0.00	1.00
OG0000041	53	3.0	19	compare	specific	267.07547169811323	55.853531182300536	0	53	0.0	3.0	0.00	0.95
OG0000042	53	2.0	20	compare	specific	510.0188679245283	32.30076263252825	0	53	0.0	2.0	0.00	1.00
OG0000043	52	2.0	23	compare	shared	555.6153846153846	103.34839395241892	3	49	1.0	2.0	1.00	1.00
OG0000044	52	2.5	16	compare	shared	378.5769230769231	127.75071069407105	5	47	2.0	1.0	0.67	0.70
OG0000045	51	2.0	23	compare	shared	471.0	33.374876073795036	3	48	1.0	2.0	1.00	1.00
OG0000046	51	2.0	23	compare	shared	421.88235294117646	88.1384043197532	7	44	2.0	2.0	1.00	1.00
OG0000047	50	2.0	19	compare	specific	399.68	97.88205964322574	0	50	0.0	2.0	0.00	0.95
OG0000048	49	3.0	16	compare	specific	486.6734693877551	121.06978722108694	0	49	0.0	3.0	0.00	0.80
OG0000049	49	3.0	18	compare	specific	1295.530612244898	459.85925540014534	0	49	0.0	2.5	0.00	0.90
OG0000050	49	2.0	20	compare	specific	572.4285714285714	75.4848275064166	0	49	0.0	2.0	0.00	1.00
