#FamilyID	Likelihood of Family
C19	-51.5358
C12	-23.4409
M14A	-26.2182
S33	-128.017
C78B	-11.4134
S10	-48.3917
M28X	-23.4439
M24B	-30.4747
M20D	-78.9381
G01	-28.1834
S09B	-26.3535
M28A	-14.4535
S08B	-10.4989
T01A	-47.724
C44	-24.326
M24A	-18.6374
C26	-48.7745
S01D	-10.4989
T02	-21.5446
C110	-12.365
C48	-30.8678
S16	-18.0079
M24X	-15.5726
M18	-15.4226
M76	-10.4989
S09X	-408.892
C65	-10.4989
M20X	-47.2143
S53	-53.9097
A22B	-10.4989
M16B	-23.8954
M16C	-15.3116
T05	-10.4989
S54	-32.4773
A01A	-85.1443
C50	-10.4989
S09C	-100.232
M38	-69.2637
C01B	-11.9736
T03	-28.8747
C14B	-31.2232
I09	-23.6303
M79	-10.4989
M16A	-27.1599
C02A	-37.8638
S12	-127.528
M80	-19.8279
M49	-17.0706
M41	-15.4226
M20A	-44.073
S08A	-108.131
S28	-32.0208
C56	-18.0606
M01	-19.7993
M12B	-10.4989
M67A	-31.6456
C85B	-27.8884
T01X	-10.4989
M19	-38.5623
S59	-10.4989
C85A	-11.2944
M28E	-12.9179
C13	-10.4989
I32	-11.089
M03A	-47.6588
I51	-23.5087
M67X	-15.5726
C15	-18.2558
C115	-12.0463
S26A	-15.3116
M20F	-15.4226
A28A	-10.4989
S26B	-11.8423
M28B	-15.4226
M13	-10.4989
I87	-21.0527
M48A	-13.211
M48C	-10.4989
S66	-20.8578
M81	-12.4714
