Orthogroup	Protein_ID
OG0000002	SEPCBS57363_006543-T1
OG0000002	SEPCBS57363_006555-T1
OG0000002	SEPCBS57363_006556-T1
OG0000003	SEPCBS57363_000692-T1
OG0000003	SEPCBS57363_001023-T1
OG0000003	SEPCBS57363_001305-T1
OG0000003	SEPCBS57363_003351-T1
OG0000003	SEPCBS57363_005302-T1
OG0000003	SEPCBS57363_006800-T1
OG0000003	SEPCBS57363_006813-T1
OG0000003	SEPCBS57363_006816-T1
OG0000003	SEPCBS57363_006830-T1
OG0000007	SEPCBS57363_003597-T1
OG0000008	SEPCBS57363_001454-T1
OG0000013	SEPCBS57363_005675-T1
OG0000013	SEPCBS57363_005676-T1
OG0000013	SEPCBS57363_006353-T1
OG0000013	SEPCBS57363_006465-T1
OG0000013	SEPCBS57363_006533-T1
OG0000013	SEPCBS57363_006534-T1
OG0000013	SEPCBS57363_006759-T1
OG0000013	SEPCBS57363_006760-T1
OG0000014	SEPCBS57363_001498-T1
OG0000023	SEPCBS57363_003842-T1
OG0000024	SEPCBS57363_001475-T1
OG0000025	SEPCBS57363_005757-T1
OG0000026	SEPCBS57363_006284-T1
OG0000027	SEPCBS57363_001970-T1
OG0000027	SEPCBS57363_006074-T1
OG0000028	SEPCBS57363_006804-T1
OG0000029	SEPCBS57363_003657-T1
OG0000029	SEPCBS57363_003658-T1
OG0000029	SEPCBS57363_003659-T1
OG0000029	SEPCBS57363_003660-T1
OG0000029	SEPCBS57363_003661-T1
OG0000029	SEPCBS57363_004334-T1
OG0000029	SEPCBS57363_004335-T1
OG0000029	SEPCBS57363_004339-T1
OG0000029	SEPCBS57363_004340-T1
OG0000032	SEPCBS57363_002354-T1
OG0000032	SEPCBS57363_002675-T1
OG0000032	SEPCBS57363_006366-T1
OG0000032	SEPCBS57363_006418-T1
OG0000035	SEPCBS57363_006385-T1
OG0000036	SEPCBS57363_006017-T1
OG0000038	SEPCBS57363_003138-T1
OG0000038	SEPCBS57363_004001-T1
OG0000038	SEPCBS57363_004002-T1
OG0000039	SEPCBS57363_002024-T1
OG0000039	SEPCBS57363_004876-T1
OG0000043	SEPCBS57363_000117-T1
OG0000044	SEPCBS57363_003930-T1
OG0000044	SEPCBS57363_005421-T1
OG0000044	SEPCBS57363_005422-T1
OG0000045	SEPCBS57363_002812-T1
OG0000046	SEPCBS57363_001081-T1
OG0000046	SEPCBS57363_004778-T1
OG0000046	SEPCBS57363_004779-T1
OG0000052	SEPCBS57363_001142-T1
OG0000058	SEPCBS57363_001425-T1
OG0000059	SEPCBS57363_006207-T1
OG0000062	SEPCBS57363_006781-T1
OG0000063	SEPCBS57363_003401-T1
OG0000063	SEPCBS57363_004093-T1
OG0000065	SEPCBS57363_001474-T1
OG0000066	SEPCBS57363_003663-T1
OG0000066	SEPCBS57363_006114-T1
OG0000069	SEPCBS57363_002063-T1
OG0000072	SEPCBS57363_001781-T1
OG0000074	SEPCBS57363_004689-T1
OG0000076	SEPCBS57363_002308-T1
OG0000076	SEPCBS57363_004141-T1
OG0000076	SEPCBS57363_004446-T1
