Orthogroup	Protein_ID
OG0000000	SeuskaVPRI43754predictedgene_001040-T1
OG0000000	SeuskaVPRI43754predictedgene_004632-T1
OG0000000	SeuskaVPRI43754predictedgene_004776-T1
OG0000000	SeuskaVPRI43754predictedgene_005106-T1
OG0000000	SeuskaVPRI43754predictedgene_007564-T1
OG0000001	SeuskaVPRI43754predictedgene_001752-T1
OG0000001	SeuskaVPRI43754predictedgene_003286-T1
OG0000001	SeuskaVPRI43754predictedgene_004765-T1
OG0000001	SeuskaVPRI43754predictedgene_007365-T1
OG0000002	SeuskaVPRI43754predictedgene_001359-T1
OG0000002	SeuskaVPRI43754predictedgene_001360-T1
OG0000002	SeuskaVPRI43754predictedgene_004711-T1
OG0000002	SeuskaVPRI43754predictedgene_006929-T1
OG0000002	SeuskaVPRI43754predictedgene_006963-T1
OG0000003	SeuskaVPRI43754predictedgene_000790-T1
OG0000003	SeuskaVPRI43754predictedgene_001836-T1
OG0000004	SeuskaVPRI43754predictedgene_000409-T1
OG0000004	SeuskaVPRI43754predictedgene_002810-T1
OG0000004	SeuskaVPRI43754predictedgene_003643-T1
OG0000004	SeuskaVPRI43754predictedgene_008831-T1
OG0000005	SeuskaVPRI43754predictedgene_003103-T1
OG0000005	SeuskaVPRI43754predictedgene_008948-T1
OG0000006	SeuskaVPRI43754predictedgene_000410-T1
OG0000006	SeuskaVPRI43754predictedgene_003495-T1
OG0000006	SeuskaVPRI43754predictedgene_004297-T1
OG0000006	SeuskaVPRI43754predictedgene_005740-T1
OG0000007	SeuskaVPRI43754predictedgene_001067-T1
OG0000007	SeuskaVPRI43754predictedgene_002050-T1
OG0000007	SeuskaVPRI43754predictedgene_003334-T1
OG0000008	SeuskaVPRI43754predictedgene_000290-T1
OG0000008	SeuskaVPRI43754predictedgene_005285-T1
OG0000009	SeuskaVPRI43754predictedgene_000815-T1
OG0000009	SeuskaVPRI43754predictedgene_005914-T1
OG0000009	SeuskaVPRI43754predictedgene_007742-T1
OG0000010	SeuskaVPRI43754predictedgene_000485-T1
OG0000010	SeuskaVPRI43754predictedgene_007869-T1
OG0000011	SeuskaVPRI43754predictedgene_001835-T1
OG0000011	SeuskaVPRI43754predictedgene_002237-T1
OG0000011	SeuskaVPRI43754predictedgene_002402-T1
OG0000011	SeuskaVPRI43754predictedgene_002737-T1
OG0000011	SeuskaVPRI43754predictedgene_003164-T1
OG0000011	SeuskaVPRI43754predictedgene_004196-T1
OG0000011	SeuskaVPRI43754predictedgene_006143-T1
OG0000011	SeuskaVPRI43754predictedgene_006466-T1
OG0000011	SeuskaVPRI43754predictedgene_007478-T1
OG0000011	SeuskaVPRI43754predictedgene_007654-T1
OG0000011	SeuskaVPRI43754predictedgene_008469-T1
OG0000012	SeuskaVPRI43754predictedgene_005816-T1
OG0000012	SeuskaVPRI43754predictedgene_005817-T1
OG0000013	SeuskaVPRI43754predictedgene_000638-T1
OG0000013	SeuskaVPRI43754predictedgene_003397-T1
OG0000014	SeuskaVPRI43754predictedgene_000482-T1
OG0000014	SeuskaVPRI43754predictedgene_006482-T1
OG0000014	SeuskaVPRI43754predictedgene_006927-T1
OG0000014	SeuskaVPRI43754predictedgene_007871-T1
OG0000015	SeuskaVPRI43754predictedgene_001301-T1
OG0000016	SeuskaVPRI43754predictedgene_005273-T1
OG0000016	SeuskaVPRI43754predictedgene_005739-T1
OG0000017	SeuskaVPRI43754predictedgene_004070-T1
OG0000017	SeuskaVPRI43754predictedgene_004680-T1
OG0000018	SeuskaVPRI43754predictedgene_002887-T1
OG0000018	SeuskaVPRI43754predictedgene_003451-T1
OG0000018	SeuskaVPRI43754predictedgene_004367-T1
OG0000018	SeuskaVPRI43754predictedgene_005142-T1
OG0000019	SeuskaVPRI43754predictedgene_000873-T1
OG0000019	SeuskaVPRI43754predictedgene_005242-T1
OG0000019	SeuskaVPRI43754predictedgene_005243-T1
OG0000019	SeuskaVPRI43754predictedgene_006454-T1
OG0000019	SeuskaVPRI43754predictedgene_007013-T1
OG0000020	SeuskaVPRI43754predictedgene_003056-T1
OG0000020	SeuskaVPRI43754predictedgene_003057-T1
OG0000020	SeuskaVPRI43754predictedgene_004369-T1
OG0000020	SeuskaVPRI43754predictedgene_005889-T1
OG0000021	SeuskaVPRI43754predictedgene_003380-T1
OG0000021	SeuskaVPRI43754predictedgene_006941-T1
OG0000021	SeuskaVPRI43754predictedgene_006942-T1
OG0000022	SeuskaVPRI43754predictedgene_005025-T1
OG0000022	SeuskaVPRI43754predictedgene_008197-T1
OG0000022	SeuskaVPRI43754predictedgene_009076-T1
OG0000022	SeuskaVPRI43754predictedgene_009079-T1
