genome	tyrCount
Sporothrix_bragantina_CBS47491	9
Sporothrix_brasiliensis_5110	5
Sporothrix_curviconia_CBS95973	1
Sporothrix_dimorphospora_CBS55374	1
Sporothrix_epigloea_CBS119000	0
Sporothrix_epigloea_CBS57363	0
Sporothrix_epigloea_TF4163	0
Sporothrix_eucalyptigena_CBS139899	9
Sporothrix_eucalyptigena_CBS140593	13
Sporothrix_euskadiensis_VPRI43754	1
Sporothrix_globosa_CBS120340	2
Sporothrix_humicola_CBS118129	1
Sporothrix_inflata_CBS23968	6
Sporothrix_luriei_CBS93772	6
Sporothrix_mexicana_CBS120341	7
Sporothrix_nigrograna_VPRI43755	5
Sporothrix_pallida_CBS13156	2
Sporothrix_phasma_CBS119721	8
Sporothrix_protearum_CBS116654	3
Sporothrix_pseudoabietina_VPRI43531	0
Sporothrix_schenckii_1099	2
Sporothrix_thermara_CBS139747MAG	3
Sporothrix_variecibatus_CBS121961	0
Ophiostoma_novoulmi_H327	0
Ophiostoma_ips_VPRI43529	1
Sporothrix_brunneoviolacea_CBS124561	2
Ophiostoma_fasciatum_VPRI43845	0
Sporothrix_insectorum_RCEF264	8
Leptographium_lundbergii_CBS138716	6
