dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SBRCBS47491_000698-T1	184	2.4e-36	274	441	6	173	0.377828054299
GT71_e16	GT71:38	-	-	235	SBRCBS47491_000810-T1	604	1.2e-93	1	235	253	488	0.995744680851
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SBRCBS47491_001336-T1	669	3.3e-200	1	482	125	628	0.997925311203
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SBRCBS47491_002159-T1	343	1.5e-136	1	278	43	321	0.996402877698
GH92_e35	GH92:160	-	-	510	SBRCBS47491_002849-T1	920	1.1e-236	1	510	333	883	0.998039215686
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SBRCBS47491_002910-T1	731	1.7e-110	2	207	72	277	0.990338164251
AA7_e3	AA7:11|CBM18:8	-	-	391	SBRCBS47491_002990-T1	762	4.6e-17	9	178	179	360	0.432225063939
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SBRCBS47491_005324-T1	794	1.1e-208	1	430	265	705	0.99535962877
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SBRCBS47491_006397-T1	223	1.2e-92	1	207	24	221	0.990384615385
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SBRCBS47491_007498-T1	864	1.1e-104	1	214	45	258	0.995327102804
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SBRCBS47491_009964-T1	609	1.6e-176	1	474	61	547	0.997890295359
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SBRCBS47491_010072-T1	351	9.1e-147	1	289	31	322	0.993103448276
GH88_e4	GH88:37	-	-	401	SCUCBS95973_002175-T1	546	7.5e-155	1	401	96	537	0.997506234414
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SCUCBS95973_002263-T1	345	1.6e-137	1	309	5	339	0.993548387097
GH125_e2	GH125:180	-	-	423	SCUCBS95973_003233-T1	535	2.9e-186	1	423	79	520	0.997635933806
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SCUCBS95973_005265-T1	963	5.3e-18	10	181	96	279	0.410071942446
AA3_e28	AA3_2:42|AA3:1	-	-	565	SCUCBS95973_006264-T1	578	5.1e-291	1	564	9	572	0.996460176991
GH135_e25	GH135:7	-	-	228	SCUCBS95973_006487-T1	326	2e-29	1	172	39	223	0.75
GH131_e0	GH131:19	-	-	254	SCUCBS95973_006695-T1	297	1.4e-116	1	254	35	294	0.996062992126
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SCUCBS95973_008669-T1	390	1.3e-90	1	215	52	283	0.990740740741
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SEUCBS139899_001608-T1	760	1.8e-17	10	186	174	361	0.42206235012
GH18_e107	GH18:17	-	-	321	SEUCBS139899_002132-T1	369	5e-102	1	319	10	353	0.990654205607
GT31_e37	GT31:25	-	-	54	SEUCBS139899_002575-T1	464	1.4e-21	4	54	192	242	0.925925925926
CE5_e11	CE5:7	-	-	193	SEUCBS139899_005765-T1	302	1.6e-53	16	192	53	245	0.911917098446
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SEUCBS139899_006424-T1	865	2.1e-111	1	214	35	248	0.995327102804
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SEUCBS139899_006993-T1	484	1.1e-200	2	442	28	481	0.995475113122
GH106_e15	GH106:19|GT2:1	-	-	933	SEUCBS139899_008229-T1	1004	9.8e-275	1	931	25	950	0.996784565916
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SEUCBS139899_010481-T1	445	2.3e-158	1	350	80	429	0.991477272727
GH5_e56	GH5_24:29	-	-	314	SEUCBS139899_010820-T1	426	2.4e-173	1	312	77	389	0.990445859873
AA3_e28	AA3_2:42|AA3:1	-	-	565	SEUCBS139899_010832-T1	592	4.5e-298	1	564	10	574	0.996460176991
AA1_e22	AA1:24	-	-	492	SEUCBS140593_000277-T1	716	2.2e-188	1	491	157	668	0.99593495935
CE16_e2	CE16:12	-	-	278	SEUCBS140593_001017-T1	384	1.4e-101	1	278	56	354	0.996402877698
AA2_e12	AA2:15	-	-	241	SEUCBS140593_003051-T1	481	8.5e-96	3	241	234	468	0.98755186722
AA1_e29	AA1:21	-	-	498	SEUCBS140593_003643-T1	675	1.5e-156	2	498	148	638	0.995983935743
GH154_e10	GH154:86	-	-	357	SEUCBS140593_003812-T1	682	4.1e-172	1	356	26	373	0.994397759104
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SEUCBS140593_005174-T1	479	4.2e-149	1	417	41	476	0.997601918465
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SEUCBS140593_006222-T1	487	1.8e-198	2	442	28	484	0.995475113122
GT69_e0	GT69:44	-	-	243	SEUCBS140593_007428-T1	426	1.8e-117	1	243	113	352	0.995884773663
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SEUCBS140593_008021-T1	889	4.8e-109	2	212	84	294	0.985915492958
CE8_e105	CE8:21	3.1.1.11:8	pectin	281	SEUCBS140593_008502-T1	239	1.1e-107	64	280	3	217	0.768683274021
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SEUCBS140593_008505-T1	1110	1.2e-276	23	824	46	985	0.968561064087
GH131_e4	GH131:11	-	-	258	SEUCBS140593_008643-T1	318	3.7e-103	57	258	112	314	0.779069767442
GH154_e10	GH154:86	-	-	357	SEUCBS140593_010267-T1	733	2e-158	1	357	15	399	0.997198879552
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SEUCBS140593_010647-T1	609	8.7e-176	1	474	60	546	0.997890295359
AA4_e1	AA4:19	-	-	525	STHCBS139747_000502-T1	496	4.1e-16	16	253	31	263	0.451428571429
CE5_e42	CE5:11	-	-	206	STHCBS139747_000614-T1	414	3.2e-77	1	204	29	235	0.985436893204
GT69_e0	GT69:44	-	-	243	STHCBS139747_002213-T1	245	1.2e-69	100	243	14	171	0.588477366255
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	STHCBS139747_006747-T1	881	5.6e-112	1	214	35	248	0.995327102804
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	Sbrasi5110predictedgene_000347-T1	855	1.6e-81	1	210	86	281	0.995238095238
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	Sbrasi5110predictedgene_001334-T1	586	1.3e-136	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	Sbrasi5110predictedgene_001334-T1	586	7.1e-54	7	199	362	576	0.96
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	Sbrasi5110predictedgene_002711-T1	409	6.9e-93	2	220	13	232	0.986425339367
GH16_e200	GH16_18:28	-	-	156	Sbrasi5110predictedgene_003184-T1	382	6.9e-73	1	155	70	225	0.987179487179
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	Sbrasi5110predictedgene_004264-T1	429	7.1e-172	1	351	42	394	0.997150997151
CE8_e105	CE8:21	3.1.1.11:8	pectin	281	Sbrasi5110predictedgene_004421-T1	326	8.3e-124	2	280	29	304	0.989323843416
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	Sbrasi5110predictedgene_005370-T1	783	0	4	748	22	779	0.994652406417
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	Sbrasi5110predictedgene_005479-T1	452	7.1e-129	12	351	77	417	0.965811965812
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	Sbrasi5110predictedgene_005642-T1	459	1.3e-176	1	359	30	397	0.986225895317
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	Sbrasi5110predictedgene_006133-T1	530	3.4e-222	1	464	48	525	0.995698924731
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	Sbrasi5110predictedgene_007799-T1	500	3.7e-158	3	441	28	496	0.990950226244
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	Sbrasi5110predictedgene_008046-T1	991	7.4e-109	2	210	179	392	0.990476190476
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SdimorCBS55374predictedgene_000044-T1	658	2.9e-165	1	473	101	616	0.995780590717
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SdimorCBS55374predictedgene_001527-T1	469	5.7e-205	2	442	28	466	0.995475113122
GT90_e11	GT90:72	-	-	290	SdimorCBS55374predictedgene_003058-T1	669	8.2e-127	1	290	367	654	0.996551724138
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SdimorCBS55374predictedgene_003203-T1	245	5e-73	1	207	43	243	0.990384615385
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SdimorCBS55374predictedgene_003299-T1	351	2.2e-178	115	456	1	341	0.658301158301
GT61_e19	GT61:14	-	-	120	SdimorCBS55374predictedgene_005039-T1	558	1.8e-37	1	116	332	455	0.958333333333
