#cluster_id	protein_count	taxon_count	domain_ids	domain_description
OG0000000	220	17	PF09362	Domain of unknown function (DUF1996)
OG0000001	121	19	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000002	110	21	None	None
OG0000003	104	21	None	None
OG0000004	102	18	PF00083	Sugar (and other) transporter
OG0000005	95	17	PF05721	Phytanoyl-CoA dioxygenase (PhyH)
OG0000006	94	19	PF07287	Acyclic terpene utilisation family protein AtuA
OG0000007	87	23	PF17786;PF00703	Mannosidase Ig/CBM-like domain;Glycosyl hydrolases family 2
OG0000008	85	23	PF00083	Sugar (and other) transporter
OG0000009	74	19	PF01494	FAD binding domain
OG0000010	71	16	None	None
OG0000011	71	19	None	None
OG0000012	70	18	None	None
OG0000013	70	19	None	None
OG0000014	67	23	PF13378	Enolase C-terminal domain-like
OG0000015	65	19	PF17189	Glycosyl hydrolase family 30 beta sandwich domain
OG0000016	65	18	PF00067	Cytochrome P450
OG0000017	65	17	PF00069	Protein kinase domain
OG0000018	64	18	PF17389;PF08531;PF05592;PF17390	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain;Alpha-L-rhamnosidase N-terminal domain;Bacterial alpha-L-rhamnosidase concanavalin-like domain;Bacterial alpha-L-rhamnosidase C-terminal domain
OG0000019	64	19	PF02538;PF01968;PF05378;PF19278	Hydantoinase B/oxoprolinase;Hydantoinase/oxoprolinase;Hydantoinase/oxoprolinase N-terminal region;Hydantoinase/oxoprolinase C-terminal domain
OG0000020	64	18	PF07690	Major Facilitator Superfamily
OG0000021	62	15	PF01915;PF00933;PF14310	Glycosyl hydrolase family 3 C-terminal domain;Glycosyl hydrolase family 3 N terminal domain;Fibronectin type III-like domain
OG0000022	61	18	PF07690	Major Facilitator Superfamily
OG0000023	61	20	PF07690	Major Facilitator Superfamily
OG0000024	60	22	PF00296	Luciferase-like monooxygenase
OG0000025	60	22	PF00171	Aldehyde dehydrogenase family
OG0000026	60	21	PF00069	Protein kinase domain
OG0000027	60	22	PF00350;PF01031	Dynamin family;Dynamin central region
OG0000028	59	13	None	None
OG0000029	59	20	None	None
OG0000030	58	18	PF00884	Sulfatase
OG0000031	57	18	None	None
OG0000032	57	20	PF01636	Phosphotransferase enzyme family
OG0000033	56	17	None	None
OG0000034	55	19	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000035	55	23	PF07690	Major Facilitator Superfamily
OG0000036	54	22	PF00324	Amino acid permease
OG0000037	54	20	PF08031;PF01565	Berberine and berberine like ;FAD binding domain 
OG0000038	54	23	None	None
