Orthogroup	Protein_ID
OG0000000	Sbrasi5110predictedgene_001047-T1
OG0000000	Sbrasi5110predictedgene_001824-T1
OG0000000	Sbrasi5110predictedgene_003151-T1
OG0000000	Sbrasi5110predictedgene_004067-T1
OG0000000	Sbrasi5110predictedgene_004237-T1
OG0000000	Sbrasi5110predictedgene_005086-T1
OG0000000	Sbrasi5110predictedgene_005092-T1
OG0000000	Sbrasi5110predictedgene_005285-T1
OG0000000	Sbrasi5110predictedgene_005300-T1
OG0000000	Sbrasi5110predictedgene_007596-T1
OG0000000	Sbrasi5110predictedgene_008260-T1
OG0000001	Sbrasi5110predictedgene_002301-T1
OG0000001	Sbrasi5110predictedgene_007980-T1
OG0000002	Sbrasi5110predictedgene_000805-T1
OG0000002	Sbrasi5110predictedgene_002134-T1
OG0000002	Sbrasi5110predictedgene_002847-T1
OG0000002	Sbrasi5110predictedgene_003010-T1
OG0000002	Sbrasi5110predictedgene_004816-T1
OG0000002	Sbrasi5110predictedgene_005947-T1
OG0000002	Sbrasi5110predictedgene_006597-T1
OG0000002	Sbrasi5110predictedgene_006987-T1
OG0000002	Sbrasi5110predictedgene_007577-T1
OG0000002	Sbrasi5110predictedgene_007601-T1
OG0000002	Sbrasi5110predictedgene_007609-T1
OG0000002	Sbrasi5110predictedgene_007880-T1
OG0000002	Sbrasi5110predictedgene_008214-T1
OG0000003	Sbrasi5110predictedgene_000714-T1
OG0000003	Sbrasi5110predictedgene_006951-T1
OG0000003	Sbrasi5110predictedgene_007066-T1
OG0000003	Sbrasi5110predictedgene_007415-T1
OG0000004	Sbrasi5110predictedgene_005010-T1
OG0000005	Sbrasi5110predictedgene_002147-T1
OG0000005	Sbrasi5110predictedgene_006335-T1
OG0000005	Sbrasi5110predictedgene_007868-T1
OG0000005	Sbrasi5110predictedgene_007875-T1
OG0000006	Sbrasi5110predictedgene_003060-T1
OG0000006	Sbrasi5110predictedgene_005011-T1
OG0000006	Sbrasi5110predictedgene_005659-T1
OG0000006	Sbrasi5110predictedgene_008524-T1
OG0000007	Sbrasi5110predictedgene_000801-T1
OG0000007	Sbrasi5110predictedgene_008021-T1
OG0000007	Sbrasi5110predictedgene_008216-T1
OG0000008	Sbrasi5110predictedgene_003110-T1
OG0000008	Sbrasi5110predictedgene_006414-T1
OG0000009	Sbrasi5110predictedgene_000754-T1
OG0000009	Sbrasi5110predictedgene_001301-T1
OG0000009	Sbrasi5110predictedgene_004100-T1
OG0000010	Sbrasi5110predictedgene_005426-T1
