FamilyID	TaxonID	Count	Change	Pvalue	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0000038	Sporothrix_epigloea_CBS119000	28	25	3.34538e-29	GO:0005515	protein binding 	IPR001810	Domain F-box domain	PF00646	F-box domain
OG0000120	Sporothrix_epigloea_CBS57363	16	13	9.66348e-20	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0005506	Sporothrix_epigloea_CBS57363	12	11	1.54608e-18	None	None	IPR025340	Family Protein of unknown function DUF4246	PF14033	Protein of unknown function (DUF4246)
OG0007386	Sporothrix_epigloea_CBS119000	13	12	1.00414e-15	None	None	None	None	None	None
OG0000013	43	11	9	1.36952e-11	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000099	Sporothrix_epigloea_CBS119000	9	8	7.94946e-11	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000029	44	7	6	1.05033e-09	None	None	None	None	None	None
OG0000135	Sporothrix_epigloea_CBS119000	11	8	2.87995e-09	GO:0008236	serine-type peptidase activity 	IPR015366	Domain Peptidase S53, activation domain	PF09286	Pro-kumamolisin, activation domain 
OG0000505	44	6	5	2.93432e-08	None	None	None	None	None	None
OG0000080	43	6	5	1.98713e-07	GO:0035673	oligopeptide transmembrane transporter activity 	IPR004813	Family Oligopeptide transporter, OPT superfamily	PF03169	OPT oligopeptide transporter protein
OG0009294	Sporothrix_epigloea_TF4163	5	4	2.14591e-07	None	None	None	None	None	None
OG0000000	43	0	-4	5.03627e-06	None	None	IPR018535	Domain Domain of unknown function DUF1996	PF09362	Domain of unknown function (DUF1996)
OG0000001	43	0	-4	5.03627e-06	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000358	Sporothrix_epigloea_CBS119000	5	4	6.29333e-06	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0009723	Sporothrix_epigloea_CBS119000	5	4	6.29333e-06	None	None	None	None	None	None
OG0009724	Sporothrix_epigloea_CBS119000	5	4	6.29333e-06	None	None	IPR041698;IPR025714	Domain Methyltransferase domain 25;Domain Methyltransferase domain	PF13649;PF13847	Methyltransferase domain;Methyltransferase domain
OG0000091	Sporothrix_epigloea_CBS57363	4	3	8.38262e-06	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0008994	Sporothrix_epigloea_CBS57363	4	3	8.38262e-06	None	None	IPR022698	Family Orsellinic acid/F9775 biosynthesis cluster protein D	PF12013	Orsellinic acid/F9775 biosynthesis cluster protein D
OG0000003	Sporothrix_epigloea_CBS119000	0	-4	8.85312e-06	None	None	None	None	None	None
OG0000080	Sporothrix_epigloea_CBS119000	12	6	1.02249e-05	GO:0035673	oligopeptide transmembrane transporter activity 	IPR004813	Family Oligopeptide transporter, OPT superfamily	PF03169	OPT oligopeptide transporter protein
OG0000013	Sporothrix_epigloea_TF4163	16	5	1.4658e-05	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0008992	44	4	3	2.29018e-05	None	None	IPR040976	Domain Fungal-type protein kinase	PF17667	Fungal protein kinase
OG0000119	43	4	3	7.21181e-05	None	None	None	None	None	None
OG0000246	43	4	3	7.21181e-05	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000892	Sporothrix_epigloea_CBS119000	4	3	0.000105564	None	None	None	None	None	None
OG0000004	43	0	-3	0.000161556	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000006	43	0	-3	0.000161556	None	None	IPR010839	Family Acyclic terpene utilisation	PF07287	Acyclic terpene utilisation family protein AtuA
OG0000010	43	0	-3	0.000161556	GO:0006629	lipid metabolic process 	IPR002641	Domain Patatin-like phospholipase domain	PF01734	Patatin-like phospholipase
OG0000016	43	0	-3	0.000161556	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0000019	43	0	-3	0.000161556	GO:0003824;GO:0016787	catalytic activity ;hydrolase activity 	IPR003692;IPR002821;IPR008040	Domain Hydantoinase B/oxoprolinase;Domain Hydantoinase A/oxoprolinase;Domain Hydantoinase/oxoprolinase, N-terminal	PF02538;PF01968;PF05378;PF19278	Hydantoinase B/oxoprolinase;Hydantoinase/oxoprolinase;Hydantoinase/oxoprolinase N-terminal region;Hydantoinase/oxoprolinase C-terminal domain
OG0000002	Sporothrix_epigloea_CBS119000	0	-3	0.00024953	None	None	None	None	None	None
OG0000129	Sporothrix_epigloea_CBS119000	5	3	0.000385331	None	None	None	None	None	None
OG0000013	Sporothrix_epigloea_CBS119000	16	5	0.000611609	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000120	44	3	2	0.00063981	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000003	Sporothrix_epigloea_CBS57363	9	3	0.000681186	None	None	None	None	None	None
OG0000013	Sporothrix_epigloea_CBS57363	8	-3	0.00129281	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000038	43	3	2	0.00137389	GO:0005515	protein binding 	IPR001810	Domain F-box domain	PF00646	F-box domain
OG0000135	43	3	2	0.00137389	GO:0008236	serine-type peptidase activity 	IPR015366	Domain Peptidase S53, activation domain	PF09286	Pro-kumamolisin, activation domain 
OG0008101	Sporothrix_epigloea_CBS119000	3	2	0.00177073	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000005	43	0	-2	0.00187739	None	None	IPR008775	Family Phytanoyl-CoA dioxygenase-like	PF05721	Phytanoyl-CoA dioxygenase (PhyH)
OG0000009	43	0	-2	0.00187739	GO:0071949	FAD binding 	IPR002938;IPR003953	Domain FAD-binding domain;Domain FAD-dependent oxidoreductase 2, FAD binding domain	PF01494;PF00890	FAD binding domain;FAD binding domain
OG0000011	43	0	-2	0.00187739	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000012	43	0	-2	0.00187739	None	None	None	None	None	None
