Orthogroup	Protein_ID
OG0000000	SproteCBS116654predictedgene_000219-T1
OG0000000	SproteCBS116654predictedgene_001625-T1
OG0000000	SproteCBS116654predictedgene_004262-T1
OG0000000	SproteCBS116654predictedgene_004546-T1
OG0000000	SproteCBS116654predictedgene_004659-T1
OG0000000	SproteCBS116654predictedgene_006621-T1
OG0000000	SproteCBS116654predictedgene_007930-T1
OG0000000	SproteCBS116654predictedgene_008459-T1
OG0000000	SproteCBS116654predictedgene_008476-T1
OG0000001	SproteCBS116654predictedgene_006891-T1
OG0000001	SproteCBS116654predictedgene_007780-T1
OG0000002	SproteCBS116654predictedgene_001646-T1
OG0000002	SproteCBS116654predictedgene_005237-T1
OG0000002	SproteCBS116654predictedgene_006010-T1
OG0000002	SproteCBS116654predictedgene_006672-T1
OG0000002	SproteCBS116654predictedgene_006902-T1
OG0000002	SproteCBS116654predictedgene_008022-T1
OG0000002	SproteCBS116654predictedgene_008456-T1
OG0000003	SproteCBS116654predictedgene_000716-T1
OG0000003	SproteCBS116654predictedgene_002426-T1
OG0000003	SproteCBS116654predictedgene_003738-T1
OG0000003	SproteCBS116654predictedgene_004896-T1
OG0000003	SproteCBS116654predictedgene_008465-T1
OG0000003	SproteCBS116654predictedgene_008480-T1
OG0000004	SproteCBS116654predictedgene_004565-T1
OG0000005	SproteCBS116654predictedgene_005640-T1
OG0000006	SproteCBS116654predictedgene_001366-T1
OG0000006	SproteCBS116654predictedgene_002586-T1
OG0000007	SproteCBS116654predictedgene_001635-T1
OG0000007	SproteCBS116654predictedgene_007215-T1
OG0000007	SproteCBS116654predictedgene_007888-T1
OG0000008	SproteCBS116654predictedgene_005122-T1
OG0000009	SproteCBS116654predictedgene_000718-T1
OG0000009	SproteCBS116654predictedgene_005668-T1
OG0000011	SproteCBS116654predictedgene_003131-T1
OG0000011	SproteCBS116654predictedgene_003215-T1
OG0000011	SproteCBS116654predictedgene_003767-T1
OG0000011	SproteCBS116654predictedgene_006161-T1
OG0000011	SproteCBS116654predictedgene_006379-T1
OG0000011	SproteCBS116654predictedgene_006870-T1
OG0000011	SproteCBS116654predictedgene_007347-T1
OG0000012	SproteCBS116654predictedgene_006184-T1
OG0000012	SproteCBS116654predictedgene_006186-T1
OG0000012	SproteCBS116654predictedgene_007256-T1
OG0000013	SproteCBS116654predictedgene_001165-T1
OG0000013	SproteCBS116654predictedgene_001535-T1
OG0000013	SproteCBS116654predictedgene_005430-T1
OG0000014	SproteCBS116654predictedgene_005952-T1
OG0000014	SproteCBS116654predictedgene_008017-T1
OG0000015	SproteCBS116654predictedgene_004300-T1
OG0000015	SproteCBS116654predictedgene_004301-T1
OG0000015	SproteCBS116654predictedgene_006380-T1
OG0000015	SproteCBS116654predictedgene_006802-T1
OG0000017	SproteCBS116654predictedgene_000001-T1
OG0000017	SproteCBS116654predictedgene_004271-T1
OG0000017	SproteCBS116654predictedgene_007132-T1
OG0000017	SproteCBS116654predictedgene_007527-T1
OG0000018	SproteCBS116654predictedgene_002097-T1
OG0000018	SproteCBS116654predictedgene_004716-T1
OG0000019	SproteCBS116654predictedgene_002359-T1
OG0000019	SproteCBS116654predictedgene_005380-T1
