Orthogroup	Protein_ID
OG0000000	SpseudVPRI43531predictedgene_003726-T1
OG0000000	SpseudVPRI43531predictedgene_004607-T1
OG0000000	SpseudVPRI43531predictedgene_008424-T1
OG0000000	SpseudVPRI43531predictedgene_008563-T1
OG0000001	SpseudVPRI43531predictedgene_000338-T1
OG0000001	SpseudVPRI43531predictedgene_001950-T1
OG0000001	SpseudVPRI43531predictedgene_002774-T1
OG0000001	SpseudVPRI43531predictedgene_003078-T1
OG0000002	SpseudVPRI43531predictedgene_001555-T1
OG0000002	SpseudVPRI43531predictedgene_006274-T1
OG0000003	SpseudVPRI43531predictedgene_001921-T1
OG0000003	SpseudVPRI43531predictedgene_002032-T1
OG0000003	SpseudVPRI43531predictedgene_003412-T1
OG0000004	SpseudVPRI43531predictedgene_000986-T1
OG0000004	SpseudVPRI43531predictedgene_004667-T1
OG0000004	SpseudVPRI43531predictedgene_004959-T1
OG0000005	SpseudVPRI43531predictedgene_003535-T1
OG0000005	SpseudVPRI43531predictedgene_005824-T1
OG0000006	SpseudVPRI43531predictedgene_004666-T1
OG0000006	SpseudVPRI43531predictedgene_005109-T1
OG0000007	SpseudVPRI43531predictedgene_001137-T1
OG0000007	SpseudVPRI43531predictedgene_002729-T1
OG0000007	SpseudVPRI43531predictedgene_003752-T1
OG0000007	SpseudVPRI43531predictedgene_006140-T1
OG0000008	SpseudVPRI43531predictedgene_000565-T1
OG0000009	SpseudVPRI43531predictedgene_003507-T1
OG0000009	SpseudVPRI43531predictedgene_005524-T1
OG0000009	SpseudVPRI43531predictedgene_008953-T1
OG0000010	SpseudVPRI43531predictedgene_007241-T1
OG0000011	SpseudVPRI43531predictedgene_000107-T1
OG0000011	SpseudVPRI43531predictedgene_000220-T1
OG0000011	SpseudVPRI43531predictedgene_002031-T1
OG0000011	SpseudVPRI43531predictedgene_002504-T1
OG0000011	SpseudVPRI43531predictedgene_002895-T1
OG0000011	SpseudVPRI43531predictedgene_003122-T1
OG0000011	SpseudVPRI43531predictedgene_003963-T1
OG0000011	SpseudVPRI43531predictedgene_004378-T1
OG0000011	SpseudVPRI43531predictedgene_004521-T1
OG0000011	SpseudVPRI43531predictedgene_005712-T1
OG0000011	SpseudVPRI43531predictedgene_006629-T1
OG0000013	SpseudVPRI43531predictedgene_000674-T1
OG0000013	SpseudVPRI43531predictedgene_005206-T1
OG0000013	SpseudVPRI43531predictedgene_006264-T1
OG0000014	SpseudVPRI43531predictedgene_000200-T1
OG0000014	SpseudVPRI43531predictedgene_005288-T1
OG0000014	SpseudVPRI43531predictedgene_007238-T1
OG0000014	SpseudVPRI43531predictedgene_007418-T1
OG0000015	SpseudVPRI43531predictedgene_008679-T1
OG0000016	SpseudVPRI43531predictedgene_000576-T1
OG0000017	SpseudVPRI43531predictedgene_000477-T1
OG0000017	SpseudVPRI43531predictedgene_000947-T1
OG0000017	SpseudVPRI43531predictedgene_001535-T1
OG0000018	SpseudVPRI43531predictedgene_000840-T1
OG0000018	SpseudVPRI43531predictedgene_003223-T1
OG0000018	SpseudVPRI43531predictedgene_005154-T1
OG0000018	SpseudVPRI43531predictedgene_008389-T1
OG0000019	SpseudVPRI43531predictedgene_000229-T1
OG0000019	SpseudVPRI43531predictedgene_000606-T1
OG0000019	SpseudVPRI43531predictedgene_003563-T1
OG0000019	SpseudVPRI43531predictedgene_007402-T1
OG0000020	SpseudVPRI43531predictedgene_000678-T1
OG0000020	SpseudVPRI43531predictedgene_001309-T1
OG0000020	SpseudVPRI43531predictedgene_003225-T1
OG0000021	SpseudVPRI43531predictedgene_007404-T1
OG0000021	SpseudVPRI43531predictedgene_007406-T1
OG0000022	SpseudVPRI43531predictedgene_000042-T1
OG0000022	SpseudVPRI43531predictedgene_006827-T1
OG0000022	SpseudVPRI43531predictedgene_006830-T1
OG0000022	SpseudVPRI43531predictedgene_007554-T1
OG0000023	SpseudVPRI43531predictedgene_001613-T1
OG0000023	SpseudVPRI43531predictedgene_002946-T1
OG0000023	SpseudVPRI43531predictedgene_007220-T1
OG0000023	SpseudVPRI43531predictedgene_008207-T1
OG0000024	SpseudVPRI43531predictedgene_000246-T1
OG0000024	SpseudVPRI43531predictedgene_004629-T1
OG0000024	SpseudVPRI43531predictedgene_007416-T1
OG0000024	SpseudVPRI43531predictedgene_007986-T1
OG0000024	SpseudVPRI43531predictedgene_008677-T1
OG0000025	SpseudVPRI43531predictedgene_001188-T1
OG0000025	SpseudVPRI43531predictedgene_004691-T1
OG0000026	SpseudVPRI43531predictedgene_000038-T1
OG0000026	SpseudVPRI43531predictedgene_005569-T1
OG0000027	SpseudVPRI43531predictedgene_000691-T1
OG0000027	SpseudVPRI43531predictedgene_006630-T1
OG0000027	SpseudVPRI43531predictedgene_008566-T1
OG0000029	SpseudVPRI43531predictedgene_003881-T1
OG0000029	SpseudVPRI43531predictedgene_007377-T1
OG0000029	SpseudVPRI43531predictedgene_007378-T1
OG0000030	SpseudVPRI43531predictedgene_000341-T1
OG0000030	SpseudVPRI43531predictedgene_003733-T1
OG0000030	SpseudVPRI43531predictedgene_008166-T1
OG0000031	SpseudVPRI43531predictedgene_003085-T1
OG0000031	SpseudVPRI43531predictedgene_004570-T1
OG0000031	SpseudVPRI43531predictedgene_004572-T1
OG0000031	SpseudVPRI43531predictedgene_005258-T1
OG0000031	SpseudVPRI43531predictedgene_006670-T1
OG0000031	SpseudVPRI43531predictedgene_006671-T1
OG0000032	SpseudVPRI43531predictedgene_000698-T1
OG0000033	SpseudVPRI43531predictedgene_008229-T1
OG0000034	SpseudVPRI43531predictedgene_006122-T1
OG0000034	SpseudVPRI43531predictedgene_008169-T1
OG0000035	SpseudVPRI43531predictedgene_000222-T1
OG0000035	SpseudVPRI43531predictedgene_008440-T1
OG0000036	SpseudVPRI43531predictedgene_005770-T1
OG0000036	SpseudVPRI43531predictedgene_008165-T1
OG0000037	SpseudVPRI43531predictedgene_003155-T1
OG0000037	SpseudVPRI43531predictedgene_006402-T1
OG0000037	SpseudVPRI43531predictedgene_008335-T1
OG0000038	SpseudVPRI43531predictedgene_007871-T1
OG0000039	SpseudVPRI43531predictedgene_000749-T1
OG0000039	SpseudVPRI43531predictedgene_006210-T1
OG0000040	SpseudVPRI43531predictedgene_002180-T1
OG0000040	SpseudVPRI43531predictedgene_008750-T1
OG0000041	SpseudVPRI43531predictedgene_000103-T1
OG0000042	SpseudVPRI43531predictedgene_003948-T1
OG0000043	SpseudVPRI43531predictedgene_003097-T1
OG0000043	SpseudVPRI43531predictedgene_005200-T1
OG0000044	SpseudVPRI43531predictedgene_001571-T1
OG0000045	SpseudVPRI43531predictedgene_003057-T1
OG0000045	SpseudVPRI43531predictedgene_008456-T1
OG0000046	SpseudVPRI43531predictedgene_001546-T1
OG0000046	SpseudVPRI43531predictedgene_003118-T1
OG0000046	SpseudVPRI43531predictedgene_005143-T1
OG0000046	SpseudVPRI43531predictedgene_005555-T1
OG0000047	SpseudVPRI43531predictedgene_000080-T1
OG0000047	SpseudVPRI43531predictedgene_000081-T1
OG0000048	SpseudVPRI43531predictedgene_003094-T1
OG0000049	SpseudVPRI43531predictedgene_003087-T1
OG0000050	SpseudVPRI43531predictedgene_002642-T1
OG0000051	SpseudVPRI43531predictedgene_002412-T1
OG0000051	SpseudVPRI43531predictedgene_007213-T1
OG0000051	SpseudVPRI43531predictedgene_008466-T1
OG0000052	SpseudVPRI43531predictedgene_003484-T1
OG0000052	SpseudVPRI43531predictedgene_005829-T1
OG0000052	SpseudVPRI43531predictedgene_007176-T1
OG0000053	SpseudVPRI43531predictedgene_005643-T1
OG0000054	SpseudVPRI43531predictedgene_000611-T1
OG0000054	SpseudVPRI43531predictedgene_004606-T1
OG0000055	SpseudVPRI43531predictedgene_000260-T1
