Transcript_ID	AntiSmash7
Sbrasi5110predictedgene_003619-T1	NRPS-like
Sbrasi5110predictedgene_005614-T1	NRPS-like
SBRCBS47491_002582-T1	NRPS-like
SBRCBS47491_004041-T1	NRPS-like
SCUCBS95973_002729-T1	NRPS-like
SCUCBS95973_006277-T1	NRPS-like
SdimorCBS55374predictedgene_002391-T1	NRPS-like
SdimorCBS55374predictedgene_009476-T1	NRPS-like
SEUCBS139899_003928-T1	NRPS-like
SEUCBS139899_007276-T1	NRPS-like
SEUCBS140593_002448-T1	NRPS-like
SEUCBS140593_009704-T1	NRPS-like
SeuskaVPRI43754predictedgene_003215-T1	NRPS-like
SeuskaVPRI43754predictedgene_003629-T1	NRPS-like
SgloboCBS120340predictedgene_004093-T1	NRPS-like
SgloboCBS120340predictedgene_007993-T1	NRPS-like
ShumicCBS118129predictedgene_001978-T1	NRPS-like
ShumicCBS118129predictedgene_004433-T1	NRPS-like
ShumicCBS118129predictedgene_010061-T1	NRPS-like
SinflaCBS23968predictedgene_001435-T1	NRPS-like
SinflaCBS23968predictedgene_004659-T1	NRPS-like
SlurieCBS93772predictedgene_004259-T1	NRPS-like
SmexicCBS120341predictedgene_000554-T1	NRPS-like
SmexicCBS120341predictedgene_006739-T1	NRPS-like
SnigroVPRI43755predictedgene_003491-T1	NRPS-like
SpalliCBS13156predictedgene_005323-T1	NRPS-like
SpalliCBS13156predictedgene_008392-T1	NRPS-like
SpalliCBS13156predictedgene_009450-T1	NRPS-like
SphasmCBS119721predictedgene_006659-T1	NRPS-like
SproteCBS116654predictedgene_002197-T1	NRPS-like
SproteCBS116654predictedgene_008142-T1	NRPS-like
SpseudVPRI43531predictedgene_002848-T1	NRPS-like
SpseudVPRI43531predictedgene_004972-T1	NRPS-like
Sschen1099predictedgene_002601-T1	NRPS-like
Sschen1099predictedgene_006867-T1	NRPS-like
STHCBS139747_000761-T1	NRPS-like
STHCBS139747_002270-T1	NRPS-like
STHCBS139747_006150-T1	NRPS-like
SvarieCBS121961predictedgene_000427-T1	NRPS-like
SvarieCBS121961predictedgene_003955-T1	NRPS-like
Sbrasi5110predictedgene_001270-T1	T1PKS
SBRCBS47491_005470-T1	T1PKS
SCUCBS95973_003333-T1	T1PKS
SdimorCBS55374predictedgene_009042-T1	T1PKS
SEUCBS139899_008088-T1	T1PKS
SEUCBS140593_010241-T1	T1PKS
SeuskaVPRI43754predictedgene_008952-T1	T1PKS
SgloboCBS120340predictedgene_001285-T1	T1PKS
ShumicCBS118129predictedgene_001297-T1	T1PKS
SinflaCBS23968predictedgene_003826-T1	T1PKS
SmexicCBS120341predictedgene_001218-T1	T1PKS
SpalliCBS13156predictedgene_002095-T1	T1PKS
SphasmCBS119721predictedgene_000896-T1	T1PKS
SproteCBS116654predictedgene_005641-T1	T1PKS
SpseudVPRI43531predictedgene_003531-T1	T1PKS
Sschen1099predictedgene_007810-T1	T1PKS
STHCBS139747_003164-T1	T1PKS
SvarieCBS121961predictedgene_001094-T1	T1PKS
