cluster_id	protein_count	taxon_count	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0000037	54	20	GO:0016491;GO:0050660	oxidoreductase activity ;flavin adenine dinucleotide binding 	IPR012951;IPR006094	Domain Berberine/berberine-like;Domain FAD linked oxidase, N-terminal	PF08031;PF01565	Berberine and berberine like ;FAD binding domain 
OG0000040	53	20	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0000042	53	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000050	49	20	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0000054	48	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000067	46	20	GO:0005507;GO:0016491	copper ion binding ;oxidoreductase activity 	IPR011706;IPR011707;IPR001117	Domain Multicopper oxidase, C-terminal;Domain Multicopper oxidase-like, N-terminal;Domain Multicopper oxidase, second cupredoxin domain	PF07731;PF07732;PF00394	Multicopper oxidase;Multicopper oxidase;Multicopper oxidase
OG0000077	43	20	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0000107	39	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000112	38	20	None	None	IPR013154	Domain Alcohol dehydrogenase-like, N-terminal	PF08240	Alcohol dehydrogenase GroES-like domain
OG0000114	38	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000130	37	20	GO:0004553;GO:0071704	hydrolase activity, hydrolyzing O-glycosyl compounds ;N/A	IPR001547	Domain Glycoside hydrolase, family 5	PF00150	Cellulase (glycosyl hydrolase family 5)
OG0000140	36	20	None	None	IPR025110;IPR000873	Domain AMP-binding enzyme, C-terminal domain;Domain AMP-dependent synthetase/ligase domain	PF13193;PF00501	AMP-binding enzyme C-terminal domain;AMP-binding enzyme
OG0000145	35	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000150	35	20	None	None	None	None	None	None
OG0000156	35	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000171	34	20	None	None	IPR021833	Family Protein of unknown function DUF3425	PF11905	Domain of unknown function (DUF3425)
OG0000179	34	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000180	34	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000202	33	20	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0000226	31	20	GO:0008270;GO:0003677;GO:0006351	zinc ion binding ;DNA binding ;DNA-templated transcription 	IPR033121;IPR007219	Domain Peptidase family A1 domain;Domain Transcription factor domain, fungi	PF00026;PF04082	Eukaryotic aspartyl protease;Fungal specific transcription factor domain 
