NODE_1_length_651419_cov_79.581183	SEPCBS119000_NODE1
NODE_2_length_637446_cov_80.203727	SEPCBS119000_NODE2
NODE_3_length_496548_cov_80.049261	SEPCBS119000_NODE3
NODE_4_length_475779_cov_81.396296	SEPCBS119000_NODE4
NODE_5_length_464966_cov_80.592964	SEPCBS119000_NODE5
NODE_6_length_442959_cov_79.510074	SEPCBS119000_NODE6
NODE_7_length_375870_cov_81.095446	SEPCBS119000_NODE7
NODE_8_length_374580_cov_79.918644	SEPCBS119000_NODE8
NODE_9_length_290811_cov_81.161540	SEPCBS119000_NODE9
NODE_10_length_288860_cov_79.571732	SEPCBS119000_NODE10
NODE_11_length_272355_cov_80.351430	SEPCBS119000_NODE11
NODE_12_length_265548_cov_80.681035	SEPCBS119000_NODE12
NODE_13_length_261219_cov_81.735553	SEPCBS119000_NODE13
NODE_14_length_259697_cov_80.423011	SEPCBS119000_NODE14
NODE_15_length_255352_cov_81.363009	SEPCBS119000_NODE15
NODE_16_length_249422_cov_81.122169	SEPCBS119000_NODE16
NODE_17_length_248655_cov_79.911801	SEPCBS119000_NODE17
NODE_18_length_246943_cov_80.117788	SEPCBS119000_NODE18
NODE_19_length_243737_cov_80.018784	SEPCBS119000_NODE19
NODE_20_length_234497_cov_79.095213	SEPCBS119000_NODE20
NODE_21_length_232685_cov_83.140292	SEPCBS119000_NODE21
NODE_22_length_208220_cov_79.751693	SEPCBS119000_NODE22
NODE_23_length_203894_cov_79.948490	SEPCBS119000_NODE23
NODE_24_length_198201_cov_79.866060	SEPCBS119000_NODE24
NODE_25_length_193908_cov_77.576274	SEPCBS119000_NODE25
NODE_26_length_193852_cov_79.623007	SEPCBS119000_NODE26
NODE_27_length_189538_cov_79.571926	SEPCBS119000_NODE27
NODE_28_length_188416_cov_80.288291	SEPCBS119000_NODE28
NODE_29_length_186396_cov_82.162346	SEPCBS119000_NODE29
NODE_30_length_181885_cov_77.250003	SEPCBS119000_NODE30
NODE_31_length_179791_cov_79.874761	SEPCBS119000_NODE31
NODE_32_length_179070_cov_79.893497	SEPCBS119000_NODE32
NODE_33_length_179020_cov_79.407691	SEPCBS119000_NODE33
NODE_34_length_173941_cov_78.653141	SEPCBS119000_NODE34
NODE_35_length_172627_cov_80.655009	SEPCBS119000_NODE35
NODE_36_length_172295_cov_79.127596	SEPCBS119000_NODE36
NODE_37_length_169213_cov_80.066528	SEPCBS119000_NODE37
NODE_38_length_167201_cov_77.883986	SEPCBS119000_NODE38
NODE_39_length_164948_cov_80.489998	SEPCBS119000_NODE39
NODE_40_length_164793_cov_80.837817	SEPCBS119000_NODE40
NODE_41_length_163915_cov_79.802043	SEPCBS119000_NODE41
NODE_42_length_163790_cov_82.517246	SEPCBS119000_NODE42
NODE_43_length_163539_cov_82.390020	SEPCBS119000_NODE43
NODE_44_length_162265_cov_79.893979	SEPCBS119000_NODE44
NODE_45_length_159914_cov_80.071301	SEPCBS119000_NODE45
NODE_46_length_159038_cov_80.831616	SEPCBS119000_NODE46
NODE_47_length_156997_cov_82.577663	SEPCBS119000_NODE47
NODE_48_length_154547_cov_80.787651	SEPCBS119000_NODE48
NODE_49_length_153235_cov_78.364821	SEPCBS119000_NODE49
NODE_50_length_150693_cov_79.655473	SEPCBS119000_NODE50
NODE_51_length_149003_cov_79.403947	SEPCBS119000_NODE51
NODE_52_length_148583_cov_79.504937	SEPCBS119000_NODE52
NODE_53_length_146194_cov_79.271642	SEPCBS119000_NODE53
NODE_54_length_146058_cov_79.365131	SEPCBS119000_NODE54
NODE_55_length_144953_cov_80.819963	SEPCBS119000_NODE55
NODE_56_length_143299_cov_78.070929	SEPCBS119000_NODE56
NODE_57_length_142089_cov_79.526317	SEPCBS119000_NODE57
NODE_58_length_138291_cov_80.410975	SEPCBS119000_NODE58
NODE_59_length_135791_cov_80.482199	SEPCBS119000_NODE59
NODE_60_length_134515_cov_81.045019	SEPCBS119000_NODE60
NODE_61_length_132949_cov_77.954337	SEPCBS119000_NODE61
NODE_62_length_131581_cov_78.892312	SEPCBS119000_NODE62
NODE_63_length_130160_cov_78.831081	SEPCBS119000_NODE63
NODE_64_length_129229_cov_78.164575	SEPCBS119000_NODE64
