Orthogroup	Protein_ID
OG0000002	SEPTF4163_000920-T1
OG0000002	SEPTF4163_000921-T1
OG0000002	SEPTF4163_005805-T1
OG0000003	SEPTF4163_000422-T1
OG0000003	SEPTF4163_000943-T1
OG0000003	SEPTF4163_003128-T1
OG0000003	SEPTF4163_003358-T1
OG0000003	SEPTF4163_005322-T1
OG0000003	SEPTF4163_006602-T1
OG0000007	SEPTF4163_004173-T1
OG0000007	SEPTF4163_004174-T1
OG0000008	SEPTF4163_000852-T1
OG0000013	SEPTF4163_001810-T1
OG0000013	SEPTF4163_002323-T1
OG0000013	SEPTF4163_003143-T1
OG0000013	SEPTF4163_003144-T1
OG0000013	SEPTF4163_004320-T1
OG0000013	SEPTF4163_004333-T1
OG0000013	SEPTF4163_005433-T1
OG0000013	SEPTF4163_006107-T1
OG0000013	SEPTF4163_006238-T1
OG0000013	SEPTF4163_006239-T1
OG0000013	SEPTF4163_006240-T1
OG0000013	SEPTF4163_006241-T1
OG0000013	SEPTF4163_006361-T1
OG0000013	SEPTF4163_006363-T1
OG0000013	SEPTF4163_006364-T1
OG0000013	SEPTF4163_006658-T1
OG0000014	SEPTF4163_006308-T1
OG0000023	SEPTF4163_003126-T1
OG0000024	SEPTF4163_000837-T1
OG0000025	SEPTF4163_006685-T1
OG0000026	SEPTF4163_004335-T1
OG0000027	SEPTF4163_000423-T1
OG0000027	SEPTF4163_005611-T1
OG0000028	SEPTF4163_005948-T1
OG0000029	SEPTF4163_001829-T1
OG0000029	SEPTF4163_001830-T1
OG0000029	SEPTF4163_001836-T1
OG0000029	SEPTF4163_001856-T1
OG0000029	SEPTF4163_001857-T1
OG0000029	SEPTF4163_005344-T1
OG0000029	SEPTF4163_005828-T1
OG0000032	SEPTF4163_000044-T1
OG0000032	SEPTF4163_001057-T1
OG0000032	SEPTF4163_004251-T1
OG0000032	SEPTF4163_005772-T1
OG0000035	SEPTF4163_003948-T1
OG0000036	SEPTF4163_000908-T1
OG0000038	SEPTF4163_001741-T1
OG0000038	SEPTF4163_002948-T1
OG0000038	SEPTF4163_002949-T1
OG0000039	SEPTF4163_000084-T1
OG0000039	SEPTF4163_002354-T1
OG0000043	SEPTF4163_002462-T1
OG0000044	SEPTF4163_001354-T1
OG0000044	SEPTF4163_006335-T1
OG0000045	SEPTF4163_002142-T1
OG0000046	SEPTF4163_001561-T1
OG0000046	SEPTF4163_002320-T1
OG0000052	SEPTF4163_003566-T1
