tip	genus	species
ABIH97_003209_T1_17_285_AA14	Agaricus	bisporus
ABIH97_004062_T1_863_1124_AA14	Agaricus	bisporus
ASPSEMC78_008126_T1_20_177_AA14	Annulohypoxylon	annulatum
AstygiMG137predictedgene_010173_T1_20_294_AA14	Annulohypoxylon	stygium
AtruncCBS140778predictedgene_010579_T1_20_177_AA14	Annulohypoxylon	truncatum
CgattiWM276predictedgene_000949_T1_20_277_AA14	Cryptococcus	gattii
CneofoV31predictedgene_000132_T1_20_277_AA14	Cryptococcus	neoformans
CprotrCCMJ2080predictedgene_004813_T1_17_292_AA14	Cladobotryum	protrusum
CprotrCCMJ2080predictedgene_007053_T1_13_276_AA14	Cladobotryum	protrusum
CprotrCCMJ2080predictedgene_010340_T1_18_284_AA14	Cladobotryum	protrusum
Crosea671predictedgene_008663_T1_18_292_AA14	Clonostachys	rosea
Crosea671predictedgene_010899_T1_23_287_AA14	Clonostachys	rosea
HCOJCM1743_004749_T1_19_270_AA14	Holtermannia	corniformis
HperniHP10predictedgene_009641_T1_18_289_AA14	Hypomyces	perniciosus
KIMNRRLY17943_003714_T1_20_275_AA14	Kockovaella	imperatae
PCOBRFM310_001991_T1_22_284_AA14	Pycnoporus	coccineus
PCOBRFM310_007444_T1_1_127_AA14	Pycnoporus	coccineus
PCOBRFM310_007446_T1_1_255_AA14	Pycnoporus	coccineus
PCOBRFM310_007454_T1_19_281_AA14	Pycnoporus	coccineus
SEPCBS119000_003998_T1_17_172_AA14	Sporothrix	epigloea
SEPCBS119000_004000_T1_17_291_AA14	Sporothrix	epigloea
SEPCBS119000_004001_T1_17_291_AA14	Sporothrix	epigloea
SEPCBS119000_006086_T1_17_291_AA14	Sporothrix	epigloea
SEPCBS119000_006698_T1_17_291_AA14	Sporothrix	epigloea
SEPCBS57363_006798_T1_7_167_AA14	Sporothrix	epigloea
SEPTF4163_004982_T1_17_290_AA14	Sporothrix	epigloea
SEPTF4163_006711_T1_17_172_AA14	Sporothrix	epigloea
TatrovIMI206040predictedgene_004141_T1_25_287_AA14	Trichoderma	atroviride
TatrovIMI206040predictedgene_006201_T1_18_286_AA14	Trichoderma	atroviride
Tfuciftr26predictedgene_003872_T1_20_290_AA14	Tremella	fuciformis
Tfuciftr26predictedgene_003873_T1_9_261_AA14	Tremella	fuciformis
Tfuciftr26predictedgene_004055_T1_24_275_AA14	Tremella	fuciformis
TFUNBRC9317_002271_T1_24_275_AA14	Tremella	fuciformis
TFUNBRC9317_003942_T1_3_261_AA14	Tremella	fuciformis
TFUNBRC9317_003942_T1_302_571_AA14	Tremella	fuciformis
TFUSEMC49_000083_T1_536_804_AA14	Tremella	yokohamensis
TFUSEMC49_000083_T1_844_1113_AA14	Tremella	yokohamensis
TFUSEMC49_000639_T1_24_275_AA14	Tremella	yokohamensis
TharziCBS22695predictedgene_003080_T1_24_286_AA14	Trichoderma	harzianum
TharziCBS22695predictedgene_010450_T1_18_285_AA14	Trichoderma	harzianum
TMEMel28_009271_T1_12_213_AA14	Tuber	melanosporum
TmesenATCC28783predictedgene_005285_T1_19_251_AA14	Tremella	mesenterica
TmesenATCC28783predictedgene_006932_T1_20_274_AA14	Tremella	mesenterica
TmesenDSM1558predictedgene_001497_T1_19_282_AA14	Tremella	mesenterica
TmesenDSM1558predictedgene_002888_T1_20_274_AA14	Tremella	mesenterica
TpararCBS125925predictedgene_000587_T1_18_285_AA14	Trichoderma	parareesei
TpararCBS125925predictedgene_002265_T1_25_287_AA14	Trichoderma	parareesei
TreeseQM6apredictedgene_002638_T1_18_285_AA14	Trichoderma	reesei
TvirenSpredictedgene_003033_T1_25_287_AA14	Trichoderma	virens
TvirenSpredictedgene_009646_T1_18_286_AA14	Trichoderma	virens
TYONBRC100148_001237_T1_24_275_AA14	Tremella	yokohamensis
TYONBRC100148_003196_T1_228_497_AA14	Tremella	yokohamensis
TYONBRC100148_003196_T1_4_188_AA14	Tremella	yokohamensis
