Orthogroup	Protein_ID
OG0000000	Sschen1099predictedgene_000837-T1
OG0000000	Sschen1099predictedgene_001880-T1
OG0000000	Sschen1099predictedgene_002902-T1
OG0000000	Sschen1099predictedgene_002917-T1
OG0000000	Sschen1099predictedgene_003109-T1
OG0000000	Sschen1099predictedgene_003111-T1
OG0000000	Sschen1099predictedgene_003117-T1
OG0000000	Sschen1099predictedgene_003241-T1
OG0000000	Sschen1099predictedgene_004393-T1
OG0000000	Sschen1099predictedgene_007342-T1
OG0000000	Sschen1099predictedgene_007575-T1
OG0000000	Sschen1099predictedgene_008231-T1
OG0000001	Sschen1099predictedgene_003717-T1
OG0000001	Sschen1099predictedgene_006378-T1
OG0000001	Sschen1099predictedgene_006520-T1
OG0000001	Sschen1099predictedgene_007018-T1
OG0000002	Sschen1099predictedgene_001736-T1
OG0000002	Sschen1099predictedgene_007297-T1
OG0000002	Sschen1099predictedgene_007560-T1
OG0000003	Sschen1099predictedgene_000114-T1
OG0000003	Sschen1099predictedgene_000566-T1
OG0000004	Sschen1099predictedgene_001600-T1
OG0000005	Sschen1099predictedgene_003561-T1
OG0000005	Sschen1099predictedgene_005901-T1
OG0000005	Sschen1099predictedgene_006480-T1
OG0000005	Sschen1099predictedgene_006486-T1
OG0000006	Sschen1099predictedgene_001601-T1
OG0000006	Sschen1099predictedgene_001788-T1
OG0000006	Sschen1099predictedgene_002556-T1
OG0000006	Sschen1099predictedgene_006973-T1
OG0000007	Sschen1099predictedgene_004638-T1
OG0000007	Sschen1099predictedgene_006338-T1
OG0000007	Sschen1099predictedgene_007299-T1
OG0000008	Sschen1099predictedgene_001836-T1
OG0000008	Sschen1099predictedgene_005828-T1
OG0000008	Sschen1099predictedgene_007497-T1
OG0000009	Sschen1099predictedgene_004682-T1
OG0000009	Sschen1099predictedgene_007844-T1
OG0000010	Sschen1099predictedgene_000635-T1
OG0000010	Sschen1099predictedgene_002785-T1
OG0000012	Sschen1099predictedgene_000178-T1
OG0000012	Sschen1099predictedgene_000929-T1
OG0000012	Sschen1099predictedgene_003650-T1
OG0000012	Sschen1099predictedgene_003652-T1
OG0000012	Sschen1099predictedgene_007357-T1
OG0000013	Sschen1099predictedgene_001882-T1
OG0000014	Sschen1099predictedgene_001756-T1
OG0000014	Sschen1099predictedgene_006112-T1
OG0000014	Sschen1099predictedgene_007960-T1
OG0000015	Sschen1099predictedgene_006383-T1
OG0000015	Sschen1099predictedgene_006613-T1
OG0000015	Sschen1099predictedgene_008482-T1
OG0000016	Sschen1099predictedgene_005839-T1
OG0000016	Sschen1099predictedgene_006972-T1
OG0000017	Sschen1099predictedgene_001080-T1
OG0000017	Sschen1099predictedgene_007017-T1
OG0000017	Sschen1099predictedgene_007562-T1
OG0000018	Sschen1099predictedgene_003128-T1
OG0000018	Sschen1099predictedgene_007616-T1
OG0000019	Sschen1099predictedgene_005870-T1
OG0000020	Sschen1099predictedgene_003250-T1
OG0000020	Sschen1099predictedgene_003732-T1
OG0000020	Sschen1099predictedgene_005628-T1
OG0000020	Sschen1099predictedgene_006816-T1
OG0000022	Sschen1099predictedgene_004872-T1
OG0000022	Sschen1099predictedgene_006273-T1
OG0000023	Sschen1099predictedgene_008541-T1
OG0000024	Sschen1099predictedgene_006056-T1
OG0000024	Sschen1099predictedgene_006309-T1
OG0000025	Sschen1099predictedgene_001578-T1
OG0000025	Sschen1099predictedgene_008485-T1
OG0000026	Sschen1099predictedgene_002955-T1
OG0000026	Sschen1099predictedgene_005651-T1
OG0000027	Sschen1099predictedgene_000071-T1
OG0000027	Sschen1099predictedgene_000164-T1
OG0000028	Sschen1099predictedgene_004338-T1
OG0000029	Sschen1099predictedgene_001314-T1
OG0000029	Sschen1099predictedgene_005667-T1
OG0000030	Sschen1099predictedgene_004354-T1
OG0000030	Sschen1099predictedgene_007336-T1
OG0000031	Sschen1099predictedgene_000167-T1
OG0000031	Sschen1099predictedgene_000908-T1
OG0000032	Sschen1099predictedgene_000215-T1
OG0000032	Sschen1099predictedgene_007353-T1
OG0000033	Sschen1099predictedgene_003330-T1
OG0000033	Sschen1099predictedgene_006707-T1
OG0000034	Sschen1099predictedgene_003873-T1
OG0000035	Sschen1099predictedgene_008216-T1
OG0000036	Sschen1099predictedgene_000217-T1
OG0000036	Sschen1099predictedgene_000849-T1
OG0000036	Sschen1099predictedgene_004355-T1
OG0000037	Sschen1099predictedgene_002553-T1
OG0000037	Sschen1099predictedgene_002705-T1
OG0000038	Sschen1099predictedgene_003482-T1
OG0000039	Sschen1099predictedgene_005575-T1
OG0000039	Sschen1099predictedgene_008152-T1
OG0000040	Sschen1099predictedgene_002196-T1
OG0000040	Sschen1099predictedgene_005014-T1
OG0000041	Sschen1099predictedgene_000839-T1
OG0000041	Sschen1099predictedgene_003344-T1
OG0000041	Sschen1099predictedgene_006204-T1
OG0000042	Sschen1099predictedgene_004251-T1
OG0000043	Sschen1099predictedgene_001871-T1
OG0000045	Sschen1099predictedgene_006542-T1
OG0000046	Sschen1099predictedgene_006458-T1
OG0000047	Sschen1099predictedgene_006228-T1
OG0000049	Sschen1099predictedgene_006655-T1
OG0000049	Sschen1099predictedgene_007627-T1
OG0000049	Sschen1099predictedgene_008550-T1
OG0000050	Sschen1099predictedgene_003260-T1
OG0000050	Sschen1099predictedgene_004723-T1
OG0000051	Sschen1099predictedgene_002329-T1
OG0000052	Sschen1099predictedgene_007764-T1
OG0000052	Sschen1099predictedgene_007863-T1
OG0000054	Sschen1099predictedgene_002909-T1
OG0000054	Sschen1099predictedgene_005875-T1
OG0000055	Sschen1099predictedgene_005727-T1
OG0000056	Sschen1099predictedgene_003420-T1
OG0000057	Sschen1099predictedgene_001315-T1
OG0000059	Sschen1099predictedgene_003870-T1
OG0000059	Sschen1099predictedgene_004325-T1
OG0000060	Sschen1099predictedgene_007609-T1
OG0000061	Sschen1099predictedgene_000772-T1
OG0000061	Sschen1099predictedgene_000773-T1
OG0000061	Sschen1099predictedgene_000774-T1
OG0000062	Sschen1099predictedgene_005797-T1
OG0000062	Sschen1099predictedgene_008204-T1
OG0000063	Sschen1099predictedgene_007012-T1
OG0000063	Sschen1099predictedgene_008207-T1
OG0000064	Sschen1099predictedgene_002907-T1
OG0000064	Sschen1099predictedgene_003246-T1
OG0000065	Sschen1099predictedgene_002530-T1
OG0000065	Sschen1099predictedgene_006061-T1
OG0000066	Sschen1099predictedgene_001512-T1
OG0000066	Sschen1099predictedgene_008411-T1
