Orthogroup	Protein_ID
OG0000000	SpalliCBS13156predictedgene_000169-T1
OG0000000	SpalliCBS13156predictedgene_001094-T1
OG0000000	SpalliCBS13156predictedgene_001527-T1
OG0000000	SpalliCBS13156predictedgene_001549-T1
OG0000000	SpalliCBS13156predictedgene_003355-T1
OG0000000	SpalliCBS13156predictedgene_004126-T1
OG0000000	SpalliCBS13156predictedgene_004254-T1
OG0000000	SpalliCBS13156predictedgene_004870-T1
OG0000000	SpalliCBS13156predictedgene_004894-T1
OG0000000	SpalliCBS13156predictedgene_004896-T1
OG0000000	SpalliCBS13156predictedgene_006396-T1
OG0000000	SpalliCBS13156predictedgene_006508-T1
OG0000000	SpalliCBS13156predictedgene_006517-T1
OG0000000	SpalliCBS13156predictedgene_007248-T1
OG0000000	SpalliCBS13156predictedgene_007652-T1
OG0000000	SpalliCBS13156predictedgene_008031-T1
OG0000001	SpalliCBS13156predictedgene_000172-T1
OG0000001	SpalliCBS13156predictedgene_001097-T1
OG0000001	SpalliCBS13156predictedgene_001158-T1
OG0000001	SpalliCBS13156predictedgene_001212-T1
OG0000001	SpalliCBS13156predictedgene_002640-T1
OG0000001	SpalliCBS13156predictedgene_003370-T1
OG0000001	SpalliCBS13156predictedgene_004990-T1
OG0000001	SpalliCBS13156predictedgene_006858-T1
OG0000001	SpalliCBS13156predictedgene_007197-T1
OG0000002	SpalliCBS13156predictedgene_009480-T1
OG0000003	SpalliCBS13156predictedgene_001272-T1
OG0000003	SpalliCBS13156predictedgene_004444-T1
OG0000003	SpalliCBS13156predictedgene_008168-T1
OG0000004	SpalliCBS13156predictedgene_000263-T1
OG0000004	SpalliCBS13156predictedgene_003971-T1
OG0000004	SpalliCBS13156predictedgene_005679-T1
OG0000004	SpalliCBS13156predictedgene_008103-T1
OG0000004	SpalliCBS13156predictedgene_008590-T1
OG0000004	SpalliCBS13156predictedgene_008593-T1
OG0000004	SpalliCBS13156predictedgene_008716-T1
OG0000004	SpalliCBS13156predictedgene_009081-T1
OG0000004	SpalliCBS13156predictedgene_009187-T1
OG0000004	SpalliCBS13156predictedgene_010043-T1
OG0000004	SpalliCBS13156predictedgene_010293-T1
OG0000005	SpalliCBS13156predictedgene_001906-T1
OG0000005	SpalliCBS13156predictedgene_002102-T1
OG0000005	SpalliCBS13156predictedgene_005110-T1
OG0000005	SpalliCBS13156predictedgene_005115-T1
OG0000005	SpalliCBS13156predictedgene_005566-T1
OG0000005	SpalliCBS13156predictedgene_007262-T1
OG0000005	SpalliCBS13156predictedgene_008095-T1
OG0000005	SpalliCBS13156predictedgene_008631-T1
OG0000006	SpalliCBS13156predictedgene_003680-T1
OG0000006	SpalliCBS13156predictedgene_003970-T1
OG0000006	SpalliCBS13156predictedgene_005730-T1
OG0000006	SpalliCBS13156predictedgene_006248-T1
OG0000006	SpalliCBS13156predictedgene_008276-T1
OG0000006	SpalliCBS13156predictedgene_008562-T1
OG0000006	SpalliCBS13156predictedgene_008594-T1
OG0000007	SpalliCBS13156predictedgene_005998-T1
OG0000007	SpalliCBS13156predictedgene_007166-T1
OG0000007	SpalliCBS13156predictedgene_007770-T1
OG0000007	SpalliCBS13156predictedgene_008245-T1
OG0000007	SpalliCBS13156predictedgene_008961-T1
OG0000008	SpalliCBS13156predictedgene_003198-T1
OG0000008	SpalliCBS13156predictedgene_004007-T1
OG0000008	SpalliCBS13156predictedgene_004774-T1
OG0000008	SpalliCBS13156predictedgene_006631-T1
OG0000008	SpalliCBS13156predictedgene_006926-T1
OG0000008	SpalliCBS13156predictedgene_008068-T1
OG0000008	SpalliCBS13156predictedgene_010560-T1
OG0000009	SpalliCBS13156predictedgene_002045-T1
OG0000009	SpalliCBS13156predictedgene_002347-T1
OG0000009	SpalliCBS13156predictedgene_008295-T1
OG0000010	SpalliCBS13156predictedgene_006598-T1
OG0000010	SpalliCBS13156predictedgene_009056-T1
OG0000011	SpalliCBS13156predictedgene_001596-T1
OG0000011	SpalliCBS13156predictedgene_004993-T1
OG0000011	SpalliCBS13156predictedgene_006458-T1
OG0000011	SpalliCBS13156predictedgene_008078-T1
OG0000011	SpalliCBS13156predictedgene_009151-T1
OG0000012	SpalliCBS13156predictedgene_001889-T1
OG0000012	SpalliCBS13156predictedgene_002693-T1
OG0000012	SpalliCBS13156predictedgene_002695-T1
OG0000012	SpalliCBS13156predictedgene_004289-T1
OG0000014	SpalliCBS13156predictedgene_004877-T1
OG0000014	SpalliCBS13156predictedgene_006682-T1
OG0000014	SpalliCBS13156predictedgene_008527-T1
OG0000014	SpalliCBS13156predictedgene_010154-T1
OG0000015	SpalliCBS13156predictedgene_001316-T1
OG0000015	SpalliCBS13156predictedgene_001781-T1
OG0000015	SpalliCBS13156predictedgene_004678-T1
OG0000015	SpalliCBS13156predictedgene_004913-T1
OG0000016	SpalliCBS13156predictedgene_001131-T1
OG0000016	SpalliCBS13156predictedgene_003679-T1
OG0000016	SpalliCBS13156predictedgene_004057-T1
OG0000016	SpalliCBS13156predictedgene_004786-T1
OG0000016	SpalliCBS13156predictedgene_006892-T1
OG0000017	SpalliCBS13156predictedgene_001795-T1
OG0000017	SpalliCBS13156predictedgene_007486-T1
OG0000017	SpalliCBS13156predictedgene_009483-T1
OG0000017	SpalliCBS13156predictedgene_010037-T1
OG0000018	SpalliCBS13156predictedgene_003512-T1
OG0000018	SpalliCBS13156predictedgene_006463-T1
OG0000018	SpalliCBS13156predictedgene_006800-T1
OG0000018	SpalliCBS13156predictedgene_009122-T1
OG0000019	SpalliCBS13156predictedgene_004803-T1
OG0000019	SpalliCBS13156predictedgene_009221-T1
OG0000020	SpalliCBS13156predictedgene_002615-T1
OG0000020	SpalliCBS13156predictedgene_003515-T1
OG0000020	SpalliCBS13156predictedgene_004275-T1
OG0000021	SpalliCBS13156predictedgene_001061-T1
OG0000021	SpalliCBS13156predictedgene_002128-T1
OG0000021	SpalliCBS13156predictedgene_002423-T1
OG0000021	SpalliCBS13156predictedgene_009113-T1
OG0000021	SpalliCBS13156predictedgene_010561-T1
OG0000022	SpalliCBS13156predictedgene_002990-T1
OG0000022	SpalliCBS13156predictedgene_005260-T1
OG0000022	SpalliCBS13156predictedgene_005982-T1
OG0000022	SpalliCBS13156predictedgene_009528-T1
OG0000023	SpalliCBS13156predictedgene_001374-T1
OG0000024	SpalliCBS13156predictedgene_000395-T1
OG0000024	SpalliCBS13156predictedgene_001143-T1
OG0000024	SpalliCBS13156predictedgene_004981-T1
OG0000024	SpalliCBS13156predictedgene_006578-T1
OG0000024	SpalliCBS13156predictedgene_010092-T1
OG0000025	SpalliCBS13156predictedgene_000240-T1
OG0000025	SpalliCBS13156predictedgene_001912-T1
OG0000025	SpalliCBS13156predictedgene_004670-T1
OG0000025	SpalliCBS13156predictedgene_005850-T1
OG0000026	SpalliCBS13156predictedgene_003461-T1
OG0000026	SpalliCBS13156predictedgene_008071-T1
OG0000026	SpalliCBS13156predictedgene_009362-T1
OG0000026	SpalliCBS13156predictedgene_010195-T1
OG0000027	SpalliCBS13156predictedgene_006454-T1
OG0000027	SpalliCBS13156predictedgene_007508-T1
OG0000027	SpalliCBS13156predictedgene_008741-T1
OG0000029	SpalliCBS13156predictedgene_003427-T1
OG0000029	SpalliCBS13156predictedgene_003428-T1
OG0000029	SpalliCBS13156predictedgene_003514-T1
OG0000029	SpalliCBS13156predictedgene_009346-T1
OG0000029	SpalliCBS13156predictedgene_009350-T1
OG0000030	SpalliCBS13156predictedgene_003059-T1
OG0000030	SpalliCBS13156predictedgene_003367-T1
OG0000030	SpalliCBS13156predictedgene_004243-T1
OG0000030	SpalliCBS13156predictedgene_007785-T1
OG0000030	SpalliCBS13156predictedgene_010258-T1
OG0000031	SpalliCBS13156predictedgene_000418-T1
OG0000031	SpalliCBS13156predictedgene_002772-T1
OG0000031	SpalliCBS13156predictedgene_006288-T1
OG0000031	SpalliCBS13156predictedgene_007136-T1
OG0000032	SpalliCBS13156predictedgene_001796-T1
OG0000032	SpalliCBS13156predictedgene_009066-T1
OG0000032	SpalliCBS13156predictedgene_009462-T1
OG0000033	SpalliCBS13156predictedgene_000476-T1
OG0000033	SpalliCBS13156predictedgene_004979-T1
OG0000033	SpalliCBS13156predictedgene_008055-T1
OG0000033	SpalliCBS13156predictedgene_008056-T1
OG0000034	SpalliCBS13156predictedgene_003014-T1
OG0000034	SpalliCBS13156predictedgene_003056-T1
OG0000034	SpalliCBS13156predictedgene_003243-T1
OG0000034	SpalliCBS13156predictedgene_007757-T1
OG0000034	SpalliCBS13156predictedgene_010287-T1
OG0000035	SpalliCBS13156predictedgene_006529-T1
OG0000035	SpalliCBS13156predictedgene_006648-T1
OG0000035	SpalliCBS13156predictedgene_008250-T1
OG0000035	SpalliCBS13156predictedgene_008251-T1
OG0000035	SpalliCBS13156predictedgene_008252-T1
OG0000035	SpalliCBS13156predictedgene_008529-T1
OG0000036	SpalliCBS13156predictedgene_003060-T1
OG0000036	SpalliCBS13156predictedgene_009401-T1
OG0000036	SpalliCBS13156predictedgene_010486-T1
OG0000037	SpalliCBS13156predictedgene_001023-T1
OG0000037	SpalliCBS13156predictedgene_004446-T1
OG0000037	SpalliCBS13156predictedgene_005732-T1
OG0000038	SpalliCBS13156predictedgene_009628-T1
OG0000039	SpalliCBS13156predictedgene_006101-T1
OG0000039	SpalliCBS13156predictedgene_007479-T1
OG0000039	SpalliCBS13156predictedgene_007480-T1
OG0000040	SpalliCBS13156predictedgene_000557-T1
OG0000040	SpalliCBS13156predictedgene_000728-T1
OG0000040	SpalliCBS13156predictedgene_005087-T1
OG0000041	SpalliCBS13156predictedgene_004209-T1
OG0000041	SpalliCBS13156predictedgene_005914-T1
OG0000041	SpalliCBS13156predictedgene_006394-T1
OG0000041	SpalliCBS13156predictedgene_009856-T1
