Orthogroup	Protein_ID
OG0000002	SphasmCBS119721predictedgene_000630-T1
OG0000002	SphasmCBS119721predictedgene_004698-T1
OG0000002	SphasmCBS119721predictedgene_005251-T1
OG0000002	SphasmCBS119721predictedgene_005755-T1
OG0000002	SphasmCBS119721predictedgene_006166-T1
OG0000002	SphasmCBS119721predictedgene_007277-T1
OG0000007	SphasmCBS119721predictedgene_004838-T1
OG0000007	SphasmCBS119721predictedgene_006030-T1
OG0000008	SphasmCBS119721predictedgene_006226-T1
OG0000011	SphasmCBS119721predictedgene_003528-T1
OG0000012	SphasmCBS119721predictedgene_000721-T1
OG0000014	SphasmCBS119721predictedgene_004592-T1
OG0000014	SphasmCBS119721predictedgene_007219-T1
OG0000015	SphasmCBS119721predictedgene_003584-T1
OG0000015	SphasmCBS119721predictedgene_007252-T1
OG0000019	SphasmCBS119721predictedgene_007145-T1
OG0000021	SphasmCBS119721predictedgene_004182-T1
OG0000024	SphasmCBS119721predictedgene_006493-T1
OG0000025	SphasmCBS119721predictedgene_005043-T1
OG0000028	SphasmCBS119721predictedgene_005308-T1
OG0000029	SphasmCBS119721predictedgene_005909-T1
OG0000032	SphasmCBS119721predictedgene_000930-T1
OG0000032	SphasmCBS119721predictedgene_003743-T1
OG0000034	SphasmCBS119721predictedgene_001435-T1
OG0000035	SphasmCBS119721predictedgene_005118-T1
OG0000035	SphasmCBS119721predictedgene_005598-T1
OG0000035	SphasmCBS119721predictedgene_006557-T1
OG0000037	SphasmCBS119721predictedgene_005781-T1
OG0000038	SphasmCBS119721predictedgene_001405-T1
OG0000039	SphasmCBS119721predictedgene_004110-T1
OG0000039	SphasmCBS119721predictedgene_005530-T1
OG0000040	SphasmCBS119721predictedgene_002724-T1
OG0000041	SphasmCBS119721predictedgene_002880-T1
OG0000042	SphasmCBS119721predictedgene_003511-T1
OG0000043	SphasmCBS119721predictedgene_006287-T1
OG0000043	SphasmCBS119721predictedgene_006562-T1
OG0000044	SphasmCBS119721predictedgene_005643-T1
OG0000045	SphasmCBS119721predictedgene_002830-T1
OG0000045	SphasmCBS119721predictedgene_007344-T1
