Orthogroup	Protein_ID
OG0000000	SgloboCBS120340predictedgene_001061-T1
OG0000000	SgloboCBS120340predictedgene_001801-T1
OG0000000	SgloboCBS120340predictedgene_002038-T1
OG0000000	SgloboCBS120340predictedgene_003358-T1
OG0000000	SgloboCBS120340predictedgene_005682-T1
OG0000000	SgloboCBS120340predictedgene_005891-T1
OG0000000	SgloboCBS120340predictedgene_007423-T1
OG0000000	SgloboCBS120340predictedgene_007691-T1
OG0000000	SgloboCBS120340predictedgene_007698-T1
OG0000000	SgloboCBS120340predictedgene_007700-T1
OG0000000	SgloboCBS120340predictedgene_007886-T1
OG0000000	SgloboCBS120340predictedgene_007901-T1
OG0000000	SgloboCBS120340predictedgene_008708-T1
OG0000000	SgloboCBS120340predictedgene_008711-T1
OG0000001	SgloboCBS120340predictedgene_002360-T1
OG0000001	SgloboCBS120340predictedgene_005197-T1
OG0000001	SgloboCBS120340predictedgene_007433-T1
OG0000001	SgloboCBS120340predictedgene_008243-T1
OG0000001	SgloboCBS120340predictedgene_008386-T1
OG0000002	SgloboCBS120340predictedgene_002083-T1
OG0000002	SgloboCBS120340predictedgene_003209-T1
OG0000003	SgloboCBS120340predictedgene_003316-T1
OG0000003	SgloboCBS120340predictedgene_006010-T1
OG0000003	SgloboCBS120340predictedgene_006181-T1
OG0000003	SgloboCBS120340predictedgene_006541-T1
OG0000004	SgloboCBS120340predictedgene_005768-T1
OG0000005	SgloboCBS120340predictedgene_005353-T1
OG0000005	SgloboCBS120340predictedgene_007190-T1
OG0000005	SgloboCBS120340predictedgene_008276-T1
OG0000005	SgloboCBS120340predictedgene_008282-T1
OG0000006	SgloboCBS120340predictedgene_003077-T1
OG0000006	SgloboCBS120340predictedgene_003265-T1
OG0000006	SgloboCBS120340predictedgene_004048-T1
OG0000006	SgloboCBS120340predictedgene_004505-T1
OG0000006	SgloboCBS120340predictedgene_006027-T1
OG0000007	SgloboCBS120340predictedgene_000810-T1
OG0000007	SgloboCBS120340predictedgene_002081-T1
OG0000007	SgloboCBS120340predictedgene_006778-T1
OG0000007	SgloboCBS120340predictedgene_008428-T1
OG0000008	SgloboCBS120340predictedgene_001880-T1
OG0000008	SgloboCBS120340predictedgene_007273-T1
OG0000009	SgloboCBS120340predictedgene_000765-T1
OG0000009	SgloboCBS120340predictedgene_001322-T1
OG0000009	SgloboCBS120340predictedgene_006042-T1
OG0000011	SgloboCBS120340predictedgene_008308-T1
OG0000012	SgloboCBS120340predictedgene_002020-T1
OG0000012	SgloboCBS120340predictedgene_002397-T1
OG0000012	SgloboCBS120340predictedgene_005262-T1
OG0000012	SgloboCBS120340predictedgene_005264-T1
OG0000012	SgloboCBS120340predictedgene_006586-T1
OG0000013	SgloboCBS120340predictedgene_001293-T1
OG0000013	SgloboCBS120340predictedgene_003360-T1
OG0000014	SgloboCBS120340predictedgene_001702-T1
OG0000014	SgloboCBS120340predictedgene_003228-T1
OG0000014	SgloboCBS120340predictedgene_006978-T1
OG0000015	SgloboCBS120340predictedgene_008147-T1
OG0000015	SgloboCBS120340predictedgene_008382-T1
OG0000015	SgloboCBS120340predictedgene_008532-T1
OG0000016	SgloboCBS120340predictedgene_004504-T1
OG0000016	SgloboCBS120340predictedgene_005731-T1
OG0000016	SgloboCBS120340predictedgene_007262-T1
OG0000017	SgloboCBS120340predictedgene_001072-T1
OG0000017	SgloboCBS120340predictedgene_001816-T1
OG0000017	SgloboCBS120340predictedgene_002361-T1
OG0000017	SgloboCBS120340predictedgene_002554-T1
OG0000017	SgloboCBS120340predictedgene_005332-T1
OG0000018	SgloboCBS120340predictedgene_001748-T1
OG0000018	SgloboCBS120340predictedgene_008744-T1
OG0000019	SgloboCBS120340predictedgene_007223-T1
OG0000020	SgloboCBS120340predictedgene_004356-T1
OG0000020	SgloboCBS120340predictedgene_005182-T1
OG0000020	SgloboCBS120340predictedgene_005673-T1
