contig_id	mean_contig_cov	cluster_id	nucl_freq.gc	length
NODE_1000_length_128_cov_13.000000	0	NA	29.6875	128
NODE_1001_length_128_cov_12.000000	0	NA	29.6875	128
NODE_1002_length_128_cov_10.000000	1.547	NA	56.25	128
NODE_1003_length_128_cov_10.000000	1.359	NA	35.15625	128
NODE_1004_length_128_cov_9.000000	2.367	NA	35.9375	128
NODE_1005_length_128_cov_6.000000	5.172	NA	51.5625	128
NODE_1006_length_128_cov_6.000000	1.484	NA	54.6875	128
NODE_1007_length_128_cov_5.000000	0.969	NA	44.53125	128
NODE_1008_length_128_cov_4.000000	3.188	NA	62.5	128
NODE_1009_length_128_cov_3.000000	1.172	NA	44.53125	128
NODE_100_length_137075_cov_35.035050	304.941846153846	26	53.433521794638	137075
NODE_1010_length_128_cov_3.000000	1.938	NA	50.78125	128
NODE_101_length_135353_cov_35.327370	304.519923076923	26	53.9803329072869	135353
NODE_102_length_132963_cov_35.069492	302.312692307692	26	54.1594278107443	132963
NODE_103_length_132563_cov_35.769149	309.115	26	53.2011194677248	132563
NODE_104_length_131768_cov_36.115177	311.489307692308	26	52.7798858599964	131768
NODE_105_length_131688_cov_35.891047	311.327692307692	26	51.8627361642671	131688
NODE_106_length_130430_cov_35.784111	308.196769230769	26	53.1587824886913	130430
NODE_107_length_128670_cov_35.677439	307.180916666667	26	54.1649180073055	128670
NODE_108_length_127453_cov_35.879860	309.6645	26	52.4201078044456	127453
NODE_109_length_126934_cov_36.141767	309.82225	26	51.9561346841666	126934
NODE_10_length_544965_cov_35.589805	306.210277777778	26	53.4582954868661	544965
NODE_110_length_126368_cov_36.822348	317.809083333333	26	51.256647252469	126368
NODE_111_length_126026_cov_35.733953	307.988666666667	26	53.2056877152334	126026
NODE_112_length_125444_cov_35.881014	308.901666666667	26	53.5442109626606	125444
NODE_113_length_123935_cov_35.679528	304.70575	26	53.5732440392141	123935
NODE_114_length_123608_cov_35.971672	310.6055	26	53.0362112484629	123608
NODE_115_length_118396_cov_35.438382	305.586727272727	26	53.7509713165985	118396
NODE_116_length_117655_cov_35.515324	306.803090909091	26	52.5494029153032	117655
NODE_117_length_116429_cov_35.818610	306.193454545455	26	53.2015219575879	116429
NODE_118_length_111499_cov_35.203534	304.480818181818	26	54.0829962600561	111499
NODE_119_length_110969_cov_36.093692	308.684454545455	26	52.3912083554867	110969
NODE_11_length_445223_cov_34.970355	302.175386363636	26	53.935443586697	445223
NODE_120_length_110778_cov_36.756694	316.262181818182	26	52.3488418277997	110778
NODE_121_length_109688_cov_35.891266	306.7424	26	52.7897308730217	109688
NODE_122_length_109668_cov_36.553610	311.7371	26	51.6376700587227	109668
NODE_123_length_109372_cov_34.899941	301.4712	26	54.6510990015726	109372
NODE_124_length_107577_cov_35.781154	308.2831	26	52.8179815388048	107577
NODE_125_length_107563_cov_35.471853	305.6377	26	54.0427470412688	107563
NODE_126_length_105925_cov_35.814335	308.9216	26	53.4774604673118	105925
NODE_127_length_105497_cov_36.256857	312.3848	26	52.4450932253998	105497
NODE_128_length_103680_cov_36.917424	314.6997	26	51.4168595679012	103680
NODE_129_length_101699_cov_36.747204	316.8724	26	51.778286905476	101699
NODE_12_length_418597_cov_35.630050	306.178195121951	26	53.5369340917398	418597
NODE_130_length_100932_cov_34.901096	301.9278	26	53.6291760789442	100932
NODE_131_length_99787_cov_36.929159	315.469777777778	26	52.3224468117089	99787
NODE_132_length_98994_cov_36.310397	313.096888888889	26	52.59611693638	98994
NODE_133_length_98823_cov_34.570084	299.759444444444	26	54.8627343836961	98823
NODE_134_length_96956_cov_36.329653	312.835555555556	26	51.6244482033087	96956
NODE_135_length_96392_cov_36.093617	308.682555555556	26	51.4710764378787	96392
NODE_136_length_94768_cov_35.259972	302.482444444444	26	54.3801705216951	94768
NODE_137_length_92771_cov_36.038016	309.919777777778	26	52.7923596813659	92771
NODE_138_length_92650_cov_35.343785	304.567111111111	26	53.3189422558014	92650
NODE_139_length_91316_cov_36.452598	313.761777777778	26	52.2723290551492	91316
NODE_13_length_413287_cov_35.301711	305.280682926829	26	53.595201397576	413287
NODE_140_length_91143_cov_36.400380	315.119555555556	26	51.8975675586715	91143
NODE_141_length_90887_cov_36.421959	312.606555555556	26	51.8038883448678	90887
NODE_142_length_90795_cov_35.704482	310.088777777778	26	52.7132551351947	90795
NODE_143_length_90779_cov_36.362066	311.766222222222	26	51.8236596569691	90779
NODE_144_length_89646_cov_36.583954	314.208375	26	51.5115007920041	89646
NODE_145_length_89096_cov_35.580033	308.522125	26	53.3570530663554	89096
NODE_146_length_88212_cov_37.551842	320.427375	26	50.122432322133	88212
NODE_147_length_88186_cov_36.029140	309.58875	26	53.0072800671308	88186
NODE_148_length_87496_cov_35.917705	311.094125	26	53.10528481302	87496
NODE_149_length_86991_cov_36.444396	313.349875	26	52.3916267200055	86991
NODE_14_length_402497_cov_35.704143	307.8204	26	53.0120721396681	402497
NODE_150_length_86689_cov_34.210681	297.544	26	54.2744754236408	86689
NODE_151_length_85836_cov_35.687967	309.836375	26	52.8903956381938	85836
NODE_152_length_83263_cov_35.954472	307.59475	26	52.7305045458367	83263
NODE_153_length_82220_cov_35.425432	303.59725	26	53.2546825589881	82220
NODE_154_length_82164_cov_35.270378	304.244875	26	54.0674748064846	82164
NODE_155_length_81846_cov_35.586522	304.225875	26	53.1485961439777	81846
NODE_156_length_80511_cov_35.981066	311.071	26	52.0823241544634	80511
NODE_157_length_79642_cov_36.341319	312.234857142857	26	52.776173375857	79642
NODE_158_length_79445_cov_35.562647	304.943571428571	26	52.811378941406	79445
NODE_159_length_78808_cov_34.897866	302.413714285714	26	54.5160389808141	78808
NODE_15_length_401819_cov_35.272575	303.057475	26	54.2450705417116	401819
NODE_160_length_78276_cov_36.854854	319.414857142857	26	50.6055495937452	78276
NODE_161_length_77188_cov_34.960434	297.697857142857	26	54.4747888272789	77188
NODE_162_length_75277_cov_35.307292	303.241142857143	26	54.1241016512348	75277
NODE_163_length_74981_cov_35.265423	304.253571428571	26	54.0670303143463	74981
NODE_164_length_74622_cov_35.606833	306.047285714286	26	54.3512637023934	74622
NODE_165_length_73744_cov_36.572300	314.647	26	50.8841397266218	73744
NODE_166_length_73131_cov_35.780231	307.499571428571	26	53.3344272606692	73131
NODE_167_length_72938_cov_39.907184	330.369571428571	26	45.4454468178453	72938
NODE_168_length_71730_cov_35.078572	302.276857142857	26	54.8710441935034	71730
NODE_169_length_71709_cov_36.152622	309.298	26	52.8273996290563	71709
NODE_16_length_395097_cov_36.253548	311.075205128205	26	51.5020362088297	395097
NODE_170_length_70375_cov_35.606622	307.407714285714	26	52.8710479573712	70375
NODE_171_length_69222_cov_34.892076	301.604333333333	26	54.9420704400335	69222
NODE_172_length_69021_cov_36.578236	314.013833333333	26	52.1232668318338	69021
NODE_173_length_68216_cov_34.853236	303.186833333333	26	54.1735076814823	68216
NODE_174_length_67578_cov_34.702436	298.597166666667	26	55.5624611559975	67578
NODE_175_length_65913_cov_35.103411	299.3435	26	53.8573574256975	65913
NODE_176_length_65580_cov_36.185599	310.177333333333	26	51.6407441293077	65580
NODE_177_length_65541_cov_36.705736	318.030666666667	26	51.1298271311088	65541
NODE_178_length_65060_cov_35.860194	305.902333333333	26	52.9188441438672	65060
NODE_179_length_64078_cov_35.511548	306.274333333333	26	51.6542339024314	64078
NODE_17_length_392596_cov_35.600733	307.198205128205	26	53.3011034243854	392596
NODE_180_length_64045_cov_35.469273	305.606833333333	26	52.4131470060114	64045
NODE_181_length_63016_cov_35.618296	308.423166666667	26	52.6945537641234	63016
NODE_182_length_59529_cov_35.442780	305.1286	26	54.3432612676175	59529
NODE_183_length_58853_cov_35.872101	306.6786	26	52.2471241907804	58853
NODE_184_length_58699_cov_36.046268	308.2084	26	53.7300465084584	58699
NODE_185_length_57452_cov_40.206559	331.9696	21	39.8523985239852	57452
NODE_186_length_57214_cov_34.525514	300.9392	26	53.1688048379767	57214
NODE_187_length_57016_cov_34.677846	298.269	26	54.2865160656658	57016
NODE_188_length_55342_cov_35.046600	301.941	26	54.3890715911966	55342
NODE_189_length_55313_cov_36.633748	316.6262	26	52.4198651311627	55313
NODE_18_length_377935_cov_35.678223	308.575567567568	26	53.097754904944	377935
NODE_190_length_54852_cov_34.894070	302.6818	26	53.8995843360315	54852
NODE_191_length_54657_cov_35.164570	302.6632	26	52.6794372175568	54657
NODE_192_length_54052_cov_34.735651	302.4294	26	55.1209945977947	54052
NODE_193_length_51413_cov_36.401747	312.9926	26	52.008246941435	51413
NODE_194_length_51351_cov_35.871096	307.035	26	53.6873673346186	51351
NODE_195_length_51285_cov_35.942785	305.8234	26	52.5533781807546	51285
NODE_196_length_50477_cov_35.899921	306.835	26	51.9226578441667	50477
NODE_197_length_49882_cov_36.063994	314.3405	26	52.6522593320236	49882
NODE_198_length_49493_cov_37.557995	319.01775	26	50.7000990038995	49493
NODE_199_length_48363_cov_35.987022	309.36925	26	52.6642267849389	48363
NODE_19_length_375995_cov_36.215020	310.332243243243	26	52.6517639862232	375995
NODE_1_length_1041389_cov_35.746747	308.944644230769	26	53.3617120979768	1041389
NODE_200_length_48051_cov_33.334404	289.46	26	56.2922727934902	48051
NODE_201_length_46451_cov_35.725866	308.69875	26	52.670556069837	46451
NODE_202_length_45818_cov_35.174192	303.0865	26	54.2668820114366	45818
NODE_203_length_44984_cov_35.407339	307.6505	26	52.7431975813623	44984
NODE_204_length_43699_cov_34.709194	297.45775	26	54.827341586764	43699
NODE_205_length_42780_cov_34.884885	300.89	26	54.041608228144	42780
NODE_206_length_42477_cov_37.695112	319.34125	26	49.907008498717	42477
NODE_207_length_42060_cov_36.939141	317.02475	26	50.4469805040418	42060
NODE_208_length_41339_cov_35.742648	308.267	26	52.679068192264	41339
NODE_209_length_40962_cov_33.786360	288.72675	26	55.8346760412089	40962
NODE_20_length_375228_cov_35.208890	303.614567567568	26	53.802488087243	375228
NODE_210_length_40909_cov_36.169021	311.3865	26	53.6092302427339	40909
NODE_211_length_40749_cov_37.699055	324.776	26	47.7336867162384	40749
NODE_212_length_40575_cov_34.974609	301.80775	26	53.7523105360444	40575
NODE_213_length_40476_cov_33.478550	288.71125	28	55.2772013044767	40476
NODE_214_length_40102_cov_35.238799	308.33225	26	51.5834621714628	40102
NODE_215_length_39771_cov_35.084048	304.784	26	53.2775137663121	39771
NODE_216_length_39418_cov_36.941997	310.164	26	49.1450606321985	39418
NODE_217_length_38814_cov_38.009719	325.533333333333	26	48.1991034162931	38814
NODE_218_length_37544_cov_37.188631	312.930666666667	26	49.7629448114213	37544
NODE_219_length_36767_cov_34.755895	300.464	26	55.6939646966029	36767
NODE_21_length_371677_cov_35.699050	308.348351351351	26	52.5811389997229	371677
NODE_220_length_36701_cov_245.754798	2799.14833333333	26	54.7423775918912	36701
NODE_221_length_36212_cov_36.274214	311.319666666667	26	50.9941455870982	36212
NODE_222_length_34906_cov_36.878202	315.863	26	52.1400332321091	34906
NODE_223_length_33933_cov_36.250222	311.894666666667	26	52.83647187104	33933
NODE_224_length_33299_cov_34.603521	297.705	26	55.7884621159795	33299
NODE_225_length_33133_cov_37.245380	320.599666666667	26	50.5025201460779	33133
NODE_226_length_32925_cov_36.340173	310.744333333333	28	50.7881548974943	32925
NODE_227_length_32628_cov_35.933910	308.736333333333	26	53.1690572514405	32628
NODE_228_length_32542_cov_35.128922	305.513333333333	26	52.08960727675	32542
NODE_229_length_32130_cov_35.954785	306.923666666667	26	51.6339869281046	32130
NODE_22_length_360651_cov_36.300820	312.553611111111	26	52.5186399039515	360651
NODE_230_length_30516_cov_37.218368	322.208333333333	26	51.4779132258487	30516
NODE_231_length_29774_cov_36.936790	317.074	26	50.3593739504265	29774
NODE_232_length_29221_cov_34.602117	293.3995	26	54.5669210499298	29221
