Orthogroup	Protein_ID
OG0000000	SlurieCBS93772predictedgene_001147-T1
OG0000000	SlurieCBS93772predictedgene_002355-T1
OG0000000	SlurieCBS93772predictedgene_003137-T1
OG0000000	SlurieCBS93772predictedgene_003140-T1
OG0000000	SlurieCBS93772predictedgene_003905-T1
OG0000000	SlurieCBS93772predictedgene_004888-T1
OG0000000	SlurieCBS93772predictedgene_005342-T1
OG0000000	SlurieCBS93772predictedgene_006727-T1
OG0000000	SlurieCBS93772predictedgene_007574-T1
OG0000000	SlurieCBS93772predictedgene_007679-T1
OG0000001	SlurieCBS93772predictedgene_002888-T1
OG0000002	SlurieCBS93772predictedgene_002262-T1
OG0000002	SlurieCBS93772predictedgene_003304-T1
OG0000002	SlurieCBS93772predictedgene_003379-T1
OG0000002	SlurieCBS93772predictedgene_005315-T1
OG0000002	SlurieCBS93772predictedgene_005329-T1
OG0000002	SlurieCBS93772predictedgene_005830-T1
OG0000002	SlurieCBS93772predictedgene_007137-T1
OG0000002	SlurieCBS93772predictedgene_008144-T1
OG0000002	SlurieCBS93772predictedgene_008235-T1
OG0000002	SlurieCBS93772predictedgene_008255-T1
OG0000003	SlurieCBS93772predictedgene_003085-T1
OG0000003	SlurieCBS93772predictedgene_003086-T1
OG0000003	SlurieCBS93772predictedgene_004618-T1
OG0000003	SlurieCBS93772predictedgene_006901-T1
OG0000003	SlurieCBS93772predictedgene_007584-T1
OG0000003	SlurieCBS93772predictedgene_007645-T1
OG0000003	SlurieCBS93772predictedgene_008044-T1
OG0000003	SlurieCBS93772predictedgene_008067-T1
OG0000003	SlurieCBS93772predictedgene_008129-T1
OG0000005	SlurieCBS93772predictedgene_000526-T1
OG0000005	SlurieCBS93772predictedgene_001283-T1
OG0000005	SlurieCBS93772predictedgene_003308-T1
OG0000005	SlurieCBS93772predictedgene_003314-T1
OG0000006	SlurieCBS93772predictedgene_003732-T1
OG0000006	SlurieCBS93772predictedgene_004955-T1
OG0000007	SlurieCBS93772predictedgene_002925-T1
OG0000007	SlurieCBS93772predictedgene_005828-T1
OG0000007	SlurieCBS93772predictedgene_007994-T1
OG0000008	SlurieCBS93772predictedgene_003577-T1
