Orthogroup	Protein_ID
OG0000000	SvarieCBS121961predictedgene_000485-T1
OG0000000	SvarieCBS121961predictedgene_000502-T1
OG0000000	SvarieCBS121961predictedgene_002495-T1
OG0000000	SvarieCBS121961predictedgene_003305-T1
OG0000000	SvarieCBS121961predictedgene_005625-T1
OG0000000	SvarieCBS121961predictedgene_005989-T1
OG0000000	SvarieCBS121961predictedgene_006730-T1
OG0000000	SvarieCBS121961predictedgene_008232-T1
OG0000000	SvarieCBS121961predictedgene_008640-T1
OG0000000	SvarieCBS121961predictedgene_008643-T1
OG0000000	SvarieCBS121961predictedgene_009369-T1
OG0000000	SvarieCBS121961predictedgene_009372-T1
OG0000000	SvarieCBS121961predictedgene_009390-T1
OG0000000	SvarieCBS121961predictedgene_009456-T1
OG0000000	SvarieCBS121961predictedgene_009857-T1
OG0000000	SvarieCBS121961predictedgene_010246-T1
OG0000001	SvarieCBS121961predictedgene_000181-T1
OG0000001	SvarieCBS121961predictedgene_000254-T1
OG0000001	SvarieCBS121961predictedgene_000332-T1
OG0000001	SvarieCBS121961predictedgene_002503-T1
OG0000001	SvarieCBS121961predictedgene_004406-T1
OG0000001	SvarieCBS121961predictedgene_006006-T1
OG0000001	SvarieCBS121961predictedgene_006734-T1
OG0000001	SvarieCBS121961predictedgene_006909-T1
OG0000001	SvarieCBS121961predictedgene_007985-T1
OG0000001	SvarieCBS121961predictedgene_009272-T1
OG0000002	SvarieCBS121961predictedgene_006833-T1
OG0000003	SvarieCBS121961predictedgene_000935-T1
OG0000003	SvarieCBS121961predictedgene_001701-T1
OG0000003	SvarieCBS121961predictedgene_002472-T1
OG0000003	SvarieCBS121961predictedgene_002599-T1
OG0000003	SvarieCBS121961predictedgene_003286-T1
OG0000004	SvarieCBS121961predictedgene_003261-T1
OG0000004	SvarieCBS121961predictedgene_003813-T1
OG0000004	SvarieCBS121961predictedgene_004162-T1
OG0000004	SvarieCBS121961predictedgene_007675-T1
OG0000004	SvarieCBS121961predictedgene_008229-T1
OG0000004	SvarieCBS121961predictedgene_008991-T1
OG0000004	SvarieCBS121961predictedgene_009545-T1
OG0000005	SvarieCBS121961predictedgene_000226-T1
OG0000005	SvarieCBS121961predictedgene_000231-T1
OG0000005	SvarieCBS121961predictedgene_001096-T1
OG0000005	SvarieCBS121961predictedgene_006780-T1
OG0000005	SvarieCBS121961predictedgene_007392-T1
