Orthogroup	Protein_ID
OG0000000	SEUCBS140593_001020-T1
OG0000000	SEUCBS140593_001965-T1
OG0000000	SEUCBS140593_002073-T1
OG0000000	SEUCBS140593_002074-T1
OG0000000	SEUCBS140593_002077-T1
OG0000000	SEUCBS140593_002194-T1
OG0000000	SEUCBS140593_002698-T1
OG0000000	SEUCBS140593_004053-T1
OG0000000	SEUCBS140593_004563-T1
OG0000000	SEUCBS140593_006386-T1
OG0000000	SEUCBS140593_007270-T1
OG0000000	SEUCBS140593_007274-T1
OG0000000	SEUCBS140593_007288-T1
OG0000000	SEUCBS140593_007303-T1
OG0000000	SEUCBS140593_007788-T1
OG0000000	SEUCBS140593_008428-T1
OG0000001	SEUCBS140593_000819-T1
OG0000001	SEUCBS140593_000909-T1
OG0000001	SEUCBS140593_001013-T1
OG0000001	SEUCBS140593_002212-T1
OG0000001	SEUCBS140593_002985-T1
OG0000001	SEUCBS140593_004049-T1
OG0000001	SEUCBS140593_004659-T1
OG0000001	SEUCBS140593_005628-T1
OG0000001	SEUCBS140593_007767-T1
OG0000001	SEUCBS140593_009118-T1
OG0000001	SEUCBS140593_010722-T1
OG0000002	SEUCBS140593_005357-T1
OG0000003	SEUCBS140593_007427-T1
OG0000003	SEUCBS140593_010570-T1
OG0000004	SEUCBS140593_000528-T1
OG0000004	SEUCBS140593_001718-T1
OG0000004	SEUCBS140593_004237-T1
OG0000004	SEUCBS140593_005347-T1
OG0000004	SEUCBS140593_007771-T1
OG0000004	SEUCBS140593_008215-T1
OG0000004	SEUCBS140593_009519-T1
OG0000004	SEUCBS140593_009791-T1
OG0000004	SEUCBS140593_010184-T1
OG0000005	SEUCBS140593_000875-T1
OG0000005	SEUCBS140593_000880-T1
OG0000005	SEUCBS140593_001550-T1
OG0000005	SEUCBS140593_002031-T1
OG0000005	SEUCBS140593_002704-T1
OG0000005	SEUCBS140593_003018-T1
OG0000005	SEUCBS140593_005504-T1
OG0000005	SEUCBS140593_006026-T1
OG0000005	SEUCBS140593_006523-T1
OG0000005	SEUCBS140593_009583-T1
OG0000005	SEUCBS140593_010177-T1
OG0000005	SEUCBS140593_010723-T1
OG0000005	SEUCBS140593_010724-T1
OG0000006	SEUCBS140593_000527-T1
OG0000006	SEUCBS140593_001292-T1
OG0000006	SEUCBS140593_004502-T1
OG0000006	SEUCBS140593_008193-T1
OG0000006	SEUCBS140593_009065-T1
OG0000006	SEUCBS140593_009096-T1
OG0000007	SEUCBS140593_004979-T1
OG0000007	SEUCBS140593_007151-T1
OG0000007	SEUCBS140593_010026-T1
OG0000007	SEUCBS140593_010624-T1
OG0000008	SEUCBS140593_003435-T1
OG0000008	SEUCBS140593_003547-T1
OG0000008	SEUCBS140593_007137-T1
OG0000008	SEUCBS140593_008170-T1
OG0000008	SEUCBS140593_008515-T1
OG0000008	SEUCBS140593_010387-T1
OG0000009	SEUCBS140593_001602-T1
OG0000009	SEUCBS140593_006805-T1
OG0000009	SEUCBS140593_007248-T1
OG0000009	SEUCBS140593_009403-T1
OG0000009	SEUCBS140593_009880-T1
OG0000009	SEUCBS140593_010163-T1
OG0000010	SEUCBS140593_000372-T1
OG0000010	SEUCBS140593_000831-T1
OG0000010	SEUCBS140593_001658-T1
OG0000010	SEUCBS140593_001659-T1
OG0000010	SEUCBS140593_001696-T1
OG0000010	SEUCBS140593_006521-T1
OG0000010	SEUCBS140593_006597-T1
OG0000010	SEUCBS140593_007027-T1
OG0000010	SEUCBS140593_007824-T1
OG0000010	SEUCBS140593_009113-T1
OG0000010	SEUCBS140593_010533-T1
OG0000011	SEUCBS140593_001719-T1
OG0000011	SEUCBS140593_003175-T1
OG0000012	SEUCBS140593_003377-T1
OG0000012	SEUCBS140593_006206-T1
OG0000012	SEUCBS140593_006208-T1
OG0000012	SEUCBS140593_009084-T1
OG0000013	SEUCBS140593_002721-T1
OG0000014	SEUCBS140593_001739-T1
OG0000014	SEUCBS140593_001985-T1
OG0000014	SEUCBS140593_004509-T1
OG0000014	SEUCBS140593_009171-T1
OG0000015	SEUCBS140593_001334-T1
OG0000015	SEUCBS140593_002099-T1
OG0000015	SEUCBS140593_005245-T1
OG0000015	SEUCBS140593_006222-T1
OG0000015	SEUCBS140593_008940-T1
OG0000016	SEUCBS140593_003423-T1
OG0000016	SEUCBS140593_004501-T1
OG0000016	SEUCBS140593_005423-T1
OG0000016	SEUCBS140593_006035-T1
OG0000016	SEUCBS140593_008870-T1
OG0000016	SEUCBS140593_009467-T1
OG0000016	SEUCBS140593_010002-T1
OG0000017	SEUCBS140593_002709-T1
OG0000017	SEUCBS140593_005911-T1
OG0000018	SEUCBS140593_000364-T1
OG0000018	SEUCBS140593_000986-T1
OG0000018	SEUCBS140593_004522-T1
OG0000018	SEUCBS140593_006654-T1
OG0000018	SEUCBS140593_008260-T1
OG0000019	SEUCBS140593_003395-T1
OG0000019	SEUCBS140593_004541-T1
OG0000019	SEUCBS140593_006152-T1
OG0000019	SEUCBS140593_007254-T1
OG0000020	SEUCBS140593_002772-T1
OG0000020	SEUCBS140593_003787-T1
OG0000020	SEUCBS140593_008804-T1
OG0000021	SEUCBS140593_002459-T1
OG0000021	SEUCBS140593_004517-T1
OG0000021	SEUCBS140593_006016-T1
OG0000021	SEUCBS140593_006017-T1
OG0000021	SEUCBS140593_006165-T1
OG0000021	SEUCBS140593_006627-T1
OG0000021	SEUCBS140593_010222-T1
OG0000021	SEUCBS140593_010705-T1
OG0000022	SEUCBS140593_000798-T1
OG0000022	SEUCBS140593_002022-T1
OG0000022	SEUCBS140593_002026-T1
OG0000022	SEUCBS140593_009533-T1
OG0000023	SEUCBS140593_001868-T1
OG0000023	SEUCBS140593_005633-T1
OG0000023	SEUCBS140593_008454-T1
OG0000024	SEUCBS140593_007632-T1
OG0000024	SEUCBS140593_010428-T1
OG0000025	SEUCBS140593_000553-T1
OG0000025	SEUCBS140593_001541-T1
OG0000025	SEUCBS140593_009744-T1
OG0000025	SEUCBS140593_010635-T1
OG0000026	SEUCBS140593_004143-T1
OG0000026	SEUCBS140593_005356-T1
OG0000026	SEUCBS140593_006884-T1
OG0000026	SEUCBS140593_006885-T1
OG0000026	SEUCBS140593_007854-T1
OG0000026	SEUCBS140593_009895-T1
OG0000027	SEUCBS140593_004569-T1
OG0000027	SEUCBS140593_006012-T1
OG0000027	SEUCBS140593_009223-T1
OG0000028	SEUCBS140593_005379-T1
OG0000028	SEUCBS140593_005631-T1
OG0000028	SEUCBS140593_006438-T1
OG0000028	SEUCBS140593_007244-T1
OG0000028	SEUCBS140593_009755-T1
OG0000028	SEUCBS140593_009870-T1
OG0000028	SEUCBS140593_010252-T1
OG0000029	SEUCBS140593_004465-T1
OG0000030	SEUCBS140593_002209-T1
