FamilyID	TaxonID	Count	Change	Pvalue	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0000002	Sporothrix_brasiliensis_5110	13	8	1.68916e-14	None	None	None	None	None	None
OG0000028	Sporothrix_luriei_CBS93772	7	6	7.99013e-10	None	None	None	None	None	None
OG0000044	Sporothrix_brasiliensis_5110	4	3	4.44525e-07	None	None	None	None	None	None
OG0000119	Sporothrix_brasiliensis_5110	4	3	4.44525e-07	None	None	None	None	None	None
OG0000053	Sporothrix_schenckii_1099	0	-3	5.67253e-07	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000215	Sporothrix_brasiliensis_5110	5	3	1.75254e-06	None	None	None	None	None	None
OG0000002	Sporothrix_luriei_CBS93772	10	5	2.38816e-06	None	None	None	None	None	None
OG0000003	Sporothrix_luriei_CBS93772	9	5	2.46919e-06	None	None	None	None	None	None
OG0000154	Sporothrix_globosa_CBS120340	4	3	6.42397e-06	None	None	None	None	None	None
OG0002344	Sporothrix_luriei_CBS93772	4	3	1.9976e-05	GO:0004672;GO:0006468	protein kinase activity ;protein phosphorylation 	IPR001245	Domain Serine-threonine/tyrosine-protein kinase, catalytic domain	PF07714	Protein tyrosine and serine/threonine kinase
OG0007838	Sporothrix_luriei_CBS93772	4	3	1.9976e-05	None	None	None	None	None	None
OG0000094	Sporothrix_globosa_CBS120340	5	3	2.48004e-05	None	None	IPR018392;IPR024535	Domain LysM domain;Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain	PF01476;PF12708	LysM domain;Pectate lyase superfamily protein
OG0000103	Sporothrix_globosa_CBS120340	5	3	2.48004e-05	None	None	None	None	None	None
OG0000219	Sporothrix_schenckii_1099	3	2	4.62282e-05	None	None	None	None	None	None
OG0000499	Sporothrix_brasiliensis_5110	3	2	4.62282e-05	None	None	None	None	None	None
OG0006642	Sporothrix_brasiliensis_5110	3	2	4.62282e-05	None	None	None	None	None	None
OG0007838	Sporothrix_brasiliensis_5110	3	2	4.62282e-05	None	None	None	None	None	None
OG0000103	Sporothrix_brasiliensis_5110	0	-2	4.9696e-05	None	None	None	None	None	None
OG0000181	Sporothrix_schenckii_1099	0	-2	4.9696e-05	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000075	Sporothrix_luriei_CBS93772	5	3	7.58547e-05	None	None	None	None	None	None
OG0000002	Sporothrix_globosa_CBS120340	2	-3	7.73207e-05	None	None	None	None	None	None
OG0000048	34	0	-3	0.000101241	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0000214	Sporothrix_schenckii_1099	1	-2	0.000145446	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000053	Sporothrix_luriei_CBS93772	6	3	0.000220127	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000026	Sporothrix_brasiliensis_5110	4	2	0.000229376	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000032	Sporothrix_brasiliensis_5110	4	2	0.000229376	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000071	Sporothrix_brasiliensis_5110	4	2	0.000229376	None	None	IPR025213	Family Kinetochore Sim4 complex subunit Fta2	PF13095	Kinetochore Sim4 complex subunit FTA2
OG0000075	Sporothrix_brasiliensis_5110	4	2	0.000229376	None	None	None	None	None	None
OG0000223	Sporothrix_brasiliensis_5110	4	2	0.000229376	None	None	IPR007111	Domain NACHT nucleoside triphosphatase	PF05729	NACHT domain
OG0000358	Sporothrix_globosa_CBS120340	3	2	0.000274229	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0005652	Sporothrix_globosa_CBS120340	3	2	0.000274229	None	None	None	None	None	None
OG0008813	Sporothrix_globosa_CBS120340	3	2	0.000274229	None	None	IPR001466	Domain Beta-lactamase-related	PF00144	Beta-lactamase
OG0000003	Sporothrix_schenckii_1099	2	-2	0.000287138	None	None	None	None	None	None
OG0000181	Sporothrix_globosa_CBS120340	0	-2	0.000322571	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000002	Sporothrix_schenckii_1099	3	-2	0.000473783	None	None	None	None	None	None
OG0000017	Sporothrix_schenckii_1099	3	-2	0.000473783	GO:0004672;GO:0006468;GO:0005524	protein kinase activity ;protein phosphorylation ;ATP binding 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000053	Sporothrix_brasiliensis_5110	5	2	0.000543309	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000044	Sporothrix_luriei_CBS93772	3	2	0.000584107	None	None	None	None	None	None
OG0000115	Sporothrix_luriei_CBS93772	3	2	0.000584107	None	None	IPR018834	Domain DNA/RNA-binding domain, Est1-type	PF10373	Est1 DNA/RNA binding domain
OG0000119	Sporothrix_luriei_CBS93772	3	2	0.000584107	None	None	None	None	None	None
OG0007363	Sporothrix_luriei_CBS93772	3	2	0.000584107	GO:0005975;GO:0006508;GO:0008236	carbohydrate metabolic process ;proteolysis ;serine-type peptidase activity 	IPR001223;IPR000209	Domain Glycoside hydrolase family 18, catalytic domain;Domain Peptidase S8/S53 domain	PF00704;PF00082	Glycosyl hydrolases family 18;Subtilase family
OG0008479	Sporothrix_luriei_CBS93772	3	2	0.000584107	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
