Orthogroup	Protein_ID
OG0000000	SinflaCBS23968predictedgene_000686-T1
OG0000000	SinflaCBS23968predictedgene_001276-T1
OG0000000	SinflaCBS23968predictedgene_001613-T1
OG0000000	SinflaCBS23968predictedgene_005082-T1
OG0000000	SinflaCBS23968predictedgene_005295-T1
OG0000000	SinflaCBS23968predictedgene_005298-T1
OG0000000	SinflaCBS23968predictedgene_005662-T1
OG0000000	SinflaCBS23968predictedgene_005873-T1
OG0000000	SinflaCBS23968predictedgene_006245-T1
OG0000000	SinflaCBS23968predictedgene_006258-T1
OG0000000	SinflaCBS23968predictedgene_006260-T1
OG0000000	SinflaCBS23968predictedgene_006762-T1
OG0000000	SinflaCBS23968predictedgene_010424-T1
OG0000000	SinflaCBS23968predictedgene_010516-T1
OG0000000	SinflaCBS23968predictedgene_010519-T1
OG0000001	SinflaCBS23968predictedgene_000694-T1
OG0000001	SinflaCBS23968predictedgene_002702-T1
OG0000001	SinflaCBS23968predictedgene_003238-T1
OG0000001	SinflaCBS23968predictedgene_004607-T1
OG0000001	SinflaCBS23968predictedgene_005079-T1
OG0000001	SinflaCBS23968predictedgene_005543-T1
OG0000001	SinflaCBS23968predictedgene_005648-T1
OG0000001	SinflaCBS23968predictedgene_008590-T1
OG0000002	SinflaCBS23968predictedgene_003936-T1
OG0000002	SinflaCBS23968predictedgene_008733-T1
OG0000002	SinflaCBS23968predictedgene_010215-T1
OG0000003	SinflaCBS23968predictedgene_000661-T1
OG0000003	SinflaCBS23968predictedgene_006276-T1
OG0000003	SinflaCBS23968predictedgene_006309-T1
OG0000003	SinflaCBS23968predictedgene_010412-T1
OG0000003	SinflaCBS23968predictedgene_010426-T1
OG0000004	SinflaCBS23968predictedgene_000903-T1
OG0000004	SinflaCBS23968predictedgene_001159-T1
OG0000004	SinflaCBS23968predictedgene_003758-T1
OG0000004	SinflaCBS23968predictedgene_005444-T1
OG0000004	SinflaCBS23968predictedgene_005845-T1
OG0000004	SinflaCBS23968predictedgene_006647-T1
OG0000004	SinflaCBS23968predictedgene_006648-T1
OG0000004	SinflaCBS23968predictedgene_006755-T1
OG0000004	SinflaCBS23968predictedgene_008847-T1
OG0000004	SinflaCBS23968predictedgene_010178-T1
OG0000005	SinflaCBS23968predictedgene_001590-T1
OG0000005	SinflaCBS23968predictedgene_008063-T1
OG0000005	SinflaCBS23968predictedgene_008556-T1
OG0000005	SinflaCBS23968predictedgene_008561-T1
OG0000005	SinflaCBS23968predictedgene_009889-T1
OG0000006	SinflaCBS23968predictedgene_000904-T1
OG0000006	SinflaCBS23968predictedgene_002561-T1
OG0000006	SinflaCBS23968predictedgene_005468-T1
OG0000006	SinflaCBS23968predictedgene_007986-T1
OG0000006	SinflaCBS23968predictedgene_008682-T1
OG0000006	SinflaCBS23968predictedgene_010137-T1
OG0000007	SinflaCBS23968predictedgene_002208-T1
OG0000007	SinflaCBS23968predictedgene_002710-T1
OG0000007	SinflaCBS23968predictedgene_004370-T1
OG0000007	SinflaCBS23968predictedgene_006073-T1
OG0000007	SinflaCBS23968predictedgene_006819-T1
OG0000007	SinflaCBS23968predictedgene_009546-T1
OG0000007	SinflaCBS23968predictedgene_009895-T1
OG0000008	SinflaCBS23968predictedgene_002023-T1
OG0000008	SinflaCBS23968predictedgene_004830-T1
OG0000008	SinflaCBS23968predictedgene_005967-T1
OG0000008	SinflaCBS23968predictedgene_009107-T1
OG0000008	SinflaCBS23968predictedgene_009332-T1
OG0000008	SinflaCBS23968predictedgene_009713-T1
OG0000008	SinflaCBS23968predictedgene_010454-T1
OG0000009	SinflaCBS23968predictedgene_002733-T1
OG0000009	SinflaCBS23968predictedgene_003596-T1
OG0000009	SinflaCBS23968predictedgene_003879-T1
OG0000009	SinflaCBS23968predictedgene_004293-T1
OG0000009	SinflaCBS23968predictedgene_006012-T1
OG0000009	SinflaCBS23968predictedgene_007967-T1
OG0000009	SinflaCBS23968predictedgene_008958-T1
OG0000009	SinflaCBS23968predictedgene_009844-T1
OG0000009	SinflaCBS23968predictedgene_009845-T1
OG0000009	SinflaCBS23968predictedgene_010697-T1
OG0000010	SinflaCBS23968predictedgene_004508-T1
OG0000010	SinflaCBS23968predictedgene_005497-T1
OG0000010	SinflaCBS23968predictedgene_006874-T1
OG0000010	SinflaCBS23968predictedgene_008722-T1
OG0000010	SinflaCBS23968predictedgene_009721-T1
OG0000010	SinflaCBS23968predictedgene_009968-T1
OG0000010	SinflaCBS23968predictedgene_010505-T1
OG0000011	SinflaCBS23968predictedgene_008588-T1
OG0000011	SinflaCBS23968predictedgene_009816-T1
OG0000012	SinflaCBS23968predictedgene_002628-T1
OG0000012	SinflaCBS23968predictedgene_002630-T1
OG0000012	SinflaCBS23968predictedgene_006740-T1
OG0000012	SinflaCBS23968predictedgene_006939-T1
OG0000013	SinflaCBS23968predictedgene_000541-T1
OG0000013	SinflaCBS23968predictedgene_005711-T1
OG0000013	SinflaCBS23968predictedgene_009115-T1
OG0000014	SinflaCBS23968predictedgene_004900-T1
OG0000014	SinflaCBS23968predictedgene_006039-T1
OG0000014	SinflaCBS23968predictedgene_008646-T1
OG0000014	SinflaCBS23968predictedgene_010471-T1
OG0000015	SinflaCBS23968predictedgene_001956-T1
OG0000015	SinflaCBS23968predictedgene_003339-T1
OG0000015	SinflaCBS23968predictedgene_005513-T1
OG0000015	SinflaCBS23968predictedgene_006282-T1
OG0000015	SinflaCBS23968predictedgene_007713-T1
OG0000016	SinflaCBS23968predictedgene_001203-T1
OG0000016	SinflaCBS23968predictedgene_002560-T1
OG0000016	SinflaCBS23968predictedgene_002575-T1
OG0000016	SinflaCBS23968predictedgene_008813-T1
OG0000017	SinflaCBS23968predictedgene_001642-T1
OG0000017	SinflaCBS23968predictedgene_002278-T1
OG0000017	SinflaCBS23968predictedgene_002403-T1
OG0000017	SinflaCBS23968predictedgene_008945-T1
OG0000018	SinflaCBS23968predictedgene_004453-T1
OG0000018	SinflaCBS23968predictedgene_005257-T1
OG0000018	SinflaCBS23968predictedgene_005599-T1
OG0000018	SinflaCBS23968predictedgene_006599-T1
OG0000018	SinflaCBS23968predictedgene_008071-T1
OG0000018	SinflaCBS23968predictedgene_009687-T1
OG0000019	SinflaCBS23968predictedgene_004202-T1
OG0000019	SinflaCBS23968predictedgene_005974-T1
OG0000019	SinflaCBS23968predictedgene_007826-T1
OG0000019	SinflaCBS23968predictedgene_008156-T1
OG0000019	SinflaCBS23968predictedgene_008184-T1
OG0000019	SinflaCBS23968predictedgene_009715-T1
OG0000019	SinflaCBS23968predictedgene_010195-T1
OG0000019	SinflaCBS23968predictedgene_010315-T1
OG0000019	SinflaCBS23968predictedgene_010786-T1
OG0000019	SinflaCBS23968predictedgene_010826-T1
OG0000020	SinflaCBS23968predictedgene_005929-T1
OG0000020	SinflaCBS23968predictedgene_006152-T1
OG0000020	SinflaCBS23968predictedgene_006250-T1
OG0000020	SinflaCBS23968predictedgene_006603-T1
OG0000020	SinflaCBS23968predictedgene_010377-T1
OG0000021	SinflaCBS23968predictedgene_005038-T1
OG0000021	SinflaCBS23968predictedgene_007268-T1
OG0000021	SinflaCBS23968predictedgene_008070-T1
OG0000022	SinflaCBS23968predictedgene_000064-T1
OG0000022	SinflaCBS23968predictedgene_000067-T1
OG0000022	SinflaCBS23968predictedgene_007804-T1
OG0000022	SinflaCBS23968predictedgene_009701-T1
OG0000022	SinflaCBS23968predictedgene_009925-T1
OG0000023	SinflaCBS23968predictedgene_001645-T1
OG0000023	SinflaCBS23968predictedgene_003613-T1
OG0000023	SinflaCBS23968predictedgene_005912-T1
OG0000023	SinflaCBS23968predictedgene_008418-T1
OG0000023	SinflaCBS23968predictedgene_009881-T1
OG0000023	SinflaCBS23968predictedgene_010076-T1
OG0000024	SinflaCBS23968predictedgene_003111-T1
OG0000024	SinflaCBS23968predictedgene_007859-T1
OG0000024	SinflaCBS23968predictedgene_010344-T1
OG0000025	SinflaCBS23968predictedgene_000754-T1
OG0000025	SinflaCBS23968predictedgene_000879-T1
OG0000025	SinflaCBS23968predictedgene_001963-T1
OG0000025	SinflaCBS23968predictedgene_010661-T1
OG0000026	SinflaCBS23968predictedgene_001598-T1
OG0000026	SinflaCBS23968predictedgene_007205-T1
OG0000026	SinflaCBS23968predictedgene_008336-T1
OG0000026	SinflaCBS23968predictedgene_008337-T1
OG0000026	SinflaCBS23968predictedgene_010289-T1
OG0000027	SinflaCBS23968predictedgene_000504-T1
OG0000027	SinflaCBS23968predictedgene_000505-T1
OG0000027	SinflaCBS23968predictedgene_005838-T1
OG0000027	SinflaCBS23968predictedgene_005839-T1
OG0000027	SinflaCBS23968predictedgene_009478-T1
OG0000027	SinflaCBS23968predictedgene_009644-T1
OG0000028	SinflaCBS23968predictedgene_000689-T1
OG0000028	SinflaCBS23968predictedgene_002703-T1
OG0000028	SinflaCBS23968predictedgene_004528-T1
OG0000028	SinflaCBS23968predictedgene_005338-T1
OG0000028	SinflaCBS23968predictedgene_009425-T1
OG0000028	SinflaCBS23968predictedgene_010757-T1
OG0000028	SinflaCBS23968predictedgene_010840-T1
OG0000028	SinflaCBS23968predictedgene_010845-T1
OG0000028	SinflaCBS23968predictedgene_010849-T1
OG0000028	SinflaCBS23968predictedgene_010853-T1
OG0000028	SinflaCBS23968predictedgene_010855-T1
OG0000028	SinflaCBS23968predictedgene_010856-T1
OG0000029	SinflaCBS23968predictedgene_006601-T1
OG0000029	SinflaCBS23968predictedgene_010729-T1
OG0000030	SinflaCBS23968predictedgene_004447-T1
OG0000030	SinflaCBS23968predictedgene_004696-T1
OG0000030	SinflaCBS23968predictedgene_005651-T1
OG0000030	SinflaCBS23968predictedgene_006774-T1
OG0000031	SinflaCBS23968predictedgene_000520-T1
OG0000032	SinflaCBS23968predictedgene_000247-T1
OG0000032	SinflaCBS23968predictedgene_003875-T1
OG0000032	SinflaCBS23968predictedgene_009408-T1
OG0000033	SinflaCBS23968predictedgene_000511-T1
OG0000033	SinflaCBS23968predictedgene_000512-T1
OG0000033	SinflaCBS23968predictedgene_006602-T1
OG0000033	SinflaCBS23968predictedgene_008010-T1
OG0000033	SinflaCBS23968predictedgene_009579-T1
OG0000033	SinflaCBS23968predictedgene_010709-T1
OG0000034	SinflaCBS23968predictedgene_002179-T1
OG0000034	SinflaCBS23968predictedgene_004450-T1
OG0000034	SinflaCBS23968predictedgene_004742-T1
OG0000034	SinflaCBS23968predictedgene_005991-T1
OG0000035	SinflaCBS23968predictedgene_004923-T1
OG0000035	SinflaCBS23968predictedgene_005316-T1
OG0000035	SinflaCBS23968predictedgene_008644-T1
OG0000036	SinflaCBS23968predictedgene_004446-T1
OG0000036	SinflaCBS23968predictedgene_007692-T1
OG0000036	SinflaCBS23968predictedgene_008147-T1
OG0000037	SinflaCBS23968predictedgene_004042-T1
OG0000037	SinflaCBS23968predictedgene_004841-T1
OG0000037	SinflaCBS23968predictedgene_005466-T1
OG0000038	SinflaCBS23968predictedgene_001120-T1
OG0000039	SinflaCBS23968predictedgene_007006-T1
OG0000039	SinflaCBS23968predictedgene_007007-T1
