Orthogroup	Protein_ID
OG0000000	ShumicCBS118129predictedgene_002088-T1
OG0000000	ShumicCBS118129predictedgene_002334-T1
OG0000000	ShumicCBS118129predictedgene_002603-T1
OG0000000	ShumicCBS118129predictedgene_002623-T1
OG0000000	ShumicCBS118129predictedgene_003520-T1
OG0000000	ShumicCBS118129predictedgene_003872-T1
OG0000000	ShumicCBS118129predictedgene_004285-T1
OG0000000	ShumicCBS118129predictedgene_004502-T1
OG0000000	ShumicCBS118129predictedgene_004701-T1
OG0000000	ShumicCBS118129predictedgene_004703-T1
OG0000000	ShumicCBS118129predictedgene_004727-T1
OG0000000	ShumicCBS118129predictedgene_005726-T1
OG0000000	ShumicCBS118129predictedgene_005973-T1
OG0000000	ShumicCBS118129predictedgene_006450-T1
OG0000000	ShumicCBS118129predictedgene_009384-T1
OG0000000	ShumicCBS118129predictedgene_009393-T1
OG0000001	ShumicCBS118129predictedgene_001522-T1
OG0000001	ShumicCBS118129predictedgene_003535-T1
OG0000001	ShumicCBS118129predictedgene_005806-T1
OG0000001	ShumicCBS118129predictedgene_005976-T1
OG0000001	ShumicCBS118129predictedgene_006453-T1
OG0000001	ShumicCBS118129predictedgene_006809-T1
OG0000001	ShumicCBS118129predictedgene_008362-T1
OG0000001	ShumicCBS118129predictedgene_008787-T1
OG0000001	ShumicCBS118129predictedgene_010115-T1
OG0000002	ShumicCBS118129predictedgene_005706-T1
OG0000003	ShumicCBS118129predictedgene_001899-T1
OG0000003	ShumicCBS118129predictedgene_002546-T1
OG0000003	ShumicCBS118129predictedgene_006515-T1
OG0000004	ShumicCBS118129predictedgene_003875-T1
OG0000004	ShumicCBS118129predictedgene_003953-T1
OG0000004	ShumicCBS118129predictedgene_006998-T1
OG0000004	ShumicCBS118129predictedgene_007001-T1
OG0000004	ShumicCBS118129predictedgene_007699-T1
OG0000004	ShumicCBS118129predictedgene_007945-T1
OG0000004	ShumicCBS118129predictedgene_008250-T1
OG0000004	ShumicCBS118129predictedgene_008538-T1
OG0000004	ShumicCBS118129predictedgene_009060-T1
OG0000004	ShumicCBS118129predictedgene_009244-T1
OG0000004	ShumicCBS118129predictedgene_010142-T1
OG0000005	ShumicCBS118129predictedgene_001289-T1
OG0000005	ShumicCBS118129predictedgene_001379-T1
OG0000005	ShumicCBS118129predictedgene_002320-T1
OG0000005	ShumicCBS118129predictedgene_003725-T1
OG0000005	ShumicCBS118129predictedgene_008760-T1
OG0000005	ShumicCBS118129predictedgene_008765-T1
OG0000006	ShumicCBS118129predictedgene_001456-T1
OG0000006	ShumicCBS118129predictedgene_006997-T1
OG0000006	ShumicCBS118129predictedgene_007793-T1
OG0000006	ShumicCBS118129predictedgene_007997-T1
OG0000006	ShumicCBS118129predictedgene_008251-T1
OG0000006	ShumicCBS118129predictedgene_008868-T1
OG0000006	ShumicCBS118129predictedgene_009135-T1
OG0000007	ShumicCBS118129predictedgene_005071-T1
OG0000007	ShumicCBS118129predictedgene_006799-T1
OG0000007	ShumicCBS118129predictedgene_007142-T1
OG0000007	ShumicCBS118129predictedgene_009569-T1
OG0000007	ShumicCBS118129predictedgene_009899-T1
OG0000008	ShumicCBS118129predictedgene_005654-T1
OG0000008	ShumicCBS118129predictedgene_005766-T1
OG0000008	ShumicCBS118129predictedgene_006371-T1
OG0000008	ShumicCBS118129predictedgene_007723-T1
OG0000008	ShumicCBS118129predictedgene_008431-T1
OG0000008	ShumicCBS118129predictedgene_008481-T1
OG0000008	ShumicCBS118129predictedgene_010538-T1
OG0000009	ShumicCBS118129predictedgene_001348-T1
OG0000009	ShumicCBS118129predictedgene_002837-T1
OG0000009	ShumicCBS118129predictedgene_010473-T1
OG0000010	ShumicCBS118129predictedgene_004514-T1
OG0000010	ShumicCBS118129predictedgene_005752-T1
OG0000010	ShumicCBS118129predictedgene_007973-T1
OG0000011	ShumicCBS118129predictedgene_000038-T1
OG0000011	ShumicCBS118129predictedgene_005776-T1
OG0000011	ShumicCBS118129predictedgene_007946-T1
OG0000011	ShumicCBS118129predictedgene_008196-T1
OG0000011	ShumicCBS118129predictedgene_008358-T1
OG0000012	ShumicCBS118129predictedgene_004322-T1
OG0000012	ShumicCBS118129predictedgene_006898-T1
OG0000012	ShumicCBS118129predictedgene_006900-T1
OG0000012	ShumicCBS118129predictedgene_009004-T1
OG0000013	ShumicCBS118129predictedgene_008704-T1
OG0000014	ShumicCBS118129predictedgene_004720-T1
OG0000014	ShumicCBS118129predictedgene_007597-T1
OG0000014	ShumicCBS118129predictedgene_007663-T1
OG0000014	ShumicCBS118129predictedgene_008903-T1
OG0000015	ShumicCBS118129predictedgene_000274-T1
OG0000015	ShumicCBS118129predictedgene_004684-T1
OG0000015	ShumicCBS118129predictedgene_005249-T1
OG0000015	ShumicCBS118129predictedgene_009769-T1
OG0000016	ShumicCBS118129predictedgene_006359-T1
OG0000016	ShumicCBS118129predictedgene_008691-T1
OG0000016	ShumicCBS118129predictedgene_008949-T1
OG0000016	ShumicCBS118129predictedgene_008950-T1
OG0000016	ShumicCBS118129predictedgene_009136-T1
OG0000016	ShumicCBS118129predictedgene_009885-T1
OG0000017	ShumicCBS118129predictedgene_000599-T1
OG0000017	ShumicCBS118129predictedgene_005709-T1
OG0000017	ShumicCBS118129predictedgene_006137-T1
OG0000017	ShumicCBS118129predictedgene_008532-T1
OG0000018	ShumicCBS118129predictedgene_000035-T1
OG0000018	ShumicCBS118129predictedgene_005868-T1
OG0000018	ShumicCBS118129predictedgene_008589-T1
OG0000018	ShumicCBS118129predictedgene_008590-T1
OG0000019	ShumicCBS118129predictedgene_004143-T1
OG0000019	ShumicCBS118129predictedgene_006338-T1
OG0000020	ShumicCBS118129predictedgene_001547-T1
OG0000020	ShumicCBS118129predictedgene_004308-T1
OG0000020	ShumicCBS118129predictedgene_008586-T1
OG0000021	ShumicCBS118129predictedgene_001263-T1
OG0000021	ShumicCBS118129predictedgene_002915-T1
OG0000021	ShumicCBS118129predictedgene_006416-T1
OG0000021	ShumicCBS118129predictedgene_007724-T1
OG0000021	ShumicCBS118129predictedgene_007912-T1
OG0000022	ShumicCBS118129predictedgene_003248-T1
OG0000022	ShumicCBS118129predictedgene_005949-T1
OG0000022	ShumicCBS118129predictedgene_007328-T1
OG0000023	ShumicCBS118129predictedgene_005192-T1
OG0000024	ShumicCBS118129predictedgene_000757-T1
OG0000024	ShumicCBS118129predictedgene_006805-T1
OG0000024	ShumicCBS118129predictedgene_008937-T1
OG0000024	ShumicCBS118129predictedgene_009469-T1
OG0000024	ShumicCBS118129predictedgene_009713-T1
OG0000025	ShumicCBS118129predictedgene_000266-T1
OG0000025	ShumicCBS118129predictedgene_005536-T1
OG0000025	ShumicCBS118129predictedgene_006045-T1
OG0000025	ShumicCBS118129predictedgene_006306-T1
OG0000026	ShumicCBS118129predictedgene_000564-T1
OG0000026	ShumicCBS118129predictedgene_005769-T1
OG0000026	ShumicCBS118129predictedgene_005807-T1
OG0000026	ShumicCBS118129predictedgene_006947-T1
OG0000026	ShumicCBS118129predictedgene_007834-T1
OG0000027	ShumicCBS118129predictedgene_000045-T1
OG0000027	ShumicCBS118129predictedgene_003899-T1
OG0000027	ShumicCBS118129predictedgene_010206-T1
OG0000029	ShumicCBS118129predictedgene_003581-T1
OG0000029	ShumicCBS118129predictedgene_003582-T1
OG0000029	ShumicCBS118129predictedgene_005819-T1
OG0000029	ShumicCBS118129predictedgene_007818-T1
OG0000029	ShumicCBS118129predictedgene_007822-T1
OG0000029	ShumicCBS118129predictedgene_008404-T1
OG0000029	ShumicCBS118129predictedgene_008587-T1
OG0000029	ShumicCBS118129predictedgene_009958-T1
OG0000030	ShumicCBS118129predictedgene_003532-T1
OG0000030	ShumicCBS118129predictedgene_004272-T1
OG0000030	ShumicCBS118129predictedgene_007157-T1
OG0000030	ShumicCBS118129predictedgene_007220-T1
OG0000031	ShumicCBS118129predictedgene_000443-T1
OG0000031	ShumicCBS118129predictedgene_006862-T1
OG0000031	ShumicCBS118129predictedgene_007566-T1
OG0000032	ShumicCBS118129predictedgene_005685-T1
OG0000032	ShumicCBS118129predictedgene_006136-T1
OG0000032	ShumicCBS118129predictedgene_007965-T1
OG0000033	ShumicCBS118129predictedgene_000389-T1
