tip	accession	genus	kingdom	phylum	class	order	family	colours_kingdom	colours_phylum	colours_sordario	colours_hypocr
KAF2100874.1_Rhizodiscina_lignyota	KAF2100874.1	Rhizodiscina	Fungi	Ascomycota	Dothideomycetes	Aulographales	Rhizodiscinaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF4303386.1_Botryosphaeria_dothidea	KAF4303386.1	Botryosphaeria	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH7053392.1_Macrophomina_phaseolina	KAH7053392.1	Macrophomina	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2459869.1_Lineolata_rhizophorae	KAF2459869.1	Lineolata	Fungi	Ascomycota	Dothideomycetes	Lineolatales	Lineolataceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK3050975.1_Extremus_antarcticus	KAK3050975.1	Extremus	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK5166473.1_Saxophila_tyrrhenica	KAK5166473.1	Saxophila	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK5735674.1_Elasticomyces_elasticus	KAK5735674.1	Elasticomyces	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK3650682.1_Elasticomyces_elasticus	KAK3650682.1	Elasticomyces	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK3113023.1_Teratosphaeriaceae_sp._CCFEE6253	KAK3113023.1	Teratosphaeriaceae	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2498640.1_Lophium_mytilinum	KAF2498640.1	Lophium	Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_033573878.1_Mytilinidion_resinicola	XP_033573878.1	Mytilinidion	Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2006787.1_Amniculicola_lignicola_CBS123094	KAF2006787.1	Amniculicola	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2006089.1_Amniculicola_lignicola_CBS123094	KAF2006089.1	Amniculicola	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	#3B3B3BFF	#DEEBF7	NA	NA
PSN71810.1_Corynespora_cassiicola_Philippines	PSN71810.1	Corynespora	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_040791407.1_Cucurbitaria_berberidis_CBS394.84	XP_040791407.1	Cucurbitaria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAJ4373056.1_Neocucurbitaria_cava	KAJ4373056.1	Neocucurbitaria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH7383770.1_Pyrenochaeta_sp._MPI_SDFR_AT_0127	KAH7383770.1	Pyrenochaeta	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	#3B3B3BFF	#DEEBF7	NA	NA
OAL45637.1_Pyrenochaeta_sp._DS3sAY3a	OAL45637.1	Pyrenochaeta	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF1969267.1_Bimuria_novae_zelandiae_CBS107.79	KAF1969267.1	Bimuria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_056068931.1_Didymosphaeria_variabile	XP_056068931.1	Didymosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2267182.1_Didymosphaeria_enalia	KAF2267182.1	Didymosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAJ4299408.1_Kalmusia_sp._IMI367209	KAJ4299408.1	Kalmusia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_018041978.1_Paraphaeosphaeria_sporulosa	XP_018041978.1	Paraphaeosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
ORY19831.1_Clohesyomyces_aquaticus	ORY19831.1	Clohesyomyces	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_033552308.1_Lindgomyces_ingoldianus	XP_033552308.1	Lindgomyces	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	#3B3B3BFF	#DEEBF7	NA	NA
