Orthogroup	Protein_ID
OG0000001	STHCBS139747_001834-T1
OG0000001	STHCBS139747_003480-T1
OG0000001	STHCBS139747_004143-T1
OG0000001	STHCBS139747_004291-T1
OG0000002	STHCBS139747_000626-T1
OG0000002	STHCBS139747_002726-T1
OG0000002	STHCBS139747_003132-T1
OG0000002	STHCBS139747_003226-T1
OG0000002	STHCBS139747_004155-T1
OG0000002	STHCBS139747_004169-T1
OG0000002	STHCBS139747_005177-T1
OG0000002	STHCBS139747_005230-T1
OG0000002	STHCBS139747_005278-T1
OG0000002	STHCBS139747_006972-T1
OG0000003	STHCBS139747_001047-T1
OG0000003	STHCBS139747_002760-T1
OG0000003	STHCBS139747_003038-T1
OG0000003	STHCBS139747_003955-T1
OG0000003	STHCBS139747_007310-T1
OG0000004	STHCBS139747_005426-T1
OG0000004	STHCBS139747_005750-T1
OG0000004	STHCBS139747_006338-T1
OG0000006	STHCBS139747_003769-T1
OG0000006	STHCBS139747_004984-T1
OG0000006	STHCBS139747_007492-T1
OG0000007	STHCBS139747_006712-T1
OG0000008	STHCBS139747_004168-T1
OG0000008	STHCBS139747_004331-T1
OG0000008	STHCBS139747_005709-T1
OG0000009	STHCBS139747_007855-T1
OG0000010	STHCBS139747_001547-T1
OG0000010	STHCBS139747_001548-T1
OG0000010	STHCBS139747_002258-T1
OG0000010	STHCBS139747_004770-T1
OG0000010	STHCBS139747_005765-T1
OG0000011	STHCBS139747_001391-T1
OG0000011	STHCBS139747_003681-T1
OG0000012	STHCBS139747_003074-T1
OG0000012	STHCBS139747_003076-T1
OG0000014	STHCBS139747_003721-T1
OG0000014	STHCBS139747_006123-T1
OG0000015	STHCBS139747_005982-T1
OG0000016	STHCBS139747_005699-T1
OG0000016	STHCBS139747_007491-T1
OG0000016	STHCBS139747_007886-T1
OG0000018	STHCBS139747_006201-T1
OG0000018	STHCBS139747_006875-T1
OG0000018	STHCBS139747_007010-T1
OG0000019	STHCBS139747_003547-T1
OG0000019	STHCBS139747_006680-T1
OG0000019	STHCBS139747_007354-T1
OG0000023	STHCBS139747_003680-T1
OG0000023	STHCBS139747_003751-T1
OG0000023	STHCBS139747_004805-T1
OG0000023	STHCBS139747_005906-T1
OG0000025	STHCBS139747_004095-T1
OG0000026	STHCBS139747_002768-T1
OG0000026	STHCBS139747_003088-T1
OG0000027	STHCBS139747_003240-T1
OG0000029	STHCBS139747_002940-T1
OG0000030	STHCBS139747_003258-T1
OG0000030	STHCBS139747_004325-T1
OG0000030	STHCBS139747_004328-T1
OG0000031	STHCBS139747_005399-T1
