Orthogroup	Protein_ID
OG0000000	SCUCBS95973_000281-T1
OG0000000	SCUCBS95973_000648-T1
OG0000000	SCUCBS95973_001481-T1
OG0000000	SCUCBS95973_001940-T1
OG0000000	SCUCBS95973_003028-T1
OG0000000	SCUCBS95973_004726-T1
OG0000000	SCUCBS95973_006217-T1
OG0000000	SCUCBS95973_006229-T1
OG0000000	SCUCBS95973_007728-T1
OG0000000	SCUCBS95973_007898-T1
OG0000000	SCUCBS95973_008344-T1
OG0000000	SCUCBS95973_009188-T1
OG0000000	SCUCBS95973_009474-T1
OG0000000	SCUCBS95973_009499-T1
OG0000001	SCUCBS95973_000659-T1
OG0000001	SCUCBS95973_000986-T1
OG0000001	SCUCBS95973_000987-T1
OG0000001	SCUCBS95973_001823-T1
OG0000001	SCUCBS95973_004708-T1
OG0000001	SCUCBS95973_004738-T1
OG0000001	SCUCBS95973_008662-T1
OG0000001	SCUCBS95973_008907-T1
OG0000001	SCUCBS95973_008908-T1
OG0000001	SCUCBS95973_009376-T1
OG0000002	SCUCBS95973_000729-T1
OG0000002	SCUCBS95973_001438-T1
OG0000002	SCUCBS95973_001510-T1
OG0000002	SCUCBS95973_001511-T1
OG0000002	SCUCBS95973_003181-T1
OG0000002	SCUCBS95973_004711-T1
OG0000002	SCUCBS95973_004805-T1
OG0000002	SCUCBS95973_004843-T1
OG0000002	SCUCBS95973_005548-T1
OG0000002	SCUCBS95973_005728-T1
OG0000002	SCUCBS95973_005740-T1
OG0000002	SCUCBS95973_006536-T1
OG0000002	SCUCBS95973_007016-T1
OG0000002	SCUCBS95973_007831-T1
OG0000002	SCUCBS95973_007963-T1
OG0000002	SCUCBS95973_008038-T1
OG0000003	SCUCBS95973_000660-T1
OG0000003	SCUCBS95973_000891-T1
OG0000003	SCUCBS95973_001014-T1
OG0000003	SCUCBS95973_001183-T1
OG0000003	SCUCBS95973_001620-T1
OG0000003	SCUCBS95973_001623-T1
OG0000003	SCUCBS95973_003000-T1
OG0000003	SCUCBS95973_003793-T1
OG0000003	SCUCBS95973_004144-T1
OG0000003	SCUCBS95973_004549-T1
OG0000003	SCUCBS95973_006322-T1
OG0000003	SCUCBS95973_006903-T1
OG0000003	SCUCBS95973_007028-T1
OG0000003	SCUCBS95973_007688-T1
OG0000003	SCUCBS95973_007719-T1
OG0000003	SCUCBS95973_007955-T1
OG0000003	SCUCBS95973_008400-T1
OG0000003	SCUCBS95973_009103-T1
OG0000004	SCUCBS95973_002465-T1
OG0000004	SCUCBS95973_002467-T1
OG0000004	SCUCBS95973_002830-T1
OG0000004	SCUCBS95973_007056-T1
OG0000004	SCUCBS95973_008008-T1
OG0000004	SCUCBS95973_008828-T1
OG0000005	SCUCBS95973_002295-T1
OG0000005	SCUCBS95973_002344-T1
OG0000005	SCUCBS95973_004103-T1
OG0000005	SCUCBS95973_009144-T1
OG0000006	SCUCBS95973_001344-T1
OG0000006	SCUCBS95973_002464-T1
OG0000006	SCUCBS95973_006011-T1
OG0000006	SCUCBS95973_007628-T1
